# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 40192001
# NOM_USUEL= MONT-DE-MARSAN
# LATITUDE (°) = 43.91
# LONGITUDE(°)= -0.5
# ALTITUDE (m) = 59
# NUM_SERIE= MTN240192001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 200212
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;1;1
195902;-0.9;1
195903;5;1
195904;6.5;1
195905;9.7;1
195906;12.2;1
195907;15;1
195908;12.8;1
195909;13.7;1
195910;8.6;1
195911;4.3;1
195912;5;1
196001;0.8;1
196002;1.5;1
196003;5.5;1
196004;5;1
196005;9.7;1
196006;13.3;1
196007;13.1;1
196008;13.6;1
196009;11.1;1
196010;7.3;1
196011;5.1;1
196012;1.1;1
196101;1.4;1
196102;4.3;1
196103;1.2;1
196104;8.5;1
196105;8.3;1
196106;12.5;1
196107;14.3;1
196108;13;1
196109;13.9;1
196110;8.6;1
196111;4.2;1
196112;1.9;1
196201;2.7;1
196202;0.6;1
196203;2;1
196204;5.2;1
196205;8.7;1
196206;10.5;1
196207;13.5;1
196208;13.4;1
196209;10.9;1
196210;8.4;1
196211;2.1;1
196212;-0.6;1
196301;-3.2;1
196302;-2.5;1
196303;4.1;1
196304;5.4;1
196305;7.6;1
196306;12;1
196307;14.8;1
196308;13.3;1
196309;12.3;1
196310;8.4;1
196311;5.8;1
196312;-1.3;1
196401;-1.6;1
196402;3;1
196403;3.4;1
196404;6.4;1
196405;10.5;1
196406;12.5;1
196407;14.8;1
196408;14.1;1
196409;13.6;1
196410;6.2;1
196411;3.5;1
196412;-0.8;1
196501;0.8;1
196502;-1.8;1
196503;3.9;1
196504;6.9;1
196505;8.9;1
196506;11.5;1
196507;12.9;1
196508;12.9;1
196509;11;1
196510;10.2;1
196511;4.9;1
196512;5;1
196601;2.4;1
196602;6.3;1
196603;0.9;1
196604;7.5;1
196605;9.2;1
196606;12.7;1
196607;13;1
196608;13.2;1
196609;11.6;1
196610;9.5;1
196611;3.1;1
196612;5.3;1
196701;-0.1;1
196702;1.7;1
196703;4.6;1
196704;4.6;1
