# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 91027002
# NOM_USUEL= ORLY
# LATITUDE (°) = 48.718
# LONGITUDE(°)= 2.397
# ALTITUDE (m) = 86
# NUM_SERIE= MTN291027002
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197202 198812 199612 201905
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1;1
195302;0.9;1
195303;2.8;1
195304;6.4;1
195305;10.5;1
195306;11.6;1
195307;13.9;1
195308;13.7;1
195309;11.8;1
195310;8.9;1
195311;3.5;1
195312;4.2;1
195401;-1.2;1
195402;-0.6;1
195403;5;1
195404;4.9;1
195405;9.2;1
195406;12.3;1
195407;12.2;1
195408;13.4;1
195409;12;1
195410;8.9;1
195411;4.8;1
195412;4.3;1
195501;1.5;1
195502;1.5;1
195503;0.9;1
195504;6.1;1
195505;8.1;1
195506;12.9;1
195507;15.4;1
195508;14.6;1
195509;11;1
195510;6.1;1
195511;4;1
195512;4.3;1
195601;1.6;1
195602;-7.2;1
195603;3.6;1
195604;4.6;1
195605;9.9;1
195606;10.9;1
195607;14.2;1
195608;11.8;1
195609;13.2;1
195610;7.5;1
195611;2.7;1
195612;4.2;1
195701;0.1;1
195702;4.8;1
195703;6.5;1
195704;6.1;1
195705;7.4;1
195706;13.1;1
195707;15.4;1
195708;13.3;1
195709;11.4;1
195710;7.8;1
195711;4.8;1
195712;1;1
195801;1.7;1
195802;3.8;1
195803;1.6;1
195804;4.8;1
195805;10.5;1
195806;12;1
195807;14.3;1
195808;14.9;1
195809;13.4;1
195810;8.8;1
195811;4.3;1
195812;3.1;1
195901;0.4;1
195902;0.4;1
195903;5.1;1
195904;7.4;1
195905;10.7;1
195906;12.8;1
195907;15.5;1
195908;14.9;1
195909;12.3;1
195910;7.7;1
195911;4.6;1
195912;3.9;1
196001;1.5;1
196002;2;1
196003;5.4;1
196004;6.7;1
196005;10.9;1
196006;13.4;1
196007;13.2;1
196008;13.7;1
196009;10.7;1
196010;8.7;1
196011;6.3;1
196012;1.7;1
196101;1.7;1
196102;4.8;1
196103;4.6;1
196104;9.2;1
196105;8.7;1
196106;12.5;1
196107;13.3;1
196108;13.4;1
196109;14.3;1
196110;9.1;1
196111;4;1
196112;1.8;1
196201;3.3;1
196202;1.5;1
196203;1.2;1
196204;6.4;1
196205;8.6;1
196206;11.4;1
196207;13.2;1
196208;13;1
196209;10.7;1
196210;8.1;1
196211;3.4;1
196212;-1.9;1
196301;-4.3;1
