# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 40272002
# NOM_USUEL= ST M HINX STNA-INRA
# LATITUDE (°) = 43.571
# LONGITUDE(°)= -1.299
# ALTITUDE (m) = 37
# NUM_SERIE= MTN140272002
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196212 196412 196612 200812
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;2.6;1
195902;0.3;1
195903;5.9;1
195904;6.9;1
195905;10.1;1
195906;12.1;1
195907;15.6;1
195908;13.1;1
195909;14.1;1
195910;9.5;1
195911;5.4;1
195912;6.2;1
196001;2.2;1
196002;3.6;1
196003;6.1;1
196004;6.1;1
196005;9.7;1
196006;13.1;1
196007;12.8;1
196008;13.7;1
196009;12.2;1
196010;9;1
196011;7.7;1
196012;3.2;1
196101;4;1
196102;5.9;1
196103;4.1;1
196104;9.1;1
196105;10.3;1
196106;13.7;1
196107;13.9;1
196108;13.1;1
196109;15.1;1
196110;9.8;1
196111;4.4;1
196112;4.3;1
196201;4.2;1
196202;1.5;1
196203;2.6;1
196204;6.2;1
196205;9.3;1
196206;11;1
196207;13.3;1
196208;13.6;1
196209;11.7;1
196210;9.5;1
196211;2.3;1
196212;-0.2;1
196301;-1.2;1
196302;0.2;1
196303;5;1
196304;6.6;1
196305;8.5;1
196306;11.9;1
196307;14.9;1
196308;13.7;1
196309;11.9;1
196310;9.5;1
196311;7.3;1
196312;0.5;1
196401;-0.6;1
196402;3.7;1
196403;4.5;1
196404;6.7;1
196405;10.8;1
196406;12.5;1
196407;14.6;1
196408;13.7;1
196409;14.2;1
196410;7.5;1
196411;4.1;1
196412;0.9;1
196501;2.8;1
196502;-0.5;1
196503;5.3;1
196504;7.5;1
196505;9.7;1
196506;11.9;1
196507;12.8;1
196508;13.4;1
196509;11.3;1
196510;10.5;1
196511;6.3;1
196512;5.8;1
196601;3.9;1
196602;6.9;1
196603;2.8;1
196604;7.2;1
196605;9.3;1
196606;12.3;1
196607;13.1;1
196608;12.9;1
196609;13.1;1
196610;9.7;1
196611;4;1
196612;6;1
196701;1.7;1
196702;2.7;1
196703;5.6;1
196704;5.2;1
196705;8.9;1
196706;10.9;1
196707;14.3;1
196708;13.3;1
196709;11.6;1
196710;10.9;1
196711;6.4;1
196712;1.3;1
196801;3.2;1
196802;4.2;1
196803;3.2;1
196804;6.9;1
196805;8.4;1
196806;11.1;1
196807;13.5;1
196808;14.2;1
196809;12.3;1
196810;10.4;1
196811;5.6;1
196812;4;1
196901;4;1
196902;1;1
196903;4.8;1
196904;7.1;1
196905;10.3;1
196906;10.6;1
196907;15.5;1
196908;14.9;1
196909;11.3;1
196910;9;1
