# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 59343001
# NOM_USUEL= LILLE-LESQUIN
# LATITUDE (°) = 50.57
# LONGITUDE(°)= 3.098
# ALTITUDE (m) = 47
# NUM_SERIE= MTN459343001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196306 196912 198412 200809
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3;1
195102;2.1;1
195103;2.3;1
195104;3.7;1
195105;8.3;1
195106;10.3;1
195107;12.1;1
195108;13.1;1
195109;12.2;1
195110;4.9;1
195111;6.2;1
195112;2.2;1
195201;0.5;1
195202;0.1;1
195203;4.1;1
195204;6.3;1
195205;9.3;1
195206;10.5;1
195207;13;1
195208;13.4;1
195209;7.8;1
195210;5.8;1
195211;1.8;1
195212;0.1;1
195301;-0.9;1
195302;0.6;1
195303;1.7;1
195304;5.7;1
195305;9.4;1
195306;11.8;1
195307;13.3;1
195308;12.9;1
195309;10.3;1
195310;8.3;1
195311;4;1
195312;3.8;1
195401;-2;1
195402;-1.2;1
195403;4.1;1
195404;3;1
195405;8.3;1
195406;11.2;1
195407;11.5;1
195408;12.3;1
195409;10.7;1
195410;9.5;1
195411;3.6;1
195412;3.4;1
195501;-0.5;1
195502;-1.5;1
195503;-0.5;1
195504;4.8;1
195505;7.2;1
195506;10.6;1
195507;13.9;1
195508;13.1;1
195509;10.1;1
195510;6.2;1
195511;3.8;1
195512;2.6;1
195601;0.8;1
195602;-9;1
195603;2.6;1
195604;3;1
195605;7.8;1
195606;10.2;1
195607;13.2;1
195608;10.7;1
195609;11.7;1
195610;7.4;1
195611;2.2;1
195612;4.1;1
195701;1.1;1
195702;3.5;1
195703;6;1
195704;4.5;1
195705;6.7;1
195706;11.4;1
195707;14.1;1
195708;12.6;1
195709;10.4;1
195710;7.3;1
195711;4.2;1
195712;0.4;1
195801;1.2;1
195802;2.2;1
195803;0.4;1
195804;3.2;1
195805;9.1;1
195806;10.9;1
195807;12.9;1
195808;13.6;1
195809;12.5;1
195810;8.8;1
195811;3;1
195812;2.3;1
195901;-0.4;1
195902;-1.2;1
195903;4.1;1
195904;6.6;1
195905;9.2;1
195906;10.7;1
195907;13.4;1
195908;13.3;1
195909;9.7;1
195910;6.6;1
195911;3.4;1
195912;3.2;1
196001;0.7;1
196002;1.3;1
196003;3.5;1
196004;5.1;1
196005;8.7;1
196006;11.8;1
196007;12.1;1
196008;12.4;1
196009;10.1;1
196010;7.9;1
196011;5.4;1
196012;1.4;1
196101;0.7;1
196102;3.5;1
196103;3.1;1
196104;8.5;1
196105;7.4;1
196106;10.7;1
196107;12;1
196108;12.6;1
196109;13.1;1
196110;8.2;1
196111;2.7;1
196112;0.1;1
196201;2;1
196202;0.7;1
196203;-0.2;1
196204;5.5;1
196205;7.2;1
196206;9.3;1
196207;11.7;1
196208;12;1
196209;9.7;1
196210;6.5;1
196211;2.3;1
196212;-2.7;1
196301;-7.4;1
196302;-4.8;1
196303;2.6;1
196304;5.5;1
196305;7.7;1
196306;12;1
196307;12.5;1
196308;12.1;1
196309;10.9;1
196310;7.3;1
196311;5.8;1
196312;-2.3;1
196401;-0.9;1
196402;2.1;1
196403;1.4;1
196404;5.7;1
196405;9.7;1
196406;11.1;1
196407;12.9;1
196408;12.3;1
196409;10.6;1
196410;5;1
196411;4.9;1
196412;0;1
196501;0.8;1
196502;-0.4;1
196503;2.8;1
196504;5;1
196505;8.6;1
196506;10.9;1
196507;12;1
196508;12.1;1
196509;9.5;1
196510;5.8;1
196511;1.4;1
196512;2.6;1
196601;-1.5;1
196602;4.5;1
196603;3.2;1
196604;6.5;1
196605;8.4;1
196606;13;1
196607;11.7;1
196608;11.8;1
196609;10.1;1
196610;8.9;1
196611;2.6;1
196612;2.1;1
196701;1.1;1
196702;2.7;1
196703;4;1
196704;4.3;1
196705;8.5;1
196706;10.1;1
196707;13.1;1
196708;12.7;1
196709;10.8;1
196710;9.2;1
196711;2;1
196712;0.2;1
196801;0.7;1
196802;0.1;1
196803;3.4;1
196804;4.5;1
196805;7.1;1
196806;11.1;1
196807;12.3;1
196808;14.2;1
196809;11.5;1
196810;10.3;1
196811;3.1;1
196812;-1.9;1
196901;3;1
196902;-1.3;1
196903;2;1
196904;4;1
196905;9.1;1
196906;10.7;1
196907;13.8;1
196908;13.1;1
196909;10.9;1
196910;7.4;1
196911;3.9;1
196912;-1.8;1
197001;0.5;1
197002;0.3;1
197003;0.1;1
197004;3.7;1
197005;8.9;1
197006;12.2;1
197007;11.8;1
197008;12.1;1
197009;10.8;1
197010;7.9;1
197011;5.1;1
197012;0.3;1
197101;0;1
197102;1.5;1
197103;0.4;1
197104;4.5;1
197105;9.2;1
197106;9.9;1
197107;13.1;1
197108;13.1;1
197109;8.7;1
197110;5.2;1
197111;2.5;1
197112;3.1;1
197201;0.2;1
197202;1.5;1
197203;2.4;1
197204;5.6;1
197205;8.2;1
197206;9.4;1
197207;13.1;1
197208;11.6;1
197209;8.3;1
197210;4.9;1
197211;3.8;1
197212;1.9;1
197301;0.9;1
197302;1.1;1
197303;1.5;1
197304;3.6;1
197305;8.1;1
197306;11.5;1
197307;12.9;1
197308;12.8;1
197309;11;1
197310;5.8;1
197311;2.4;1
197312;1.2;1
197401;3.8;1
197402;2;1
197403;3.4;1
197404;5.3;1
197405;7.6;1
197406;10.7;1
197407;12.1;1
197408;12;1
197409;9.7;1
197410;4.7;1
197411;4.2;1
197412;5.2;1
197501;4.5;1
197502;0.9;1
197503;2.9;1
197504;5;1
197505;7.8;1
197506;10.3;1
197507;13.6;1
197508;14.3;1
197509;11.6;1
197510;6.4;1
197511;2.6;1
197512;0.4;1
197601;2.4;1
197602;0.7;1
197603;0.6;1
197604;3.5;1
197605;8.2;1
197606;12.3;1
197607;14.3;1
197608;12.5;1
197609;10.3;1
197610;8.6;1
197611;4;1
197612;-1;1
197701;0.8;1
197702;2.4;1
197703;4.2;1
197704;3.4;1
197705;7.7;1
197706;10.6;1
197707;13.3;1
197708;11.2;1
197709;9.3;1
197710;7.9;1
197711;4.1;1
197712;2.7;1
197801;0.8;1
197802;-0.1;1
197803;3.7;1
197804;3.6;1
197805;8.9;1
197806;10.6;1
197807;11.9;1
197808;11;1
197809;9.8;1
197810;7.5;1
197811;3.4;1
197812;0.8;1
197901;-5;1
197902;-1.5;1
197903;2.3;1
197904;4.6;1
197905;7.4;1
197906;11.1;1
197907;12.3;1
197908;11.6;1
197909;9.4;1
197910;7.9;1
197911;3.1;1
197912;4.2;1
198001;-1.1;1
198002;2.9;1
198003;3;1
198004;4.5;1
198005;7.8;1
198006;11;1
198007;12.4;1
198008;13.2;1
198009;11.6;1
198010;5.9;1
198011;2.6;1
198012;1.2;1
198101;1.6;1
198102;-0.5;1
198103;6.4;1
198104;5.4;1
198105;8.7;1
198106;11.3;1
198107;12.7;1
198108;12.3;1
198109;10.8;1
198110;6.7;1
198111;4.5;1
198112;-0.7;1
198201;-1.3;1
198202;1;1
198203;2.4;1
198204;3.9;1
198205;8.3;1
198206;12.7;1
198207;14;1
198208;13;1
198209;11.4;1
198210;8;1
198211;5.5;1
198212;1.4;1
198301;3.7;1
198302;-2;1
198303;3;1
198304;5.4;1
198305;7.7;1
198306;12.2;1
198307;15.6;1
198308;14;1
198309;11;1
198310;7.2;1
198311;3.1;1
198312;1.6;1
198401;1.6;1
198402;0.4;1
198403;1;1
198404;3.7;1
198405;7.6;1
198406;10.9;1
198407;12.3;1
198408;13.6;1
198409;11.1;1
198410;8.7;1
198411;6.3;1
198412;2.4;1
198501;-6.5;1
198502;-2.9;1
198503;1.3;1
198504;5.5;1
198505;9.2;1
198506;10.2;1
198507;13;1
198508;12;1
198509;10.9;1
198510;6.9;1
198511;0.3;1
198512;3.6;1
198601;1.1;1
198602;-5.9;1
198603;1.2;1
198604;3.2;1
198605;8.6;1
198606;12.4;1
198607;13.1;1
198608;11.4;1
198609;7.8;1
198610;9.2;1
198611;5.2;1
198612;2.8;1
198701;-4.2;1
198702;0.5;1
198703;0.4;1
198704;6.8;1
198705;6.8;1
198706;11.1;1
198707;13.1;1
198708;12.8;1
198709;12.2;1
198710;7.8;1
198711;4.2;1
198712;2;1
198801;3.8;1
198802;1.7;1
198803;3.5;1
198804;4.5;1
198805;9.5;1
198806;11.2;1
198807;12.3;1
198808;12.3;1
198809;10.7;1
198810;7.9;1
198811;2;1
198812;5;1
198901;1.4;1
198902;1.8;1
198903;5.1;1
198904;3.9;1
198905;9.3;1
198906;10.3;1
198907;14.1;1
198908;12.8;1
198909;11.4;1
198910;9.2;1
198911;2;1
198912;1.8;1
199001;3.2;1
199002;4.8;1
199003;4.7;1
199004;4.3;1
199005;8.8;1
199006;10.8;1
199007;12.2;1
199008;14.2;1
199009;9.5;1
199010;8.8;1
199011;3.9;1
199012;1.5;1
199101;1;1
199102;-2.5;1
199103;5.4;1
199104;4.2;1
199105;6.3;1
199106;9.6;1
199107;13.5;1
199108;12.7;1
199109;11.1;1
199110;6.8;1
199111;2.9;1
199112;0.6;1
199201;-0.3;1
199202;1.7;1
199203;4.2;1
199204;4.9;1
199205;10.3;1
199206;12.4;1
199207;14.1;1
199208;14.5;1
199209;10.9;1
