# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 30189001
# NOM_USUEL= NIMES-COURBESSAC
# LATITUDE (°) = 43.857
# LONGITUDE(°)= 4.406
# ALTITUDE (m) = 59
# NUM_SERIE= MTN230189001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 199508
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;3.5;1
195602;-5.4;1
195603;5.2;1
195604;6.6;1
195605;12;1
195606;13.4;1
195607;16.2;1
195608;16;1
195609;14.8;1
195610;7.8;1
195611;3.4;1
195612;3.6;1
195701;0.2;1
195702;3.9;1
195703;6.3;1
195704;7.9;1
195705;10.3;1
195706;14.1;1
195707;16.5;1
195708;15.8;1
195709;13.5;1
195710;9.7;1
195711;5.5;1
195712;2.8;1
195801;2;1
195802;2.8;1
195803;3.6;1
195804;6.1;1
195805;11.3;1
195806;13.7;1
195807;16;1
195808;17;1
195809;15.7;1
195810;9;1
195811;5.5;1
195812;3.7;1
195901;1.5;1
195902;3.4;1
195903;7.7;1
195904;7.8;1
195905;11.3;1
195906;14.9;1
195907;18.5;1
195908;16.6;1
195909;15.2;1
195910;10.8;1
195911;4.9;1
195912;4.1;1
196001;2.3;1
196002;3.9;1
196003;6.6;1
196004;8.1;1
196005;12.2;1
196006;16;1
196007;16.6;1
196008;15.6;1
196009;12.6;1
196010;9.8;1
196011;6.2;1
196012;1.3;1
196101;1.1;1
196102;5.3;1
196103;5.3;1
196104;9.8;1
196105;11.1;1
196106;15.3;1
196107;16.8;1
196108;16;1
196109;16.6;1
196110;11;1
196111;5.6;1
196112;3.7;1
196201;4.5;1
196202;2.3;1
196203;3.2;1
196204;7.7;1
196205;9.8;1
196206;14.3;1
196207;17.1;1
196208;17.9;1
196209;14.9;1
196210;11.3;1
196211;4.1;1
196212;-0.3;1
196301;-0.9;1
196302;-0.9;1
196303;4.9;1
196304;8.6;1
196305;11.2;1
196306;14.6;1
196307;18.2;1
196308;15.4;1
196309;14.5;1
196310;9.9;1
196311;8.2;1
196312;1.6;1
196401;1.4;1
196402;5.1;1
196403;5;1
196404;8.4;1
196405;12.4;1
196406;16.4;1
196407;18;1
196408;16.5;1
196409;15.4;1
196410;8.1;1
196411;5.5;1
196412;2.5;1
196501;2.9;1
196502;0.8;1
196503;5;1
196504;7.3;1
196505;11.2;1
196506;14.4;1
196507;16.2;1
196508;15.6;1
196509;12.1;1
196510;11.6;1
196511;5.2;1
196512;3.5;1
196601;1.3;1
196602;6;1
196603;4.8;1
196604;8.8;1
196605;11.8;1
196606;14.8;1
196607;15.6;1
196608;15.5;1
196609;15;1
196610;12.3;1
196611;3.4;1
196612;2.9;1
196701;2.5;1
196702;3.4;1
196703;7.2;1
196704;7.7;1
196705;10.7;1
196706;13.8;1
196707;18.8;1
196708;17.5;1
196709;14.4;1
196710;12.5;1
196711;7;1
196712;0.5;1
196801;0.7;1
196802;4.5;1
196803;4.9;1
196804;7.7;1
196805;10.9;1
196806;13.8;1
196807;16.5;1
196808;15.4;1
196809;13.3;1
196810;11.3;1
196811;6;1
196812;2.3;1
196901;2.9;1
196902;0.4;1
196903;5.9;1
196904;7.5;1
196905;10.8;1
196906;12.9;1
196907;16.7;1
196908;16.5;1
196909;14.3;1
196910;11.5;1
196911;4.9;1
196912;-0.7;1
197001;3.5;1
197002;2.8;1
197003;3.1;1
197004;5.8;1
197005;10.8;1
197006;16.7;1
197007;17.1;1
197008;16.6;1
197009;15.3;1
197010;10.1;1
197011;6.6;1
197012;1.4;1
197101;0.7;1
197102;2.6;1
197103;2;1
197104;9.3;1
197105;11.6;1
197106;13.3;1
197107;17;1
197108;17.8;1
197109;14.7;1
197110;10.9;1
197111;3.8;1
197112;3.4;1
197201;3.3;1
197202;5.1;1
197203;5.7;1
197204;7.6;1
197205;10;1
197206;13.3;1
197207;16.9;1
197208;15.3;1
197209;12;1
197210;9.4;1
197211;6;1
197212;3;1
197301;1.6;1
197302;2;1
197303;3.7;1
197304;5.7;1
197305;11.5;1
197306;15.5;1
197307;17.5;1
197308;17.8;1
197309;14.7;1
197310;8.6;1
197311;6.1;1
197312;2.1;1
197401;4.8;1
197402;4;1
197403;5.8;1
197404;6.7;1
197405;10.5;1
197406;14;1
197407;16.9;1
197408;16.6;1
197409;12.8;1
197410;5.3;1
197411;5.6;1
197412;4.5;1
197501;3.8;1
197502;4;1
197503;3.8;1
197504;6.9;1
197505;10.5;1
197506;14.1;1
197507;17.2;1
197508;17.9;1
197509;14.8;1
197510;8.1;1
197511;5.8;1
197512;2.5;1
197601;2.6;1
197602;4.2;1
197603;4.2;1
197604;6.8;1
197605;11.2;1
197606;15.5;1
197607;18.2;1
197608;16.1;1
197609;12.9;1
197610;9.6;1
197611;4.9;1
197612;3.3;1
197701;2.9;1
197702;4.4;1
197703;6.1;1
197704;6.9;1
197705;10.6;1
197706;12.9;1
197707;16;1
197708;15.2;1
197709;12.6;1
197710;11.7;1
197711;5.1;1
197712;3.9;1
197801;1.6;1
197802;2.6;1
197803;5.7;1
197804;6.4;1
197805;9.9;1
197806;12.9;1
197807;15.5;1
197808;15.9;1
197809;14.6;1
197810;9.4;1
197811;4.4;1
197812;3.4;1
197901;0.9;1
197902;3.7;1
197903;6.2;1
197904;6.4;1
197905;10.4;1
197906;15.9;1
197907;18.5;1
197908;16.6;1
197909;14.4;1
197910;12.1;1
197911;4.9;1
197912;2.7;1
198001;2.2;1
198002;5.6;1
198003;4.8;1
198004;7;1
198005;9.9;1
198006;13.8;1
198007;15.5;1
198008;18.2;1
198009;15.3;1
198010;9.5;1
198011;5;1
198012;-0.5;1
198101;1.1;1
198102;0.5;1
198103;6.7;1
198104;8.1;1
198105;9.9;1
198106;14.9;1
198107;16.4;1
198108;17.4;1
198109;15.1;1
198110;9.4;1
198111;4.5;1
198112;2.9;1
198201;4.6;1
198202;4.1;1
198203;4.2;1
198204;7.5;1
198205;10.9;1
198206;16.4;1
198207;19.7;1
198208;17.1;1
198209;16.1;1
198210;9.6;1
198211;7.3;1
198212;3.3;1
198301;3.4;1
198302;0.4;1
198303;5.5;1
198304;7.4;1
198305;10.4;1
198306;15.1;1
198307;19.9;1
198308;18.1;1
198309;15;1
198310;10.4;1
198311;7.1;1
198312;2.7;1
198401;1.9;1
198402;1.8;1
198403;4;1
198404;6.4;1
198405;8.9;1
198406;14.4;1
198407;17.6;1
198408;16.5;1
198409;13.2;1
198410;10.4;1
198411;8.1;1
198412;3;1
198501;-2;1
198502;4.1;1
198503;3.7;1
198504;7.6;1
198505;10.3;1
198506;13.9;1
198507;18.8;1
198508;16.3;1
198509;15.5;1
198510;11.6;1
198511;3.4;1
198512;4.5;1
198601;1.5;1
198602;0.2;1
198603;5.2;1
198604;6.2;1
198605;12.7;1
198606;14.9;1
198607;18.5;1
198608;17;1
198609;15.1;1
198610;11.9;1
198611;6.8;1
198612;2.5;1
198701;-1.6;1
198702;2.9;1
198703;3.5;1
198704;8.2;1
198705;9.7;1
198706;13.9;1
198707;17.8;1
198708;17.7;1
198709;16.5;1
198710;12.4;1
198711;5.6;1
198712;4.3;1
198801;5.1;1
198802;2.6;1
198803;4.7;1
198804;8.8;1
198805;12.2;1
198806;14.8;1
198807;17.9;1
198808;17.8;1
198809;14.2;1
198810;12.6;1
198811;5.6;1
198812;3.9;1
198901;2.5;1
198902;3.1;1
198903;7;1
198904;7.3;1
198905;12.8;1
198906;15;1
198907;19.8;1
198908;19.2;1
198909;15;1
198910;10.4;1
198911;6.3;1
198912;4.6;1
199001;1.4;1
199002;7;1
199003;6.9;1
199004;7.3;1
199005;12.9;1
199006;15.1;1
199007;18.4;1
199008;18.9;1
199009;15.3;1
199010;13.3;1
199011;6;1
199012;1.4;1
199101;2.3;1
199102;1.2;1
199103;8.2;1
199104;6.8;1
199105;10.6;1
199106;14.5;1
199107;19;1
199108;19.3;1
199109;17;1
199110;9.7;1
199111;5.8;1
199112;2.3;1
199201;1.7;1
199202;3.4;1
199203;6.3;1
199204;8.6;1
199205;13.2;1
199206;14.1;1
199207;18.4;1
199208;18.9;1
199209;14.1;1
199210;9.5;1
199211;7.5;1
199212;5;1
199301;2.8;1
199302;1.9;1
199303;5;1
199304;8.5;1
199305;12.3;1
199306;16.1;1
199307;17.2;1
199308;18.5;1
199309;14;1
199310;11.1;1
199311;4.8;1
199312;3.7;1
199401;2.9;1
199402;3.8;1
199403;7.8;1
199404;7.4;1
199405;12.5;1
199406;16.1;1
199407;20.1;1
199408;19.6;1
199409;14.5;1
199410;10.6;1
199411;9.7;1
199412;4.3;1
199501;2.1;1
199502;5.4;1
199503;3.8;1
199504;9;1
199505;10.8;1
199506;15;1
199507;19.6;1
199508;18.6;1
199509;13.5;1
199510;13.5;1
199511;7;1
199512;3.9;1
199601;6.2;1
199602;1.7;1
199603;5.4;1
199604;9.1;1
199605;11.6;1
199606;16.4;1
199607;18.4;1
199608;17.4;1
199609;12.6;1
199610;11.2;1
199611;5.6;1
199612;4.9;1
199701;2.9;1
199702;4.4;1
199703;8.1;1
199704;8.1;1
199705;12.6;1
199706;15.6;1
199707;18;1
199708;19.1;1
199709;15.1;1
199710;12.6;1
199711;7.4;1
199712;4.2;1
199801;4;1
199802;3.2;1
199803;6.1;1
199804;7.3;1
199805;12.7;1
199806;15.8;1
199807;19;1
199808;18.7;1
199809;14.3;1
199810;10.2;1
199811;3.4;1
199812;2.4;1
199901;3.6;1
199902;2.3;1
199903;6.3;1
199904;9.1;1
199905;14;1
199906;15;1
199907;18.8;1
199908;18.3;1
199909;16.3;1
199910;11.4;1
199911;4.9;1
199912;2.5;1
200001;2.4;1
200002;4.8;1
200003;6.7;1
200004;8.3;1
200005;13;1
200006;16.3;1
200007;16.3;1
200008;18.6;1
200009;14.9;1
200010;11;1
200011;6.2;1
200012;6.5;1
200101;4.8;1
200102;4.3;1
200103;8;1
200104;7.8;1
200105;13.5;1
