# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 59183001
# NOM_USUEL= DUNKERQUE
# LATITUDE (°) = 51.056
# LONGITUDE(°)= 2.34
# ALTITUDE (m) = 11
# NUM_SERIE= MTN459183001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196312 196812
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4;1
195102;2.7;1
195103;3.3;1
195104;4.6;1
195105;8.8;1
195106;11.6;1
195107;13.8;1
195108;13.9;1
195109;13.7;1
195110;8.3;1
195111;7.8;1
195112;4.1;1
195201;2.4;1
195202;2;1
195203;4.9;1
195204;7.1;1
195205;10.3;1
195206;11.7;1
195207;14.9;1
195208;14.8;1
195209;10.7;1
195210;8.4;1
195211;3.5;1
195212;2;1
195301;1.2;1
195302;2.2;1
195303;2.8;1
195304;6.3;1
195305;9.8;1
195306;11.8;1
195307;13.4;1
195308;14.2;1
195309;12;1
195310;10.3;1
195311;6.9;1
195312;5.7;1
195401;0.4;1
195402;-0.1;1
195403;4.6;1
195404;5.4;1
195405;8.5;1
195406;11.3;1
195407;12.3;1
195408;13.5;1
195409;12.1;1
195410;11.3;1
195411;6.4;1
195412;5.8;1
195501;0.7;1
195502;0.9;1
195503;1.2;1
195504;5.7;1
195505;7.7;1
195506;11.3;1
195507;14.7;1
195508;15.5;1
195509;13;1
195510;9;1
195511;6.4;1
195512;4.7;1
195601;2.7;1
195602;-5.5;1
195603;3.2;1
195604;4.5;1
195605;8.6;1
195606;11.1;1
195607;14.3;1
195608;12.4;1
195609;13.3;1
195610;9.3;1
195611;4.9;1
195612;5.4;1
195701;3.5;1
195702;4.3;1
195703;6.6;1
195704;6.5;1
195705;8.7;1
195706;12.8;1
195707;15;1
195708;14.3;1
195709;12.3;1
195710;10.2;1
195711;6.5;1
195712;2.5;1
195801;2.9;1
195802;3.9;1
195803;1.4;1
195804;4.9;1
195805;9;1
195806;11.2;1
195807;13.5;1
195808;14.3;1
195809;14.4;1
195810;10.5;1
195811;5.4;1
195812;4.6;1
195901;1.9;1
195902;0.5;1
195903;5.7;1
195904;7.4;1
195905;10.5;1
195906;11.8;1
195907;14.9;1
195908;15.5;1
195909;13.7;1
195910;10.1;1
195911;5;1
195912;4.3;1
196001;3;1
196002;2.9;1
196003;4.6;1
196004;7.3;1
196005;10.1;1
196006;13.1;1
196007;13.9;1
196008;14.3;1
196009;12.2;1
196010;9.9;1
196011;7.4;1
196012;3.3;1
196101;2.7;1
196102;5.1;1
196103;6;1
196104;9;1
196105;9.7;1
196106;12.6;1
196107;14.2;1
196108;14.7;1
196109;15;1
196110;10.6;1
196111;5.8;1
196112;2;1
196201;3.5;1
196202;3.2;1
196203;1.9;1
196204;6;1
196205;8.3;1
196206;11.5;1
196207;13.5;1
196208;14.1;1
196209;12;1
196210;9.9;1
196211;4.9;1
196212;0.3;1
196301;-4.6;1
196302;-2.9;1
196303;4.1;1
196304;6.6;1
196305;8.6;1
196306;12.3;1
196307;14.3;1
196308;14;1
196309;13.4;1
196310;9.7;1
196311;7.7;1
196312;0;1
196401;0.6;1
196402;3.3;1
196403;2.4;1
196404;6.7;1
196405;10.6;1
196406;12.2;1
196407;14.3;1
196408;14.4;1
196409;12.7;1
196410;7.8;1
196411;7;1
196412;2.8;1
196501;3.3;1
196502;2.2;1
196503;3.5;1
196504;6.5;1
196505;10;1
196506;11.8;1
196507;13.3;1
196508;13.9;1
196509;11.3;1
196510;9.3;1
196511;3.7;1
196512;5.2;1
196601;0.5;1
196602;5.4;1
196603;5.8;1
196604;7.5;1
196605;9.8;1
196606;13.5;1
196607;13.9;1
196608;14.3;1
196609;13;1
196610;10.7;1
196611;4.9;1
196612;4.7;1
196701;3.3;1
196702;4.1;1
196703;6.3;1
196704;6.2;1
196705;8.9;1
196706;11.8;1
196707;14.8;1
196708;14.1;1
196709;13.1;1
196710;10.9;1
196711;4.1;1
196712;3.1;1
196801;2.2;1
196802;1.5;1
196803;4.3;1
196804;5.4;1
196805;8.1;1
196806;12.2;1
196807;13.4;1
196808;15;1
196809;12.9;1
196810;11.7;1
196811;4.6;1
196812;0.5;1
196901;4.5;1
196902;0.7;1
196903;2.6;1
196904;5.8;1
196905;9.6;1
196906;12;1
196907;15.1;1
196908;14.8;1
196909;13.3;1
196910;11.4;1
196911;5.9;1
196912;0.1;1
197001;2.4;1
197002;2.5;1
197003;2.3;1
197004;5;1
197005;9.8;1
197006;13.4;1
197007;13.5;1
197008;14.5;1
197009;12.8;1
197010;10.6;1
197011;7.2;1
197012;3.2;1
197101;2.4;1
197102;4;1
197103;2.9;1
197104;5.8;1
197105;10;1
197106;11.3;1
197107;14.9;1
197108;15.3;1
197109;12.5;1
197110;9.2;1
197111;5.6;1
197112;4.8;1
197201;1.3;1
197202;2.2;1
197203;3.6;1
197204;6.6;1
197205;9.1;1
197206;10.4;1
197207;13.8;1
197208;13.8;1
197209;11.3;1
197210;8;1
197211;5.6;1
197212;3.2;1
197301;2.7;1
197302;2.9;1
197303;3.9;1
197304;5;1
197305;9.2;1
197306;12.7;1
197307;14.3;1
197308;15;1
197309;13.1;1
197310;9;1
197311;5.6;1
197312;3.3;1
197401;4.6;1
197402;4;1
197403;4.2;1
197404;6.8;1
197405;8.8;1
197406;12;1
197407;13.7;1
197408;13.9;1
197409;11;1
