# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 45055001
# NOM_USUEL= ORLEANS
# LATITUDE (°) = 47.991
# LONGITUDE(°)= 1.778
# ALTITUDE (m) = 123
# NUM_SERIE= MTN245055001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 195412 196803 197912 198912 200010 200910
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.2;1
195302;-1.1;1
195303;0.4;1
195304;4.7;1
195305;8.6;1
195306;10.3;1
195307;12.6;1
195308;12.1;1
195309;10.1;1
195310;7.8;1
195311;2.1;1
195312;3.9;1
195401;-1.4;1
195402;-0.8;1
195403;3.8;1
195404;3.1;1
195405;7.6;1
195406;10.9;1
195407;11;1
195408;12.4;1
195409;11.1;1
195410;8.4;1
195411;4;1
195412;4.2;1
195501;1.7;1
195502;1.2;1
195503;-1.2;1
195504;3.7;1
195505;6.5;1
195506;11.3;1
195507;13.7;1
195508;12.6;1
195509;9.5;1
195510;4.6;1
195511;3;1
195512;4.1;1
195601;1.2;1
195602;-8.5;1
195603;2.2;1
195604;3;1
195605;7.9;1
195606;9.3;1
195607;12.4;1
195608;10.5;1
195609;12.1;1
195610;5.9;1
195611;1.3;1
195612;3.3;1
195701;-0.9;1
195702;3.9;1
195703;5.4;1
195704;3.7;1
195705;5.6;1
195706;11.4;1
195707;13.7;1
195708;11.7;1
195709;10.1;1
195710;7;1
195711;3.9;1
195712;0.8;1
195801;1.4;1
195802;3.2;1
195803;0.5;1
195804;3.4;1
195805;8.9;1
195806;10.9;1
195807;12.4;1
195808;13.5;1
195809;12;1
195810;7.3;1
195811;3.3;1
195812;2.2;1
195901;0.3;1
195902;-0.8;1
195903;3.8;1
195904;5.5;1
195905;8.3;1
195906;10.3;1
195907;13.1;1
195908;12.6;1
195909;10.1;1
195910;6.7;1
195911;4;1
195912;3.5;1
196001;0.2;1
196002;1.1;1
196003;4.3;1
196004;4.6;1
196005;8.4;1
196006;11.4;1
196007;11.5;1
196008;11.8;1
196009;8.9;1
196010;7.7;1
196011;5.6;1
196012;1;1
196101;1;1
196102;3.7;1
196103;2.1;1
196104;7.4;1
196105;6.8;1
196106;10.5;1
196107;12;1
196108;11.5;1
196109;13.7;1
196110;8.1;1
196111;3.4;1
196112;1.3;1
196201;2.4;1
196202;-0.1;1
196203;-0.5;1
196204;4.8;1
196205;7;1
196206;9.1;1
196207;11.5;1
196208;11.9;1
196209;9.3;1
196210;6.9;1
196211;2.6;1
196212;-2.7;1
196301;-5.3;1
196302;-5.7;1
196303;2.9;1
196304;5.1;1
196305;7.2;1
196306;11.8;1
196307;12.3;1
196308;12;1
196309;10.9;1
196310;6.7;1
196311;6;1
196312;-1.9;1
196401;-2.2;1
196402;2.7;1
196403;2.5;1
196404;4.7;1
196405;9.2;1
196406;10.8;1
196407;12.4;1
196408;12.8;1
196409;11.5;1
196410;5.6;1
196411;4.5;1
196412;-0.5;1
196501;1;1
196502;-1.9;1
196503;2.9;1
196504;4.6;1
196505;8.2;1
196506;11;1
196507;11.2;1
196508;11.4;1
196509;9.2;1
196510;6.7;1
196511;3.4;1
196512;3.1;1
196601;-0.4;1
196602;5.8;1
196603;1.5;1
196604;7;1
196605;7.9;1
196606;11.9;1
196607;11.9;1
196608;11.7;1
196609;10.8;1
196610;9.7;1
196611;2.4;1
196612;3.6;1
196701;1;1
196702;2.6;1
196703;3.4;1
196704;3.6;1
196705;7.4;1
196706;9.5;1
196707;13.5;1
196708;12.1;1
196709;10.7;1
196710;9.4;1
196711;3.5;1
196712;0.7;1
196801;1.2;1
196802;1.1;1
196803;3.3;1
196804;4.7;1
196805;7.2;1
196806;10.7;1
196807;12;1
196808;12.8;1
196809;10.8;1
196810;9.5;1
196811;2.6;1
196812;0.2;1
196901;2.8;1
196902;-0.7;1
196903;3.3;1
196904;4.6;1
196905;8.3;1
196906;9.9;1
196907;13.3;1
196908;12.5;1
196909;11.5;1
196910;7.1;1
196911;3.7;1
196912;-1.7;1
197001;1.7;1
197002;1.6;1
197003;1.3;1
197004;3.6;1
197005;8.3;1
197006;12.8;1
197007;11.9;1
197008;13.1;1
197009;11.3;1
197010;6.7;1
197011;5.2;1
197012;-0.3;1
197101;-0.1;1
197102;0.9;1
197103;-0.5;1
197104;5.1;1
197105;9.6;1
197106;10.3;1
197107;13.2;1
197108;12.6;1
197109;8.9;1
197110;5.5;1
197111;1.1;1
197112;1.8;1
197201;0.3;1
197202;2.6;1
197203;3.3;1
197204;5.1;1
197205;7.4;1
197206;8.3;1
197207;12;1
197208;11.1;1
197209;6.9;1
197210;4.8;1
197211;3.7;1
197212;1.7;1
197301;0.1;1
197302;0.1;1
197303;-0.1;1
197304;2.5;1
197305;8.5;1
197306;11.2;1
197307;12.6;1
197308;14;1
197309;11.3;1
197310;5.7;1
197311;2.4;1
197312;1;1
197401;3.9;1
197402;2.2;1
197403;3.7;1
197404;4;1
197405;6.9;1
197406;9.9;1
197407;11.1;1
197408;12.3;1
197409;9.7;1
197410;4;1
197411;4.3;1
197412;4.3;1
197501;3.6;1
197502;1;1
197503;1.6;1
197504;4.5;1
197505;6.8;1
197506;10.1;1
197507;12.8;1
197508;14.4;1
197509;11.3;1
197510;5.9;1
197511;3.9;1
197512;0;1
197601;1.4;1
197602;1.4;1
197603;1;1
197604;3.3;1
197605;7.9;1
197606;12.7;1
197607;15;1
197608;12.3;1
197609;9.8;1
197610;9.1;1
197611;3.9;1
197612;0.6;1
197701;1.8;1
197702;4.4;1
197703;4.2;1
197704;3.4;1
197705;8;1
197706;10.4;1
197707;12.9;1
197708;11;1
197709;8.2;1
197710;8.8;1
197711;4.1;1
197712;2.9;1
197801;0.7;1
197802;1.3;1
197803;3.8;1
197804;3.5;1
197805;8.1;1
197806;10.2;1
197807;11.8;1
197808;10.4;1
197809;8.4;1
197810;5.5;1
197811;1.4;1
197812;3.1;1
197901;-4.5;1
197902;0.6;1
197903;3.1;1
197904;4.4;1
197905;7.4;1
197906;10.9;1
197907;11.5;1
197908;11.4;1
197909;9.7;1
197910;8.3;1
197911;3.1;1
197912;3.6;1
198001;-0.9;1
198002;3.4;1
198003;2.6;1
198004;3.7;1
198005;6.5;1
198006;10;1
198007;11.7;1
198008;12.8;1
198009;10.8;1
198010;6.2;1
198011;1.8;1
198012;-0.2;1
198101;0.7;1
198102;-0.9;1
198103;6.6;1
198104;5.6;1
198105;8.6;1
198106;10.5;1
198107;12.2;1
198108;12.3;1
198109;10.9;1
198110;7.4;1
198111;4;1
198112;1.7;1
198201;2.4;1
198202;2.3;1
198203;2;1
198204;3.1;1
198205;7.9;1
198206;12.6;1
198207;13.6;1
198208;11.9;1
198209;12.1;1
198210;7.9;1
198211;5.8;1
198212;2.6;1
198301;2.9;1
198302;-0.7;1
198303;2.9;1
198304;4.3;1
198305;7.3;1
198306;11.8;1
198307;15.8;1
198308;13.2;1
198309;10.9;1
198310;6;1
198311;3.2;1
198312;1.1;1
198401;1.4;1
198402;0.3;1
198403;0.1;1
198404;2.8;1
198405;6.4;1
198406;10.6;1
198407;12;1
198408;12.3;1
198409;10.3;1
198410;8.4;1
198411;6.8;1
198412;2.1;1
198501;-4.1;1
198502;-1;1
198503;1.3;1
198504;5.1;1
198505;8.8;1
198506;9.9;1
198507;13;1
198508;11.3;1
198509;10.7;1
198510;5.6;1
198511;1.1;1
198512;2.7;1
198601;1.5;1
198602;-5.7;1
198603;1.3;1
198604;2.9;1
198605;8.8;1
198606;12.4;1
198607;12.5;1
198608;11.8;1
198609;8.1;1
198610;8.9;1
198611;5.1;1
198612;2.5;1
198701;-4.4;1
198702;1;1
198703;1.1;1
198704;6.5;1
198705;6.3;1
198706;10.8;1
198707;13.1;1
198708;12.7;1
198709;13.3;1
198710;8.8;1
198711;3.8;1
198712;2.3;1
198801;4.6;1
198802;1.3;1
198803;3.7;1
198804;5.3;1
198805;10;1
198806;11;1
198807;11.9;1
198808;12.3;1
198809;10.7;1
198810;8.5;1
198811;1.6;1
198812;4.3;1
198901;1.2;1
198902;1.7;1
198903;5.1;1
198904;3.9;1
198905;9.7;1
198906;10.7;1
198907;14.1;1
198908;12.5;1
198909;10.6;1
198910;8.9;1
198911;2.7;1
198912;1.8;1
199001;2.6;1
199002;5;1
199003;3;1
199004;4.2;1
199005;9.1;1
199006;10.6;1
199007;12.6;1
199008;14.1;1
199009;8.4;1
199010;9.3;1
199011;4.5;1
199012;1;1
199101;1.8;1
199102;-3.2;1
199103;5.5;1
199104;3.7;1
199105;6.3;1
199106;9.2;1
199107;13.4;1
199108;13.4;1
199109;12.2;1
199110;6.6;1
199111;3.3;1
199112;0;1
199201;-0.3;1
199202;0.3;1
199203;3.9;1
199204;3.9;1
199205;8.7;1
199206;11;1
199207;13.6;1
199208;14.7;1
199209;10.1;1
199210;5.5;1
199211;5.7;1
199212;2.2;1
199301;3.8;1
199302;-0.4;1
199303;1.8;1
199304;6.5;1
199305;9.5;1
199306;11.8;1
199307;11.9;1
199308;10.9;1
199309;9.6;1
199310;6.9;1
199311;0.2;1
199312;3.9;1
199401;3.3;1
199402;2.1;1
199403;5;1
199404;4.6;1
199405;8.8;1
199406;10.9;1
199407;15.2;1
199408;14.3;1
199409;10.6;1
199410;7.6;1
199411;8.5;1
199412;4.1;1
199501;1.5;1
199502;5.2;1
199503;2.4;1
199504;5.3;1
199505;8.1;1
199506;10.1;1
199507;15.1;1
199508;14.4;1
199509;9.6;1
199510;10.3;1
199511;3.5;1
199512;1.3;1
199601;2.3;1
199602;0.1;1
199603;1.3;1
199604;4.1;1
199605;6.9;1
199606;11.5;1
199607;11.9;1
199608;12.2;1
199609;8;1
199610;7.5;1
199611;3.8;1
199612;-0.2;1
199701;-1.7;1
199702;2.9;1
199703;4.1;1
199704;3.1;1
199705;8.5;1
199706;11.6;1
199707;12.4;1
199708;16.5;1
199709;9.7;1
199710;6.8;1
199711;6;1
199712;3.6;1
199801;1.9;1
199802;0.7;1
199803;3.8;1
199804;5.7;1
199805;9.4;1
199806;11.6;1
199807;12.5;1
199808;11.9;1
199809;11.7;1
199810;8.4;1
199811;1.6;1
199812;2.4;1
199901;3.1;1
199902;1.5;1
199903;4.2;1
199904;5.8;1
199905;10.4;1
199906;10.7;1
199907;14.3;1
199908;13.7;1
199909;13;1
199910;8;1
