# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 39013004
# NOM_USUEL= ARBOIS_SAPC
# LATITUDE (°) = 46.896
# LONGITUDE(°)= 5.74
# ALTITUDE (m) = 313
# NUM_SERIE= MTN139013004
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196803 197312 198003 201510
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;0.4;1
195902;-1;1
195903;5.6;1
195904;5.9;1
195905;9;1
195906;12.3;1
195907;16;1
195908;13;1
195909;12.3;1
195910;7.4;1
195911;2.7;1
195912;1.9;1
196001;-0.9;1
196002;1.3;1
196003;5;1
196004;5;1
196005;9.9;1
196006;12.4;1
196007;11.4;1
196008;13.4;1
196009;9.6;1
196010;7.9;1
196011;5.2;1
196012;-0.6;1
196101;0.5;1
196102;4.2;1
196103;3.5;1
196104;8.8;1
196105;8.6;1
196106;12.4;1
196107;12.6;1
196108;13.1;1
196109;14.6;1
196110;8.7;1
196111;2.1;1
196112;0.8;1
196201;2.1;1
196202;-1.5;1
196203;-0.2;1
196204;5;1
196205;7.9;1
196206;9.8;1
196207;12.4;1
196208;13.5;1
196209;10.5;1
196210;5.9;1
196211;0.4;1
196212;-5.1;1
196301;-5.5;1
196302;-4.7;1
196303;3.2;1
196304;6.5;1
196305;7.7;1
196306;12.2;1
196307;14.1;1
196308;12.7;1
196309;11.3;1
196310;6.1;1
196311;6.2;1
196312;-4.5;1
196401;-4.1;1
196402;2.4;1
196403;2.7;1
196404;6.3;1
196405;9.6;1
196406;12.4;1
196407;14.3;1
196408;13.1;1
196409;11.6;1
196410;5.6;1
196411;3.4;1
196412;-1.2;1
196501;0.9;1
196502;-3.7;1
196503;3.1;1
196504;4.7;1
196505;8.3;1
196506;12.1;1
196507;12.5;1
196508;12.5;1
196509;9.9;1
196510;7.8;1
196511;3.3;1
196512;2.4;1
196601;-2;1
196602;5.1;1
196603;1.8;1
196604;7.9;1
196605;9.2;1
196606;12.5;1
196607;12.1;1
196608;11.9;1
196609;11.8;1
196610;10.5;1
196611;0.8;1
196612;1;1
196701;-1.1;1
196702;1.5;1
196703;4.3;1
196704;3.4;1
196705;8.7;1
196706;10.1;1
196707;15.3;1
196708;13.4;1
196709;11.2;1
196710;9.9;1
196711;2.6;1
196712;-3.1;1
196801;-2.3;1
196802;1.6;1
196803;2.2;1
196804;5.9;1
196805;8;1
196806;11;1
196807;13.3;1
196808;12.3;1
196809;10.3;1
196810;9.1;1
196811;3;1
196812;-1.4;1
196901;-0.4;1
196902;-0.8;1
196903;3.7;1
196904;5.1;1
196905;9.7;1
196906;10.1;1
196907;14.4;1
196908;13.4;1
196909;11.1;1
196910;6.8;1
196911;3.3;1
196912;-5.5;1
197001;0.4;1
197002;0.9;1
197003;1;1
197004;3.8;1
197005;8.5;1
197006;13.5;1
197007;13.2;1
197008;14.6;1
197009;11.2;1
197010;5.8;1
197011;4.9;1
197012;-2.5;1
197101;-1.9;1
197102;-0.4;1
197103;-1;1
197104;6.7;1
197105;10.6;1
197106;11.1;1
197107;14.7;1
197108;14.4;1
197109;9.3;1
197110;6.9;1
197111;0.3;1
197112;-1.1;1
197201;0.6;1
197202;2.8;1
197203;4.3;1
197204;4.7;1
197205;8.5;1
197206;10.2;1
197207;12.9;1
197208;12.4;1
197209;6;1
197210;5.7;1
197211;3.4;1
197212;0.4;1
197301;-2.4;1
197302;-1.5;1
197303;0.1;1
197304;2;1
197305;8.3;1
197306;11.4;1
197307;13.1;1
197308;14.6;1
197309;12.7;1
197310;6.3;1
197311;2.7;1
197312;-0.1;1
197401;3.8;1
197402;2.7;1
197403;5.1;1
197404;4.7;1
197405;8.4;1
197406;10.7;1
197407;12.9;1
197408;14.3;1
197409;11.5;1
197410;3.9;1
197411;4.2;1
197412;4.1;1
197501;2.7;1
197502;1;1
197503;2.4;1
197504;5;1
197505;8.2;1
197506;10.5;1
197507;13.8;1
197508;15.1;1
197509;12.5;1
197510;5;1
197511;3.1;1
