# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 17243002
# NOM_USUEL= MONTLIEU_SAPC
# LATITUDE (°) = 45.22
# LONGITUDE(°)= -0.292
# ALTITUDE (m) = 89
# NUM_SERIE= MTN017243002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 196101 197012 199812 201112 201510
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;1.6;1
195902;0.2;1
195903;4.9;1
195904;6.2;1
195905;9.7;1
195906;11.7;1
195907;13.5;1
195908;13.2;1
195909;12.4;1
195910;8.9;1
195911;5.3;1
195912;4.9;1
196001;1.3;1
196002;2.5;1
196003;6.2;1
196004;5;1
196005;8.5;1
196006;11.7;1
196007;12.6;1
196008;12.6;1
196009;10.6;1
196010;8.4;1
196011;6.8;1
196012;1.1;1
196101;1.7;1
196102;5.8;1
196103;1.4;1
196104;8.1;1
196105;7.5;1
196106;11.3;1
196107;13.1;1
196108;11;1
196109;14;1
196110;8.7;1
196111;4.6;1
196112;3.4;1
196201;2.4;1
196202;0.3;1
196203;1.5;1
196204;5.2;1
196205;7.6;1
196206;10.8;1
196207;12.3;1
196208;11.9;1
196209;10.5;1
196210;9.4;1
196211;3;1
196212;-0.2;1
196301;-2.4;1
196302;-2.1;1
196303;4.3;1
196304;5.2;1
196305;6.6;1
196306;10.7;1
196307;13.1;1
196308;12;1
196309;12.6;1
196310;8.7;1
196311;7;1
196312;0.4;1
196401;-1.6;1
196402;3.3;1
196403;3.6;1
196404;5.5;1
196405;10;1
196406;10.9;1
196407;13.6;1
196408;13.4;1
196409;13.2;1
196410;6.4;1
196411;3.8;1
196412;0.7;1
196501;1.9;1
196502;-1.1;1
196503;4.3;1
196504;5.6;1
196505;7.7;1
196506;9.6;1
196507;11.1;1
196508;11.9;1
196509;10.8;1
196510;10.9;1
196511;4.7;1
196512;4.6;1
196601;2.4;1
196602;8;1
196603;2;1
196604;8.3;1
196605;8;1
196606;11.6;1
196607;11.7;1
196608;12.2;1
196609;12;1
196610;9.5;1
196611;2.6;1
196612;4.6;1
196701;0.9;1
196702;3.1;1
196703;3.5;1
196704;4.5;1
196705;7.2;1
196706;10.7;1
196707;13.8;1
196708;12.7;1
196709;11.1;1
196710;10;1
196711;6;1
196712;0.5;1
196801;1.5;1
196802;2.4;1
196803;2.4;1
196804;5.9;1
196805;7;1
196806;10;1
196807;13.1;1
196808;12.6;1
196809;11.3;1
196810;10.3;1
196811;5.6;1
196812;2.3;1
196901;2.9;1
196902;-0.6;1
196903;4.1;1
196904;6.6;1
196905;8.9;1
196906;10.1;1
196907;13.6;1
196908;12.5;1
196909;12.2;1
196910;9.3;1
196911;4;1
196912;0.7;1
197001;2.7;1
197002;3.1;1
197003;1.6;1
197004;3.4;1
197005;8.5;1
197006;12.6;1
197007;12.3;1
197008;13.1;1
197009;11.9;1
197010;6.4;1
197011;6.4;1
197012;0.1;1
197101;1.7;1
197102;0;1
197103;-1.2;1
197104;6.5;1
197105;9.2;1
197106;10.2;1
197107;14.6;1
197108;11.4;1
197109;11;1
197110;8.5;1
197111;1.8;1
197112;2.3;1
197201;1.8;1
197202;3.2;1
197203;4;1
197204;4.4;1
197205;7.7;1
197206;8.2;1
197207;11.6;1
197208;11.7;1
197209;8.8;1
197210;7.8;1
197211;5.1;1
197212;2.2;1
197301;0.4;1
197302;-0.1;1
197303;0.4;1
197304;2.8;1
197305;9.7;1
197306;11.5;1
197307;12.8;1
197308;15.1;1
197309;11.7;1
197310;5.7;1
197311;3.8;1
197312;0.8;1
197401;3.8;1
197402;2.3;1
197403;3.7;1
197404;4.5;1
197405;7.1;1
197406;10.8;1
197407;11.8;1
197408;12.8;1
197409;10.5;1
197410;4;1
197411;5.1;1
197412;4.4;1
197501;3.8;1
197502;2.4;1
197503;1.8;1
197504;4.6;1
197505;7.4;1
197506;11.7;1
197507;12;1
197508;14.2;1
197509;11.5;1
197510;7;1
197511;3.5;1
197512;-0.2;1
197601;0.8;1
197602;2.8;1
197603;1.9;1
197604;5.3;1
197605;7.8;1
197606;11.9;1
197607;13.8;1
197608;13.3;1
197609;10.2;1
197610;8.8;1
197611;3.4;1
197612;2.9;1
197701;1.9;1
197702;5.3;1
197703;4.5;1
197704;5.3;1
197705;8.1;1
197706;11;1
197707;12.8;1
197708;11.9;1
197709;9.8;1
197710;9.9;1
197711;3.9;1
197712;3.6;1
197801;1.3;1
197802;2.9;1
197803;3.9;1
197804;4.5;1
197805;8.2;1
197806;9.8;1
197807;12.1;1
197808;12.3;1
197809;10.6;1
197810;7.7;1
197811;3.4;1
197812;4.1;1
197901;0.7;1
197902;2.9;1
197903;4.2;1
197904;5;1
197905;8;1
197906;11.3;1
197907;13;1
197908;11.9;1
197909;10.6;1
197910;9.9;1
197911;3.2;1
197912;3.4;1
198001;0.9;1
198002;4.5;1
198003;3;1
198004;4.4;1
198005;8;1
198006;10.6;1
198007;10.2;1
198008;13.6;1
198009;12.2;1
198010;7.6;1
198011;3.3;1
198012;0.3;1
198101;2;1
198102;0.1;1
198103;6.4;1
198104;6.5;1
198105;9.2;1
198106;11.2;1
198107;12.6;1
198108;14.1;1
198109;12.1;1
198110;8.9;1
198111;4.6;1
198112;3.5;1
198201;5.1;1
198202;3.6;1
198203;3.4;1
198204;5.3;1
198205;8.4;1
198206;13.5;1
198207;15;1
198208;12.2;1
198209;12.3;1
198210;8;1
198211;6.5;1
198212;3.7;1
198301;2.9;1
198302;1.1;1
198303;3.4;1
198304;5.4;1
198305;7.7;1
198306;11.9;1
198307;16.2;1
198308;14.1;1
198309;11.7;1
198310;8.2;1
198311;6.4;1
198312;2.1;1
198401;2.5;1
198402;1;1
198403;1.8;1
198404;5.8;1
198405;6.5;1
198406;11.4;1
198407;13.2;1
198408;12.3;1
198409;9.6;1
198410;8;1
198411;7.5;1
198412;2.3;1
198501;-3.2;1
198502;3.7;1
198503;1.8;1
198504;6.2;1
198505;8;1
198506;11.2;1
198507;14.2;1
198508;11.3;1
198509;11.9;1
198510;8.7;1
198511;1.8;1
198512;1.9;1
198601;2.7;1
198602;-0.6;1
