# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 18033001
# NOM_USUEL= BOURGES
# LATITUDE (°) = 47.059
# LONGITUDE(°)= 2.36
# ALTITUDE (m) = 161
# NUM_SERIE= MTN418033001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196112 196705 201412 201712
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.4;1
195302;-1.4;1
195303;1.5;1
195304;5.3;1
195305;9.3;1
195306;11;1
195307;13.3;1
195308;12.6;1
195309;11.1;1
195310;8.1;1
195311;1.2;1
195312;4.3;1
195401;-1.6;1
195402;-1.9;1
195403;3;1
195404;3.9;1
195405;7.7;1
195406;11.3;1
195407;11.6;1
195408;12.4;1
195409;11.6;1
195410;7.6;1
195411;4;1
195412;3.6;1
195501;2.1;1
195502;0.6;1
195503;0;1
195504;4.7;1
195505;6.8;1
195506;12.4;1
195507;14.8;1
195508;13.6;1
195509;10.4;1
195510;4.9;1
195511;2.2;1
195512;4.3;1
195601;1;1
195602;-9.6;1
195603;2.3;1
195604;3.2;1
195605;8.9;1
195606;10.2;1
195607;13.1;1
195608;11.5;1
195609;12.3;1
195610;6.3;1
195611;1.2;1
195612;2.4;1
195701;-1.6;1
195702;3.4;1
195703;4.9;1
195704;4.1;1
195705;5.8;1
195706;12.3;1
195707;14.1;1
195708;13.3;1
195709;10.6;1
195710;6.9;1
195711;3.5;1
195712;-0.2;1
195801;0.6;1
195802;2.8;1
195803;0.7;1
195804;4.1;1
195805;9.5;1
195806;11;1
195807;13.3;1
195808;14.3;1
195809;12.8;1
195810;7;1
195811;3.8;1
195812;2.2;1
195901;0.1;1
195902;-0.3;1
195903;4.1;1
195904;5.9;1
195905;9.5;1
195906;12.3;1
195907;14.4;1
195908;14.2;1
195909;11.6;1
195910;7.1;1
195911;4.1;1
195912;3.3;1
196001;-0.3;1
196002;1.3;1
196003;4.5;1
196004;4.9;1
196005;9.5;1
196006;12.6;1
196007;12;1
196008;12.8;1
196009;9.9;1
196010;7.5;1
196011;5.4;1
196012;0.2;1
196101;1;1
196102;3.6;1
196103;2.5;1
196104;7.3;1
196105;7.9;1
196106;12;1
196107;12.7;1
196108;12.2;1
196109;13.7;1
196110;8.7;1
196111;3.5;1
196112;1.9;1
196201;2.1;1
196202;-0.3;1
196203;0.2;1
196204;5.2;1
196205;7.7;1
196206;10.3;1
196207;12.3;1
196208;12.4;1
196209;9.4;1
196210;6.8;1
196211;2.1;1
196212;-2.8;1
196301;-5.4;1
196302;-5;1
196303;2.3;1
196304;6.1;1
196305;7.5;1
196306;11.6;1
196307;13.1;1
196308;12.6;1
196309;10.8;1
196310;7.2;1
196311;5.7;1
196312;-2.2;1
196401;-2.4;1
196402;2.7;1
196403;2.8;1
196404;5.3;1
196405;9.6;1
196406;11.5;1
196407;13.6;1
196408;13.4;1
196409;12.5;1
196410;5.6;1
196411;4.2;1
196412;-0.7;1
196501;1.2;1
196502;-1.4;1
196503;3;1
196504;5.3;1
196505;8.7;1
196506;11.7;1
196507;12.5;1
196508;12.6;1
196509;9.9;1
196510;7.8;1
196511;3.7;1
196512;3.3;1
196601;-0.4;1
196602;5.2;1
196603;1.9;1
196604;7;1
196605;8.7;1
196606;12.6;1
196607;12.6;1
196608;12.7;1
196609;11.5;1
196610;9.9;1
196611;2.3;1
196612;3.2;1
196701;0.1;1
196702;2.1;1
196703;3.9;1
196704;4.5;1
196705;7.5;1
196706;10.2;1
196707;14;1
196708;12.9;1
196709;10.3;1
196710;9.2;1
196711;3.9;1
196712;-0.1;1
196801;0.6;1
196802;1.1;1
196803;2.9;1
196804;4.7;1
196805;7;1
196806;10.8;1
196807;12.9;1
196808;12.8;1
196809;10.7;1
196810;9.7;1
196811;3;1
196812;0.4;1
196901;2;1
196902;-0.6;1
196903;3.6;1
196904;5.5;1
196905;8.2;1
196906;10.4;1
196907;13.5;1
196908;13.2;1
196909;11.3;1
196910;7.5;1
196911;3.6;1
196912;-2.2;1
197001;1.3;1
197002;2.2;1
197003;1.3;1
197004;3.9;1
197005;8.2;1
197006;13.1;1
197007;12.7;1
197008;13.6;1
197009;11.3;1
197010;6.3;1
197011;4.3;1
197012;-1.1;1
197101;-0.3;1
197102;0.3;1
197103;-0.2;1
197104;6;1
197105;9.7;1
197106;10.8;1
197107;13.8;1
197108;13.1;1
197109;9.9;1
197110;6.1;1
197111;1.4;1
197112;0.9;1
197201;0.7;1
197202;2.7;1
197203;3.6;1
197204;5.2;1
197205;7.7;1
197206;8.7;1
197207;12.9;1
197208;12.4;1
197209;7.7;1
197210;5.3;1
197211;3.7;1
197212;0.6;1
197301;-0.2;1
197302;-0.2;1
197303;0.2;1
197304;2.5;1
197305;9.2;1
197306;11.7;1
197307;13.4;1
197308;15.1;1
197309;11.5;1
197310;5.8;1
197311;2.1;1
197312;0.3;1
197401;3.3;1
197402;1.9;1
197403;4;1
197404;4.5;1
197405;7.1;1
197406;11;1
197407;11.9;1
197408;13;1
197409;10.3;1
197410;4.5;1
197411;4.6;1
197412;3.9;1
197501;3.3;1
197502;0.8;1
197503;2;1
197504;4.9;1
197505;7.8;1
197506;10.2;1
197507;12.8;1
197508;14.7;1
197509;11.4;1
197510;5.4;1
197511;3.3;1
197512;-0.7;1
197601;0.8;1
197602;1;1
197603;1.2;1
197604;4;1
197605;8.1;1
197606;12.8;1
197607;14.6;1
197608;12.6;1
197609;9.7;1
197610;8;1
197611;2.8;1
197612;0.3;1
197701;1.5;1
197702;4.2;1
197703;3.9;1
197704;3.8;1
197705;8.5;1
197706;11;1
197707;13.2;1
197708;11.7;1
197709;8.9;1
197710;8.7;1
197711;3.6;1
197712;1.8;1
197801;0.8;1
197802;1.6;1
197803;3.5;1
197804;4;1
197805;8.5;1
197806;10.4;1
197807;12.4;1
197808;11;1
197809;9.4;1
197810;5.3;1
197811;1.1;1
197812;3.2;1
197901;-2.4;1
197902;2.1;1
197903;3.7;1
197904;4.6;1
197905;7.6;1
197906;12;1
197907;12.8;1
197908;12.5;1
197909;10.2;1
197910;8.7;1
197911;3;1
197912;2.5;1
198001;-1.1;1
198002;3.1;1
198003;2.7;1
198004;4.1;1
198005;6.6;1
198006;10.7;1
198007;12;1
198008;14;1
198009;11;1
198010;6.1;1
198011;1.3;1
198012;-0.7;1
198101;0.4;1
198102;-0.8;1
198103;6.4;1
198104;6.3;1
198105;8.8;1
198106;11.1;1
198107;13.3;1
198108;13.7;1
198109;11.8;1
198110;8.1;1
198111;3;1
198112;1.9;1
198201;3.3;1
198202;1.9;1
198203;2.5;1
198204;4.3;1
198205;9;1
198206;13.1;1
198207;15.1;1
198208;13.1;1
198209;12.5;1
198210;8.2;1
198211;5.2;1
198212;2.9;1
198301;2.2;1
198302;-0.4;1
198303;3;1
198304;4.8;1
198305;7.7;1
198306;13;1
198307;16.9;1
198308;14.4;1
198309;11.4;1
198310;6.9;1
198311;3.7;1
198312;0.6;1
198401;1.9;1
198402;0.6;1
198403;0.6;1
198404;3.7;1
198405;6.2;1
198406;10.7;1
198407;12.6;1
198408;12.6;1
198409;10.3;1
198410;8.1;1
198411;6.1;1
198412;0.8;1
198501;-5;1
198502;0.3;1
198503;1.4;1
198504;5.5;1
198505;8.7;1
198506;10.8;1
198507;14.2;1
198508;11.4;1
198509;10.5;1
198510;6.1;1
198511;0.4;1
198512;1.2;1
198601;1.1;1
198602;-4.3;1
198603;1.7;1
198604;3.1;1
198605;9.2;1
198606;12.7;1
198607;13;1
198608;12;1
198609;9.1;1
198610;9;1
198611;3.8;1
198612;1.1;1
198701;-4.9;1
198702;1;1
198703;1.2;1
198704;6.4;1
198705;6.5;1
198706;11.2;1
198707;14.2;1
198708;13.4;1
198709;13;1
198710;9;1
198711;3.7;1
198712;1.9;1
198801;4;1
198802;1.5;1
198803;3.5;1
198804;5.4;1
198805;10.3;1
198806;11.6;1
198807;12.2;1
198808;12.9;1
198809;11.2;1
198810;8.7;1
198811;1.8;1
198812;2.8;1
198901;0.3;1
198902;1.2;1
198903;4.3;1
198904;4.5;1
198905;9.9;1
198906;11.1;1
198907;14.7;1
198908;13.6;1
198909;10.7;1
198910;8.1;1
198911;2.2;1
198912;0.9;1
199001;1;1
199002;4.9;1
199003;3;1
199004;5.1;1
199005;10.5;1
199006;11.7;1
199007;14.2;1
199008;14.8;1
199009;9.7;1
199010;9.4;1
199011;4.8;1
199012;0.3;1
199101;1.5;1
199102;-3;1
199103;5.9;1
199104;3.6;1
199105;7;1
199106;10.7;1
199107;14.4;1
