# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 8255001
# NOM_USUEL= LINAY
# LATITUDE (°) = 49.617
# LONGITUDE(°)= 5.217
# ALTITUDE (m) = 177
# NUM_SERIE= MTN008255001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 198512 199112 200712 201212
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-3.5;1
195302;-2.2;1
195303;-2.8;1
195304;3.5;1
195305;7.7;1
195306;10.9;1
195307;12;1
195308;9.8;1
195309;8.1;1
195310;6.6;1
195311;1.5;1
195312;1.7;1
195401;-5.2;1
195402;-3.8;1
195403;1.7;1
195404;0.4;1
195405;4.8;1
195406;9.4;1
195407;9;1
195408;10.6;1
195409;8.8;1
195410;6.3;1
195411;2.4;1
195412;2.2;1
195501;-1.8;1
195502;-2.7;1
195503;-1.8;1
195504;1.1;1
195505;5.1;1
195506;9.1;1
195507;11.9;1
195508;9.8;1
195509;7;1
195510;3;1
195511;1;1
195512;0.9;1
195601;-0.8;1
195602;-13.9;1
195603;1.6;1
195604;1.4;1
195605;5.4;1
195606;8.4;1
195607;11.4;1
195608;8.9;1
195609;9.4;1
195610;5.2;1
195611;0.2;1
195612;2;1
195701;-1.6;1
195702;2.2;1
195703;3.6;1
195704;2.5;1
195705;4.2;1
195706;9.8;1
195707;12.8;1
195708;10.3;1
195709;9.2;1
195710;3.9;1
195711;2.9;1
195712;-1.3;1
195801;-1;1
195802;0.5;1
195803;-1.9;1
195804;1.3;1
195805;7.9;1
195806;9.1;1
195807;11.3;1
195808;11.9;1
195809;10.7;1
195810;6.1;1
195811;2.7;1
195812;0.9;1
195901;-1.2;1
195902;-3;1
195903;2.4;1
195904;3.6;1
195905;7;1
195906;10;1
195907;12;1
195908;11.3;1
195909;7;1
195910;2.3;1
195911;2.1;1
195912;2.2;1
196001;-1.6;1
196002;-1.1;1
196003;2.3;1
196004;2.5;1
196005;6.4;1
196006;10.2;1
196007;9.7;1
196008;10.5;1
196009;7.4;1
196010;6;1
196011;4.5;1
196012;0.3;1
196101;-1;1
196102;2;1
196103;0.6;1
196104;6.6;1
196105;5.3;1
196106;9.2;1
196107;8.5;1
196108;9.9;1
196109;11.5;1
196110;7.3;1
196111;2;1
196112;-0.1;1
196201;0.6;1
196202;-1.6;1
196203;-2.9;1
196204;3.6;1
196205;5;1
196206;7.5;1
196207;9.2;1
196208;9.9;1
196209;6.5;1
196210;4.2;1
196211;0.6;1
196212;-3.6;1
196301;-7;1
196302;-6.6;1
196303;0.1;1
196304;4;1
196305;5.9;1
196306;10.5;1
196307;10.2;1
196308;10.6;1
196309;9;1
196310;3.6;1
196311;4.9;1
196312;-4.2;1
196401;-2.9;1
196402;0.9;1
196403;0;1
196404;3.1;1
196405;6.8;1
196406;8.9;1
196407;10.9;1
196408;10.3;1
196409;8.8;1
196410;3.7;1
196411;3.8;1
196412;-1.4;1
196501;0.5;1
196502;-2.8;1
196503;0.9;1
196504;2.6;1
196505;6.3;1
196506;9.6;1
196507;10.8;1
196508;10.3;1
196509;7.5;1
196510;3.5;1
196511;0.5;1
196512;1.2;1
196601;-2.5;1
196602;3.3;1
196603;0.3;1
196604;4.5;1
196605;7.3;1
196606;10.8;1
196607;10.2;1
196608;10.1;1
196609;8;1
196610;8.2;1
196611;0.2;1
196612;1.1;1
196701;-1;1
196702;0.8;1
196703;1.7;1
196704;0.9;1
196705;6;1
196706;8.4;1
196707;11.1;1
196708;10.9;1
196709;8.4;1
196710;7.7;1
196711;1.2;1
196712;-1.9;1
196801;-2;1
196802;-0.4;1
196803;1.1;1
196804;2;1
196805;5.7;1
196806;8.9;1
196807;11.1;1
196808;11.4;1
196809;9.3;1
196810;7.4;1
196811;1.6;1
196812;-2.5;1
196901;1;1
196902;-3.6;1
196903;0.9;1
196904;2.7;1
196905;7.4;1
196906;8.7;1
196907;11.6;1
196908;11.1;1
196909;8;1
196910;4.1;1
196911;1.8;1
196912;-3.4;1
197001;-0.8;1
197002;-1.3;1
197003;-0.8;1
197004;1.7;1
197005;7.1;1
197006;11.7;1
197007;9.8;1
197008;10.8;1
197009;8.3;1
197010;6.3;1
197011;3.1;1
197012;-1.3;1
197101;-2.2;1
197102;-0.2;1
197103;-2.3;1
197104;2;1
197105;7.9;1
197106;8.7;1
197107;10.6;1
197108;11.2;1
197109;6.1;1
197110;3.5;1
197111;0.9;1
197112;0.6;1
197201;-1.2;1
197202;0.5;1
197203;0.3;1
197204;3.1;1
197205;5.9;1
197206;8.1;1
197207;11.9;1
197208;10;1
197209;5.5;1
197210;3;1
197211;2.3;1
197212;-0.3;1
197301;-1.6;1
197302;-1.4;1
197303;-1.7;1
197304;0.9;1
197305;7.3;1
197306;10.2;1
197307;11.8;1
197308;11.5;1
197309;8.8;1
197310;3.5;1
197311;0.2;1
197312;-1.1;1
197401;2.1;1
197402;0.2;1
197403;2.3;1
197404;2.4;1
197405;5.5;1
197406;8.3;1
197407;9.3;1
197408;10.6;1
197409;8.2;1
197410;4.5;1
197411;3;1
197412;3.9;1
197501;2.7;1
197502;-1.5;1
197503;1.5;1
197504;2.6;1
197505;5.1;1
197506;9.6;1
197507;11.8;1
197508;13.4;1
197509;9.6;1
197510;3.9;1
197511;0.9;1
197512;-2;1
197601;0.6;1
197602;0.1;1
197603;-1;1
197604;1.3;1
197605;4.8;1
197606;9.9;1
197607;12.6;1
197608;9.5;1
197609;7.9;1
197610;6.7;1
197611;3.1;1
197612;-1.8;1
197701;-0.2;1
197702;2.2;1
197703;2.2;1
197704;0.5;1
197705;7;1
197706;9.8;1
197707;11;1
197708;10.4;1
197709;6.1;1
197710;6.7;1
197711;2.8;1
197712;1;1
197801;-0.2;1
197802;-1.6;1
197803;2;1
197804;1.4;1
197805;7;1
197806;9.2;1
197807;9.7;1
197808;9.2;1
197809;7;1
197810;4.1;1
197811;0.7;1
197812;0.2;1
197901;-7.1;1
197902;-1.7;1
197903;1.4;1
197904;2.6;1
197905;5.5;1
197906;10.6;1
197907;9.9;1
197908;9.6;1
197909;7.3;1
197910;6.5;1
197911;1.3;1
197912;2.7;1
198001;-4.8;1
198002;1.3;1
198003;1;1
198004;1.9;1
198005;5.5;1
198006;9.5;1
198007;10.8;1
198008;11.4;1
198009;8.5;1
198010;3.6;1
198011;0.5;1
198012;-1.6;1
198101;-1.1;1
198102;-2.7;1
198103;4.7;1
198104;3.5;1
198105;6.7;1
198106;9.8;1
198107;11.6;1
198108;10.9;1
198109;8.2;1
198110;4.7;1
198111;2.2;1
198112;-1;1
198201;-2.6;1
198202;-0.4;1
198203;0.9;1
198204;2.5;1
198205;6.7;1
198206;11.2;1
198207;12.4;1
198208;11.2;1
198209;10.8;1
198210;6.7;1
198211;3.4;1
198212;0.3;1
198301;2.3;1
198302;-1.6;1
198303;2.4;1
198304;4.8;1
198305;6;1
198306;10.4;1
198307;14;1
198308;11.9;1
198309;9.1;1
198310;5.1;1
198311;0;1
198312;-0.3;1
198401;0.4;1
198402;-0.9;1
198403;-1;1
198404;2.2;1
198405;4.9;1
198406;8.2;1
198407;10;1
198408;11.6;1
198409;9.1;1
198410;7.1;1
198411;4.4;1
198412;0.6;1
198501;-8.6;1
198502;-5.2;1
198503;-0.7;1
198504;2.9;1
198505;7.3;1
198506;8.3;1
198507;10.6;1
198508;9.6;1
198509;6.5;1
198510;2.3;1
198511;-1.6;1
198512;1.1;1
198601;-0.1;1
198602;-8.4;1
