# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 3059001
# NOM_USUEL= CHAREIL-CINTRAT_SAPC
# LATITUDE (°) = 46.276
# LONGITUDE(°)= 3.226
# ALTITUDE (m) = 286
# NUM_SERIE= MTN203059001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 198312
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.6;1
195102;0.7;1
195103;0.9;1
195104;3.9;1
195105;6.4;1
195106;10.9;1
195107;11.2;1
195108;11.9;1
195109;9.7;1
195110;5.9;1
195111;4;1
195112;-0.6;1
195201;-1.3;1
195202;-2.1;1
195203;3.6;1
195204;5.1;1
195205;6.7;1
195206;11.2;1
195207;13.5;1
195208;12.5;1
195209;8.1;1
195210;6.4;1
195211;2.3;1
195212;0.9;1
195301;-3.2;1
195302;-2;1
195303;0.3;1
195304;4.4;1
195305;8.1;1
195306;10.5;1
195307;12.5;1
195308;11.1;1
195309;9;1
195310;6.4;1
195311;1.7;1
195312;2.4;1
195401;-2.1;1
195402;-2.1;1
195403;1.8;1
195404;3.1;1
195405;6.4;1
195406;9.8;1
195407;10.3;1
195408;11;1
195409;10.2;1
195410;5.5;1
195411;2.5;1
195412;1.8;1
195501;0.6;1
195502;-0.1;1
195503;-1.3;1
195504;1.6;1
195505;5.5;1
195506;10.4;1
195507;13.2;1
195508;11.6;1
195509;9.4;1
195510;3;1
195511;0;1
195512;2.7;1
195601;0.8;1
195602;-11.9;1
195603;0.1;1
195604;2.7;1
195605;7.5;1
195606;8.8;1
195607;11.4;1
195608;10.1;1
195609;10.3;1
195610;4.9;1
195611;0.4;1
195612;1.6;1
195701;-3.1;1
195702;2.8;1
195703;3.6;1
195704;3.3;1
195705;5.1;1
195706;10.9;1
195707;13.4;1
195708;11.1;1
195709;8.6;1
195710;4.2;1
195711;2.3;1
195712;-1.8;1
195801;-1.1;1
195802;0.9;1
195803;0;1
195804;2.8;1
195805;8.3;1
195806;10.1;1
195807;12.2;1
195808;12.6;1
195809;10.6;1
195810;4.4;1
195811;1.8;1
195812;0.7;1
195901;-0.8;1
195902;-1.9;1
195903;3.7;1
195904;5.5;1
195905;7.9;1
195906;11.7;1
195907;14;1
195908;12.1;1
195909;10.4;1
195910;6.4;1
195911;2.5;1
195912;2.3;1
196001;-1.4;1
196002;0;1
196003;3;1
196004;4.1;1
196005;8.1;1
196006;11.4;1
196007;11.5;1
196008;12.2;1
196009;9.2;1
196010;6.5;1
196011;4.5;1
196012;0;1
196101;-0.1;1
196102;2.4;1
196103;0;1
196104;6.5;1
196105;6.7;1
196106;11.6;1
196107;11.1;1
196108;10.9;1
196109;12.9;1
196110;7.7;1
196111;2.9;1
196112;-0.9;1
196201;1.8;1
196202;-2.1;1
196203;-0.8;1
196204;3.9;1
196205;6.7;1
196206;8.7;1
196207;11.2;1
196208;11.7;1
196209;8.7;1
196210;4.9;1
196211;0.5;1
196212;-4.2;1
196301;-7.7;1
196302;-7.1;1
196303;1.4;1
196304;4.6;1
196305;6.4;1
196306;11;1
196307;12.7;1
196308;11.5;1
196309;9.8;1
196310;5.1;1
196311;4.2;1
196312;-4.8;1
196401;-3.7;1
196402;1.2;1
196403;1.3;1
196404;4.9;1
196405;7.6;1
196406;11.1;1
196407;12.3;1
196408;11.6;1
196409;10.9;1
196410;4.2;1
196411;4.1;1
196412;-1.5;1
196501;0;1
196502;-3;1
196503;1.5;1
196504;4.6;1
196505;7.1;1
196506;11.1;1
196507;11.7;1
196508;11.3;1
196509;8.6;1
196510;7;1
196511;3;1
196512;2.4;1
196601;-1.2;1
196602;3.8;1
196603;-0.2;1
196604;6.2;1
196605;8.1;1
196606;11.6;1
196607;11.3;1
196608;11.6;1
196609;10.3;1
196610;8.7;1
196611;1;1
196612;2.3;1
196701;-0.7;1
196702;0.4;1
196703;2.6;1
196704;3;1
196705;6.4;1
196706;9.6;1
196707;13.3;1
196708;12.5;1
196709;9.9;1
196710;8.8;1
196711;2.8;1
196712;-1;1
196801;0;1
196802;0.3;1
196803;1.4;1
196804;3.9;1
196805;6.5;1
196806;10.2;1
196807;11.5;1
196808;11.9;1
196809;9.7;1
196810;7.9;1
196811;2.7;1
196812;-0.3;1
196901;0.8;1
196902;-1.8;1
196903;2.7;1
196904;4.1;1
196905;7.9;1
196906;10.2;1
196907;13.1;1
196908;12.7;1
196909;10.8;1
196910;5.9;1
196911;1.8;1
196912;-2.8;1
197001;0.1;1
197002;1.7;1
197003;0.6;1
197004;3.1;1
197005;6.9;1
197006;12.8;1
197007;12.1;1
197008;12.7;1
197009;9.7;1
