# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 79191005
# NOM_USUEL= NIORT
# LATITUDE (°) = 46.316
# LONGITUDE(°)= -0.4
# ALTITUDE (m) = 57
# NUM_SERIE= MTN279191005
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195901 202112
# Date(s) de rupture(s) d'homogénéité : 198512 201712
#     Periode homogénéisée  195901 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;1;1
195902;1.8;1
195903;4.9;1
195904;6.2;1
195905;10.1;1
195906;12.5;1
195907;14.5;1
195908;14.7;1
195909;13.6;1
195910;8.7;1
195911;5.2;1
195912;3.8;1
196001;1.1;1
196002;1.8;1
196003;5.2;1
196004;5.4;1
196005;10.1;1
196006;13.1;1
196007;12.9;1
196008;12.4;1
196009;10.8;1
196010;8.4;1
196011;6.4;1
196012;1.4;1
196101;1.8;1
196102;5.4;1
196103;3.2;1
196104;6.9;1
196105;7.8;1
196106;11.8;1
196107;13.3;1
196108;11.9;1
196109;14.8;1
196110;9.3;1
196111;4.6;1
196112;3.4;1
196201;3;1
196202;1;1
196203;1;1
196204;5.4;1
196205;7.7;1
196206;10.5;1
196207;12.8;1
196208;12.8;1
196209;10.8;1
196210;8.9;1
196211;3.9;1
196212;-0.7;1
196301;-3.7;1
196302;-2.4;1
196303;4.8;1
196304;5.7;1
196305;7.2;1
196306;11.9;1
196307;12.4;1
196308;12.3;1
196309;11.6;1
196310;8.6;1
196311;7;1
196312;-0.8;1
196401;-1.5;1
196402;3.2;1
196403;3.7;1
196404;4.9;1
196405;9.3;1
196406;11.6;1
196407;13.3;1
196408;14.2;1
196409;14.1;1
196410;6.8;1
196411;4.7;1
196412;1.3;1
196501;1.8;1
196502;-0.7;1
196503;4.2;1
196504;5.3;1
196505;8.7;1
196506;11.1;1
196507;11.2;1
196508;12.9;1
196509;10.2;1
196510;9.9;1
196511;5.1;1
196512;4.2;1
196601;2.1;1
196602;6.8;1
196603;1.5;1
196604;7.3;1
196605;8.4;1
196606;12.3;1
196607;13.2;1
196608;12.9;1
196609;12.6;1
196610;10;1
196611;2.5;1
196612;4.4;1
196701;1.8;1
196702;3.7;1
196703;3.8;1
196704;4.5;1
196705;7.9;1
196706;11;1
196707;13.8;1
196708;13.4;1
196709;10.7;1
196710;10.1;1
196711;5.2;1
196712;0.7;1
196801;2.1;1
196802;1.8;1
196803;3.6;1
196804;5.3;1
196805;7.2;1
196806;11.3;1
196807;13.3;1
196808;14.1;1
196809;11.4;1
196810;10.9;1
196811;5;1
196812;1.7;1
196901;3.4;1
196902;-0.3;1
196903;4.3;1
196904;6.3;1
196905;8.4;1
196906;10.8;1
196907;15.1;1
196908;13.8;1
196909;12.6;1
196910;9.3;1
196911;4.7;1
196912;0.8;1
197001;2.7;1
197002;3.4;1
197003;2;1
197004;4;1
197005;8;1
197006;13;1
197007;12.6;1
197008;14.6;1
197009;12.9;1
197010;7.4;1
197011;6.1;1
197012;0;1
197101;2;1
197102;1.1;1
197103;0.1;1
197104;6.9;1
197105;10.1;1
197106;11.3;1
197107;15.8;1
197108;13.9;1
197109;11.4;1
197110;8.2;1
197111;2.3;1
197112;2.5;1
197201;1.8;1
197202;4.1;1
197203;4.6;1
197204;5.9;1
197205;7.8;1
197206;9;1
197207;13.6;1
197208;12.8;1
197209;9.2;1
197210;7.9;1
197211;4.9;1
197212;3.1;1
197301;1.5;1
197302;0.9;1
197303;1;1
197304;3.5;1
197305;9.8;1
197306;12.3;1
197307;14.5;1
197308;16.4;1
197309;12.7;1
197310;7.2;1
197311;3.7;1
197312;1.8;1
197401;4.9;1
197402;3;1
197403;4.3;1
197404;5;1
197405;7.9;1
197406;11.1;1
197407;12.4;1
197408;13.5;1
197409;11.1;1
197410;5.4;1
197411;5.9;1
197412;5.1;1
197501;4.3;1
197502;2.2;1
197503;2.2;1
197504;5.1;1
197505;8.2;1
197506;12;1
197507;13.5;1
197508;15.7;1
197509;12;1
197510;7.3;1
197511;4.3;1
197512;-0.1;1
197601;1.9;1
197602;3.2;1
197603;2.1;1
197604;4.9;1
197605;8.4;1
197606;13.6;1
197607;15.6;1
197608;15.1;1
197609;11;1
197610;9.2;1
197611;3.5;1
197612;2.2;1
197701;2;1
197702;5.7;1
197703;4.7;1
197704;4.4;1
197705;8.6;1
197706;11.4;1
197707;13.2;1
197708;12.2;1
197709;9.7;1
197710;10.3;1
197711;4.3;1
197712;3.5;1
197801;1.2;1
197802;3;1
197803;4.5;1
197804;4.6;1
197805;8.6;1
197806;11.3;1
197807;12.8;1
197808;12;1
197809;10.9;1
197810;8;1
197811;3.3;1
197812;4.5;1
197901;-0.5;1
197902;3.4;1
197903;4.3;1
197904;5.1;1
197905;7.9;1
197906;12;1
197907;13.8;1
197908;12.9;1
197909;11.4;1
197910;10.4;1
197911;4.1;1
197912;3.7;1
198001;0.7;1
198002;4.1;1
198003;3.2;1
198004;4.5;1
198005;7.6;1
198006;11.5;1
198007;12;1
198008;14.2;1
198009;12.4;1
198010;8;1
198011;3.2;1
198012;0.9;1
198101;2.5;1
198102;0.1;1
198103;6.5;1
198104;6.4;1
198105;9.2;1
198106;11.2;1
198107;13.4;1
198108;14.6;1
198109;12.7;1
198110;9.1;1
198111;4.3;1
198112;3.2;1
198201;4.8;1
198202;3.4;1
198203;2.9;1
198204;4.5;1
198205;8.8;1
198206;13.7;1
198207;15.9;1
198208;13.2;1
198209;13.7;1
198210;8.8;1
198211;6.7;1
198212;4;1
198301;3.3;1
198302;1.3;1
198303;4.1;1
198304;5.1;1
198305;7.7;1
198306;13.1;1
198307;17.6;1
198308;15.5;1
198309;12.3;1
198310;8.4;1
198311;5.6;1
198312;2.1;1
198401;3;1
198402;1.6;1
198403;1.9;1
198404;5;1
198405;7.1;1
198406;12.2;1
198407;14;1
198408;13.9;1
198409;11.1;1
198410;9.4;1
198411;7.4;1
198412;2.4;1
198501;-2.5;1
198502;2.6;1
198503;2.2;1
198504;6.5;1
198505;8.6;1
198506;11.4;1
198507;14.6;1
198508;12;1
198509;12;1
198510;8.5;1
198511;2.3;1
198512;3.3;1
198601;2.8;1
198602;-2;1
198603;2.7;1
198604;3.4;1
198605;9;1
198606;11.9;1
198607;13.4;1
198608;11.9;1
198609;11;1
198610;10.5;1
198611;5.1;1
198612;3.2;1
198701;-3.4;1
198702;2.2;1
198703;2.4;1
198704;6.9;1
198705;6.8;1
198706;11.2;1
198707;14.8;1
198708;13.6;1
198709;13.4;1
198710;10.1;1
198711;4.9;1
198712;3.7;1
198801;4.9;1
198802;2.8;1
198803;4.1;1
198804;6.8;1
198805;10.6;1
198806;12.4;1
198807;12.3;1
198808;13;1
198809;12.1;1
198810;9.9;1
198811;3.2;1
198812;4;1
198901;1.6;1
198902;2.3;1
198903;5.2;1
198904;4.6;1
198905;11.3;1
198906;12.3;1
198907;15.8;1
198908;14;1
198909;11.6;1
198910;10.1;1
198911;5.1;1
198912;3.8;1
199001;3.3;1
199002;6.7;1
199003;3.5;1
199004;5.3;1
199005;10.8;1
199006;11.7;1
199007;14.7;1
199008;14.9;1
199009;11.5;1
199010;10.4;1
199011;5.6;1
199012;0.8;1
199101;2.3;1
199102;-1.3;1
199103;6.3;1
199104;4.1;1
199105;8;1
199106;10.9;1
199107;14.3;1
199108;15.8;1
199109;14.4;1
199110;8.1;1
199111;5;1
199112;1.9;1
199201;0.6;1
199202;1.5;1
199203;4;1
199204;4.8;1
199205;10.1;1
199206;12.6;1
199207;14.2;1
199208;14.9;1
199209;10.7;1
199210;6.9;1
199211;8;1
199212;3.8;1
199301;4.8;1
199302;0.4;1
199303;3.1;1
199304;6.5;1
199305;9.9;1
199306;13.6;1
199307;12.6;1
199308;13.5;1
199309;11.1;1
199310;8.4;1
199311;2;1
199312;4.9;1
199401;4;1
199402;4.2;1
199403;5.4;1
199404;5.4;1
199405;9.2;1
199406;12.2;1
199407;15.9;1
199408;15.8;1
199409;11.8;1
199410;10.2;1
199411;8.4;1
199412;5.8;1
199501;2.5;1
199502;5.6;1
199503;3.2;1
199504;6.2;1
199505;9.2;1
199506;11.9;1
199507;16.6;1
199508;15.4;1
199509;10.6;1
199510;12;1
199511;4.8;1
199512;3.2;1
199601;4.8;1
199602;1.5;1
199603;3.1;1
199604;5.5;1
199605;8.7;1
199606;12.3;1
199607;14.1;1
199608;13.2;1
199609;10.1;1
199610;8.5;1
199611;5;1
199612;1.3;1
199701;0.6;1
199702;4.4;1
199703;5;1
199704;4.9;1
199705;10.2;1
199706;12;1
199707;14.2;1
199708;17.3;1
199709;12.4;1
199710;9.8;1
199711;6.8;1
199712;3.7;1
199801;3.2;1
199802;1.5;1
199803;4.4;1
199804;6.2;1
199805;10.1;1
199806;11.5;1
199807;13.9;1
199808;13.9;1
199809;13.3;1
199810;9.1;1
199811;2.3;1
199812;3.1;1
199901;3.9;1
199902;3;1
199903;4.6;1
199904;6.8;1
199905;11.7;1
199906;12.4;1
199907;15.5;1
199908;15.2;1
199909;14.1;1
199910;10.1;1
199911;3.6;1
199912;3.5;1
200001;2.1;1
200002;4.3;1
200003;3.4;1
200004;6.5;1
200005;11.2;1
200006;13.6;1
200007;13.1;1
200008;14.3;1
200009;12.3;1
200010;9.2;1
200011;6.5;1
200012;6.1;1
200101;4.1;1
200102;3;1
200103;7.2;1
200104;5.9;1
200105;10.4;1
200106;12.1;1
200107;14.6;1
200108;15.8;1
200109;9;1
200110;12.3;1
200111;3.5;1
200112;0.4;1
200201;3.9;1
200202;4.9;1
200203;5.1;1
200204;6;1
200205;9;1
200206;13.2;1
200207;13.4;1
200208;14;1
200209;11.2;1
200210;10.3;1
200211;7.3;1
200212;6.4;1
200301;1;1
200302;1.1;1
200303;5.8;1
200304;7.4;1
200305;10;1
200306;15.9;1
200307;15.3;1
200308;18.4;1
200309;12.3;1
200310;7.8;1
200311;6.5;1
200312;3.4;1
200401;3.4;1
200402;1.8;1
200403;2.7;1
200404;5.8;1
200405;9.3;1
200406;13.5;1
200407;14.1;1
200408;15.9;1
200409;12.8;1
200410;10.5;1
200411;4.9;1
200412;1.5;1
200501;2.8;1
200502;0.9;1
200503;3.7;1
200504;6.1;1
200505;9.2;1
200506;14.3;1
200507;15.2;1
200508;14;1
200509;12.6;1
200510;12.7;1
200511;3.7;1
200512;0.9;1
200601;1.8;1
200602;1;1
200603;4.5;1
200604;5.8;1
200605;9.4;1
200606;13.6;1
200607;17.8;1
200608;13.5;1
200609;14.8;1
200610;12.7;1
200611;7;1
200612;2;1
200701;5.1;1
200702;5.8;1
200703;3.9;1
200704;8.8;1
200705;11.5;1
200706;13.3;1
200707;13.6;1
200708;13.6;1
200709;9.8;1
200710;8.9;1
200711;3.6;1
200712;2.2;1
200801;4.3;1
200802;3.5;1
200803;4.8;1
200804;5.6;1
200805;10.4;1
200806;12.8;1
200807;13.4;1
200808;14.1;1
200809;10.3;1
200810;7.9;1
200811;5.9;1
200812;1.2;1
200901;0;1
200902;1.4;1
200903;2.9;1
200904;6.3;1
200905;10.5;1
200906;12.6;1
200907;13.9;1
200908;14.4;1
200909;12.9;1
200910;9.2;1
200911;7.8;1
200912;2.7;1
201001;-0.8;1
201002;1.3;1
201003;3.3;1
201004;6.5;1
201005;8.7;1
201006;13.7;1
201007;15.1;1
201008;13.8;1
201009;11;1
201010;8.4;1
201011;5.6;1
201012;-0.2;1
201101;2.2;1
201102;3.4;1
201103;4.6;1
201104;8.5;1
201105;10.5;1
201106;13;1
201107;13.7;1
201108;15;1
201109;13.7;1
201110;9.7;1
201111;9.2;1
201112;5.6;1
201201;3.4;1
201202;-2.3;1
201203;4.6;1
201204;5.4;1
201205;10.4;1
201206;13;1
201207;13.5;1
201208;15.2;1
201209;11.5;1
201210;10.5;1
201211;6.1;1
201212;4.4;1
201301;3;1
201302;1.3;1
201303;3.3;1
201304;5.8;1
201305;8;1
201306;11.8;1
201307;17;1
201308;13.6;1
201309;12.8;1
201310;11.4;1
201311;5.4;1
201312;2.3;1
201401;4.9;1
201402;4.5;1
201403;4;1
201404;7.2;1
201405;8.4;1
201406;13.4;1
201407;15.5;1
201408;12.7;1
201409;13.4;1
201410;11.1;1
201411;8.5;1
201412;3;1
201501;2.1;1
201502;0.9;1
201503;4.3;1
201504;7.1;1
201505;9.7;1
201506;13.6;1
201507;15.5;1
201508;15.1;1
201509;11;1
201510;8.3;1
201511;8.2;1
201512;6.1;1
201601;4.4;1
201602;4.1;1
201603;3.7;1
201604;4.9;1
201605;9.6;1
201606;13.6;1
201607;14.7;1
201608;14.6;1
201609;12.9;1
201610;7.8;1
201611;5.6;1
201612;2.7;1
201701;0.3;1
201702;4.1;1
201703;6.6;1
201704;5.2;1
201705;10.7;1
201706;14.3;1
201707;16.1;1
201708;14.5;1
201709;11;1
201710;10.5;1
201711;3.6;1
201712;2.4;1
201801;6;1
201802;0.1;1
201803;4.3;1
201804;7.8;1
201805;10.1;1
201806;14.9;1
201807;16.7;1
201808;15.5;1
201809;12.4;1
201810;9.5;1
201811;6.1;1
201812;5.3;1
201901;2.3;1
201902;3.3;1
201903;5.3;1
201904;6;1
201905;8.4;1
201906;13.6;1
201907;16.3;1
201908;14.4;1
201909;12.8;1
201910;11.4;1
201911;5.7;1
201912;5.6;1
202001;4.7;1
202002;6.1;1
202003;5.4;1
202004;9;1
202005;11.1;1
202006;12.3;1
202007;15;1
202008;15.7;1
202009;13.2;1
202010;9.4;1
202011;6.8;1
202012;3.9;1
202101;2.1;1
202102;5.2;1
202103;3.3;1
202104;4.9;1
202105;8.3;1
202106;14.2;1
202107;14.5;1
202108;14.1;1
202109;14.1;1
202110;8;1
202111;3.7;1
202112;4.1;1
202201;2.1;0
202202;3.2;0
202203;5.6;0
202204;6.7;0
202205;11.9;0
202206;14.6;0
202207;15.8;0
202208;17.9;0
202209;12.3;0
202210;13.2;0
202211;6.7;0
202212;3.9;0
