# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 79220002
# NOM_USUEL= PRIN-DEYRANCON_SAPC
# LATITUDE (°) = 46.231
# LONGITUDE(°)= -0.669
# ALTITUDE (m) = 8
# NUM_SERIE= MTN079220002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195601 202112
# Date(s) de rupture(s) d'homogénéité : 195812 196712 197312 198912 201612
#     Periode homogénéisée  195601 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;1.7;1
195602;-7.4;1
195603;2.7;1
195604;2.7;1
195605;8.6;1
195606;9.7;1
195607;12.6;1
195608;11.2;1
195609;11.3;1
195610;6.4;1
195611;1;1
195612;3.6;1
195701;0;1
195702;5.3;1
195703;6.6;1
195704;4.5;1
195705;7;1
195706;11.6;1
195707;14.6;1
195708;11.9;1
195709;9.7;1
195710;6.9;1
195711;3.7;1
195712;1.8;1
195801;3.4;1
195802;5;1
195803;3.2;1
195804;5.2;1
195805;8.8;1
195806;11.2;1
195807;13.1;1
195808;13.3;1
195809;12.5;1
195810;7.4;1
195811;4.7;1
195812;4.3;1
195901;1.4;1
195902;0.8;1
195903;5.4;1
195904;6.1;1
195905;9.4;1
195906;11.6;1
195907;13.4;1
195908;13;1
195909;11.2;1
195910;7.5;1
195911;5.7;1
195912;5.1;1
196001;2.5;1
196002;2.3;1
196003;6.1;1
196004;5.3;1
196005;9.3;1
196006;12.2;1
196007;12.6;1
196008;12.1;1
196009;9.8;1
196010;7.8;1
196011;6.6;1
196012;1;1
196101;2.3;1
196102;5.2;1
196103;2.4;1
196104;7.9;1
196105;8.2;1
196106;11.9;1
196107;13.3;1
196108;10.4;1
196109;13.8;1
196110;8.9;1
196111;4.5;1
196112;3.5;1
196201;3.9;1
196202;1.4;1
196203;1.2;1
196204;5.8;1
196205;8;1
196206;9.6;1
196207;12.3;1
196208;12.2;1
196209;9.8;1
196210;6.8;1
196211;1.6;1
196212;-1.7;1
196301;-4.4;1
196302;-3.3;1
196303;5.4;1
196304;6.1;1
196305;7.8;1
196306;12.2;1
196307;12.5;1
196308;12.1;1
196309;10.5;1
196310;7.1;1
196311;7;1
196312;-0.7;1
196401;-1.4;1
196402;3.2;1
196403;4;1
196404;5.1;1
196405;9.1;1
196406;10.8;1
196407;13.1;1
196408;12.4;1
196409;13;1
196410;6;1
196411;3.9;1
196412;1.1;1
196501;2;1
196502;-0.8;1
196503;4.7;1
196504;5.3;1
196505;8.7;1
196506;10.9;1
196507;11.1;1
196508;12;1
196509;9;1
196510;8.1;1
196511;4.6;1
196512;4.4;1
196601;2.7;1
196602;6.7;1
196603;1.5;1
196604;7.3;1
196605;8.1;1
196606;11.6;1
196607;11.6;1
196608;11.4;1
196609;11.1;1
196610;9.1;1
196611;2;1
196612;4.8;1
196701;2.3;1
196702;3.8;1
196703;4.5;1
196704;4.2;1
196705;8.5;1
196706;10.6;1
196707;13.5;1
196708;11.7;1
196709;9.9;1
196710;8.5;1
196711;5.4;1
196712;0.9;1
196801;2.5;1
196802;2;1
196803;3.6;1
196804;5.4;1
196805;6.9;1
196806;10.7;1
196807;12.7;1
196808;12.7;1
196809;10.2;1
196810;9;1
196811;4.3;1
196812;2;1
196901;3.8;1
196902;0.5;1
196903;4.3;1
196904;6.4;1
196905;8.4;1
196906;10.8;1
196907;12.7;1
196908;12.4;1
196909;11.3;1
196910;7.6;1
196911;4.4;1
196912;0.8;1
197001;3.1;1
197002;3.7;1
197003;2.4;1
197004;4.4;1
197005;7.6;1
197006;12.7;1
197007;12.3;1
197008;13.4;1
197009;11;1
197010;5.4;1
197011;5.5;1
197012;-0.5;1
197101;1.7;1
197102;0.4;1
197103;-0.6;1
197104;6.6;1
197105;9.8;1
197106;10.9;1
197107;14.9;1
197108;12.5;1
197109;10.5;1
197110;6.6;1
197111;1.1;1
197112;2.2;1
197201;2.3;1
197202;4;1
197203;4.3;1
