# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 49328001
# NOM_USUEL= SAUMUR
# LATITUDE (°) = 47.252
# LONGITUDE(°)= -0.074
# ALTITUDE (m) = 69
# NUM_SERIE= MTN249328001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 195808 196312 200412 201906
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.8;1
195102;2;1
195103;3.1;1
195104;5.7;1
195105;7.8;1
195106;12.1;1
195107;14.6;1
195108;13.2;1
195109;13;1
195110;7.3;1
195111;7.1;1
195112;2.2;1
195201;0.9;1
195202;0.8;1
195203;5.7;1
195204;7.3;1
195205;10.7;1
195206;12.7;1
195207;14.9;1
195208;13.9;1
195209;9.3;1
195210;8.8;1
195211;3.6;1
195212;2.5;1
195301;-1.8;1
195302;0;1
195303;3.1;1
195304;6.6;1
195305;10.8;1
195306;11.4;1
195307;13.6;1
195308;13.7;1
195309;11.8;1
195310;9.1;1
195311;3.2;1
195312;5.5;1
195401;0.8;1
195402;0.4;1
195403;4.9;1
195404;4.8;1
195405;8.7;1
195406;11.4;1
195407;11.9;1
195408;13.4;1
195409;11.5;1
195410;9.4;1
195411;5;1
195412;5.1;1
195501;3;1
195502;2.6;1
195503;1.2;1
195504;6.2;1
195505;7.8;1
195506;12.7;1
195507;15.7;1
195508;14.5;1
195509;11.1;1
195510;6.5;1
195511;3.8;1
195512;5.5;1
195601;2.2;1
195602;-6.4;1
195603;3.6;1
195604;4.3;1
195605;9.8;1
195606;10.9;1
195607;13.6;1
195608;12;1
195609;13.2;1
195610;7.8;1
195611;2.7;1
195612;4.3;1
195701;0.1;1
195702;5.2;1
195703;6.7;1
195704;5.9;1
195705;7.7;1
195706;12.9;1
195707;14.8;1
195708;13.1;1
195709;11.4;1
195710;8.6;1
195711;4.4;1
195712;2;1
195801;2.7;1
195802;5.1;1
195803;2.7;1
195804;5.1;1
195805;9;1
195806;10.5;1
195807;13.8;1
195808;14;1
195809;13.9;1
195810;9.2;1
195811;4.9;1
195812;3.6;1
195901;1.6;1
195902;1.6;1
195903;5.5;1
195904;7;1
195905;10.8;1
195906;12.6;1
195907;14.9;1
195908;14.5;1
195909;13;1
195910;8.4;1
195911;5.6;1
195912;4.4;1
196001;1.5;1
196002;2.2;1
196003;5.9;1
196004;6.6;1
196005;10.8;1
196006;13.4;1
196007;13.2;1
196008;13.2;1
196009;11.3;1
196010;8.4;1
196011;6.8;1
196012;2.1;1
196101;2.5;1
196102;5.3;1
196103;4.3;1
196104;8.1;1
196105;9.2;1
196106;12.1;1
196107;14;1
196108;13;1
196109;15;1
196110;9.6;1
196111;5.3;1
196112;3.2;1
196201;3.9;1
196202;1.9;1
196203;1.5;1
196204;6.4;1
196205;8.2;1
196206;11.3;1
196207;13.5;1
196208;13.6;1
196209;11.1;1
196210;8.8;1
196211;4.5;1
196212;-1.1;1
196301;-3.8;1
196302;-3;1
196303;4.7;1
196304;6.2;1
196305;8.4;1
196306;12.4;1
196307;13.5;1
196308;12.5;1
196309;12.3;1
196310;8.5;1
196311;7.1;1
196312;-0.9;1
196401;-0.9;1
196402;3.2;1
196403;3.8;1
196404;6.1;1
196405;10.6;1
196406;12.4;1
196407;14.5;1
196408;14.1;1
196409;13.3;1
196410;7;1
196411;4.9;1
196412;2;1
196501;2.3;1
196502;-0.5;1
196503;4.5;1
196504;5.8;1
196505;9.6;1
196506;11.9;1
196507;12.2;1
196508;13.1;1
196509;10.1;1
196510;9;1
196511;4.6;1
196512;4.4;1
196601;1.5;1
196602;6.6;1
196603;3.4;1
196604;7.8;1
196605;9.4;1
196606;12.5;1
196607;12.8;1
196608;13.1;1
196609;12.7;1
196610;10;1
196611;3;1
196612;4.7;1
196701;2.5;1
196702;3.8;1
196703;4.9;1
196704;5.1;1
196705;8.5;1
196706;11.6;1
196707;14.7;1
196708;13.8;1
196709;11.6;1
196710;10.3;1
196711;4.7;1
196712;1.9;1
196801;2.4;1
196802;1.7;1
196803;4.2;1
196804;5.9;1
196805;7.9;1
196806;12;1
196807;13.6;1
196808;14.1;1
196809;11.6;1
196810;10.5;1
196811;4.9;1
196812;1.9;1
196901;3.8;1
196902;0.3;1
196903;4.3;1
196904;6.5;1
196905;9.3;1
196906;11.6;1
196907;15.2;1
196908;14.7;1
196909;12.8;1
196910;9.3;1
196911;5.3;1
196912;0.9;1
197001;2.2;1
197002;3.4;1
197003;3;1
197004;5;1
197005;9;1
197006;13.8;1
197007;12.8;1
197008;14.3;1
197009;12.4;1
197010;8.5;1
197011;7.1;1
197012;0.3;1
197101;2;1
197102;1.5;1
197103;0.9;1
197104;7;1
197105;10.4;1
197106;11.5;1
197107;15.3;1
197108;14.1;1
197109;11.2;1
197110;7.7;1
197111;2.7;1
197112;3;1
197201;2.2;1
197202;4;1
197203;4.8;1
197204;6.4;1
197205;8.4;1
197206;10;1
197207;13.7;1
197208;13.2;1
197209;9.1;1
197210;7.1;1
197211;4.9;1
197212;3.8;1
197301;1.6;1
197302;1.3;1
197303;1.9;1
197304;4.5;1
197305;9.9;1
197306;12.7;1
197307;14.6;1
197308;16.1;1
197309;13.1;1
197310;7.4;1
197311;3.9;1
197312;2.6;1
197401;5.4;1
197402;3.5;1
197403;5.2;1
197404;5.5;1
197405;8.5;1
197406;12.1;1
197407;13.3;1
197408;13.6;1
197409;11.5;1
197410;5.9;1
197411;6.4;1
197412;6.3;1
197501;4.8;1
197502;3.2;1
197503;3.2;1
197504;6;1
197505;8.6;1
197506;11.9;1
197507;14.3;1
197508;15.9;1
197509;12.4;1
197510;7.4;1
197511;4.7;1
197512;0.7;1
197601;2.8;1
197602;2.4;1
197603;2.4;1
197604;5.2;1
197605;9.1;1
197606;15.1;1
197607;16.1;1
197608;15.4;1
197609;11.9;1
197610;10.1;1
197611;4;1
197612;1.8;1
197701;2.1;1
197702;5.5;1
197703;5.3;1
197704;5;1
197705;9;1
197706;11.6;1
197707;14.3;1
197708;13;1
197709;10.6;1
197710;10.4;1
197711;5.2;1
197712;4;1
197801;1.8;1
197802;2.7;1
197803;4.9;1
197804;5.2;1
197805;9.9;1
197806;11.7;1
197807;13.4;1
197808;12.3;1
197809;11.2;1
197810;8.5;1
197811;3.1;1
197812;4.6;1
197901;-1.5;1
197902;3.2;1
197903;4.6;1
197904;5.7;1
197905;8.8;1
197906;12.4;1
197907;14;1
197908;12.9;1
197909;11.7;1
197910;10.1;1
197911;4.6;1
197912;4.1;1
198001;0.4;1
198002;4.1;1
198003;4;1
198004;5.9;1
198005;8.5;1
198006;11.7;1
198007;13;1
198008;14.4;1
198009;12.8;1
198010;8.1;1
198011;3.5;1
198012;1.6;1
198101;2.9;1
198102;0.5;1
198103;7.5;1
198104;7;1
198105;9.7;1
198106;12.1;1
198107;13.6;1
198108;14.4;1
198109;13;1
198110;9.4;1
198111;5.5;1
198112;3.4;1
198201;4.7;1
198202;3.8;1
198203;4;1
198204;5;1
198205;10;1
198206;14.2;1
198207;15.7;1
198208;13.8;1
198209;13.8;1
198210;9.4;1
198211;6.7;1
198212;4.2;1
198301;4.2;1
198302;1.2;1
198303;4.6;1
198304;6.1;1
198305;8.6;1
198306;14;1
198307;17.6;1
198308;15.5;1
198309;12.5;1
198310;8.7;1
198311;5.5;1
198312;2.3;1
198401;3.5;1
198402;2;1
198403;2.4;1
198404;5.8;1
198405;7.7;1
198406;12.2;1
198407;14.5;1
198408;14.5;1
198409;11.7;1
198410;9.9;1
198411;7.9;1
198412;3;1
198501;-2.1;1
198502;1.6;1
198503;2.7;1
198504;6.8;1
198505;9.4;1
198506;11.7;1
198507;14.9;1
198508;12.9;1
198509;12.4;1
198510;7.8;1
198511;2.4;1
198512;3.3;1
198601;3.2;1
198602;-3.7;1
198603;3.4;1
198604;4.1;1
198605;9.8;1
198606;13.1;1
198607;14;1
198608;12.7;1
198609;10.1;1
198610;10.7;1
198611;6.2;1
198612;3.9;1
198701;-3.5;1
198702;2.1;1
198703;2.6;1
198704;8.2;1
198705;7.8;1
198706;12.2;1
198707;15;1
198708;14.1;1
198709;14.2;1
198710;9.9;1
198711;5.3;1
198712;3.5;1
198801;5.4;1
198802;2.7;1
198803;4.9;1
198804;6.9;1
198805;11;1
198806;12.8;1
198807;13.1;1
198808;13.9;1
198809;12.3;1
198810;10;1
198811;3.3;1
198812;5.2;1
198901;2;1
198902;3.2;1
198903;6.2;1
198904;5.1;1
198905;12.2;1
198906;12.8;1
198907;15.9;1
198908;14.4;1
198909;12.3;1
198910;10.9;1
198911;4.5;1
198912;3.2;1
