# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 60107001
# NOM_USUEL= BREUIL-LE-VERT
# LATITUDE (°) = 49.361
# LONGITUDE(°)= 2.439
# ALTITUDE (m) = 52
# NUM_SERIE= MTN060107001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 197812 200312 201712
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;-0.2;1
195502;-0.5;1
195503;-1.1;1
195504;3.5;1
195505;5.7;1
195506;10.2;1
195507;13.1;1
195508;11.8;1
195509;8.8;1
195510;5;1
195511;2.8;1
195512;3.3;1
195601;0.7;1
195602;-9.4;1
195603;1.7;1
195604;2.4;1
195605;7.1;1
195606;8.7;1
195607;12.1;1
195608;9.9;1
195609;11.5;1
195610;6.1;1
195611;1.5;1
195612;3.7;1
195701;-0.4;1
195702;3.9;1
195703;5.1;1
195704;3.7;1
195705;5.6;1
195706;10.7;1
195707;14;1
195708;11.4;1
195709;9.9;1
195710;6.4;1
195711;3.7;1
195712;-0.2;1
195801;0.9;1
195802;2.4;1
195803;-0.2;1
195804;2.7;1
195805;8.3;1
195806;9.6;1
195807;12.3;1
195808;13.4;1
195809;11.8;1
195810;7.7;1
195811;2.7;1
195812;2.3;1
195901;-0.6;1
195902;-1.7;1
195903;3.4;1
195904;5.1;1
195905;7.9;1
195906;10.1;1
195907;12.6;1
195908;12.2;1
195909;8.8;1
195910;5.6;1
195911;3.4;1
195912;3.4;1
196001;0.4;1
196002;0.6;1
196003;3.3;1
196004;4.6;1
196005;8.1;1
196006;10.9;1
196007;11.3;1
196008;11.7;1
196009;9.1;1
196010;7.5;1
196011;5.4;1
196012;0.6;1
196101;0.6;1
196102;3.4;1
196103;2;1
196104;7.3;1
196105;6.2;1
196106;9.4;1
196107;10.4;1
196108;10.9;1
196109;12;1
196110;7.4;1
196111;2.5;1
196112;0.4;1
196201;2;1
196202;0.2;1
196203;-1.1;1
196204;4.7;1
196205;6.1;1
196206;8.2;1
196207;10.7;1
196208;10.8;1
196209;8.4;1
196210;6;1
196211;2.4;1
196212;-3;1
196301;-6.1;1
196302;-5.8;1
196303;2.3;1
196304;4.5;1
196305;6.1;1
196306;11.2;1
196307;11.6;1
196308;11.1;1
196309;10.6;1
196310;6.7;1
196311;6;1
196312;-2.1;1
196401;-2;1
196402;2.7;1
196403;1.8;1
196404;4.5;1
196405;8.3;1
196406;10.1;1
196407;11.8;1
196408;11.8;1
196409;10;1
196410;4.4;1
196411;3.9;1
196412;-0.3;1
196501;0.4;1
196502;-1.7;1
196503;2.4;1
196504;3.9;1
196505;7.7;1
196506;10.2;1
196507;11.2;1
196508;10.7;1
196509;8.5;1
196510;5.2;1
196511;2.5;1
196512;3;1
196601;-1.9;1
196602;5;1
196603;2.2;1
196604;6.3;1
196605;7.4;1
196606;11.7;1
196607;11.8;1
196608;10.8;1
196609;9.8;1
196610;8.5;1
196611;1.8;1
196612;2.6;1
196701;0.7;1
196702;2.4;1
196703;3.1;1
196704;3.1;1
196705;6.4;1
196706;8.9;1
196707;12;1
196708;11.8;1
196709;10.3;1
196710;8.5;1
196711;2.1;1
196712;0.2;1
196801;0.4;1
196802;0.1;1
196803;2.6;1
196804;4;1
196805;6.7;1
196806;10.6;1
196807;12.2;1
196808;13.1;1
196809;10.8;1
196810;9.6;1
196811;2.6;1
196812;-1.1;1
196901;2.9;1
196902;-1.4;1
196903;2.4;1
196904;3.8;1
196905;7.4;1
196906;9.3;1
196907;12.7;1
196908;11.7;1
196909;10.6;1
196910;5.5;1
196911;3.2;1
196912;-2;1
197001;1.6;1
197002;0.3;1
197003;0.7;1
197004;3.3;1
197005;7.4;1
197006;11.5;1
