# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 75114001
# NOM_USUEL= PARIS-MONTSOURIS
# LATITUDE (°) = 48.822
# LONGITUDE(°)= 2.338
# ALTITUDE (m) = 75
# NUM_SERIE= MTN475114001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 195812 196912 198107 200112
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;0;1
195302;2.1;1
195303;4.5;1
195304;7.2;1
195305;11.9;1
195306;13;1
195307;15.2;1
195308;15.4;1
195309;12.3;1
195310;10;1
195311;4.2;1
195312;5.5;1
195401;-0.1;1
195402;0.3;1
195403;5.9;1
195404;5.5;1
195405;10.1;1
195406;12.9;1
195407;13.1;1
195408;14.1;1
195409;12.2;1
195410;9.8;1
195411;5.4;1
195412;5;1
195501;2.2;1
195502;2.4;1
195503;1.8;1
195504;7;1
195505;8.9;1
195506;13.5;1
195507;16.2;1
195508;15.7;1
195509;12.2;1
195510;7.3;1
195511;4.5;1
195512;5;1
195601;2.5;1
195602;-6.4;1
195603;4.6;1
195604;5.4;1
195605;11.1;1
195606;11.6;1
195607;14.9;1
195608;12.6;1
195609;14;1
195610;8.6;1
195611;3.7;1
195612;5.2;1
195701;1.4;1
195702;5.4;1
195703;7.6;1
195704;6.9;1
195705;8.3;1
195706;14.2;1
195707;16.3;1
195708;14.4;1
195709;12.1;1
195710;9.1;1
195711;5.7;1
195712;2.3;1
195801;3;1
195802;4.6;1
195803;2.6;1
195804;5.6;1
195805;11.4;1
195806;12.9;1
195807;15.3;1
195808;15.9;1
195809;14.6;1
195810;9.9;1
195811;5.3;1
195812;4.3;1
195901;1.4;1
195902;1.4;1
195903;6.1;1
195904;8.1;1
195905;11.3;1
195906;13.8;1
195907;16.4;1
195908;15.5;1
195909;13.4;1
195910;9;1
195911;5.2;1
195912;4.6;1
196001;2.4;1
196002;2.7;1
196003;6.2;1
196004;7.3;1
196005;11.8;1
196006;14;1
196007;13.7;1
196008;14.2;1
196009;11.4;1
196010;9.2;1
196011;7;1
196012;2.4;1
196101;2.2;1
196102;6;1
196103;6.3;1
196104;10.1;1
196105;9.5;1
196106;13.3;1
196107;14.3;1
196108;14.6;1
196109;15.2;1
196110;9.6;1
196111;4.8;1
196112;2.7;1
196201;3.9;1
196202;2.7;1
196203;2;1
196204;7;1
196205;9.2;1
196206;12.2;1
196207;13.9;1
196208;14.1;1
196209;11.6;1
196210;9.1;1
196211;4.1;1
196212;-0.5;1
196301;-3.6;1
196302;-2.9;1
196303;4.5;1
196304;7.6;1
196305;9.4;1
196306;13.6;1
196307;15.3;1
196308;13.8;1
196309;12.7;1
196310;9.2;1
196311;7.3;1
196312;-0.4;1
196401;0;1
196402;5;1
196403;3.8;1
196404;7.5;1
196405;12.2;1
196406;13.4;1
196407;15.7;1
196408;15.2;1
196409;13.4;1
196410;7.5;1
196411;6.1;1
196412;1.5;1
196501;2.6;1
196502;0.9;1
196503;5.1;1
196504;7.3;1
196505;10.8;1
196506;13.3;1
196507;13.6;1
196508;14.1;1
196509;11;1
196510;8.4;1
196511;4.3;1
196512;4.8;1
196601;0.5;1
196602;6.9;1
196603;5.2;1
196604;8.8;1
196605;10.4;1
196606;14.7;1
196607;14.5;1
196608;13.9;1
196609;13.1;1
196610;10.8;1
196611;3.9;1
196612;4.9;1
196701;2.8;1
196702;4.6;1
196703;6.2;1
196704;6.4;1
196705;9.9;1
196706;12.5;1
196707;16.5;1
196708;15.1;1
196709;12.8;1
196710;10.8;1
196711;4.8;1
196712;2.6;1
196801;2.4;1
196802;2.5;1
196803;5.3;1
196804;7.2;1
196805;9.6;1
