# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 36063001
# NOM_USUEL= CHATEAUROUX  DEOLS
# LATITUDE (°) = 46.87
# LONGITUDE(°)= 1.741
# ALTITUDE (m) = 158
# NUM_SERIE= MTN236063001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196012 196812 198612 199012 200908
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.9;1
195302;-2.4;1
195303;0.5;1
195304;4.4;1
195305;8;1
195306;9.6;1
195307;12.3;1
195308;11.7;1
195309;10;1
195310;7.2;1
195311;1;1
195312;3.3;1
195401;-1.6;1
195402;-1.9;1
195403;2.5;1
195404;2.4;1
195405;6.8;1
195406;9.9;1
195407;10.7;1
195408;11.6;1
195409;10.8;1
195410;7.6;1
195411;3.8;1
195412;3.4;1
195501;1.5;1
195502;0.2;1
195503;-1.3;1
195504;3;1
195505;6.1;1
195506;11;1
195507;13.4;1
195508;12.6;1
195509;9.6;1
195510;4.8;1
195511;1.5;1
195512;4.4;1
195601;1.1;1
195602;-9.6;1
195603;0.8;1
195604;2.2;1
195605;7.6;1
195606;8.8;1
195607;11.8;1
195608;10.4;1
195609;10.8;1
195610;5.2;1
195611;0.9;1
195612;2.6;1
195701;-1.6;1
195702;3.6;1
195703;4.4;1
195704;3.3;1
195705;4.5;1
195706;10.8;1
195707;13;1
195708;11.9;1
195709;9.9;1
195710;6.8;1
195711;3.1;1
195712;0.1;1
195801;1;1
195802;2.8;1
195803;0.6;1
195804;3.2;1
195805;8.1;1
195806;9.9;1
195807;12.4;1
195808;13.4;1
195809;11.8;1
195810;7;1
195811;3.5;1
195812;1.7;1
195901;-0.3;1
195902;-0.3;1
195903;3.6;1
195904;5;1
195905;7.9;1
195906;10.4;1
195907;13;1
195908;12.2;1
195909;10.8;1
195910;6.6;1
195911;3.8;1
195912;3.3;1
196001;-0.1;1
196002;1.1;1
196003;3.7;1
196004;4;1
196005;7.9;1
196006;10.9;1
196007;10.8;1
196008;11.1;1
196009;9;1
196010;7;1
196011;4.9;1
196012;-0.1;1
196101;1.2;1
196102;3.9;1
196103;2.1;1
196104;6.7;1
196105;6.5;1
196106;10.6;1
196107;11.7;1
196108;11.2;1
196109;12.8;1
196110;8.2;1
196111;3.4;1
196112;1.8;1
196201;2.2;1
196202;-0.5;1
196203;-0.8;1
196204;4.3;1
196205;6.7;1
196206;8.5;1
196207;11.1;1
196208;11.6;1
196209;8.5;1
196210;5.4;1
196211;2;1
196212;-2.6;1
196301;-5.8;1
196302;-5.7;1
196303;1.8;1
196304;4.8;1
196305;6.9;1
196306;10.6;1
196307;11.7;1
196308;12.1;1
196309;10.6;1
196310;6.6;1
196311;5.6;1
196312;-2.3;1
196401;-2.6;1
196402;2.3;1
196403;2.3;1
196404;4.3;1
196405;8.3;1
196406;9.9;1
196407;12.5;1
196408;12.1;1
196409;11.8;1
196410;4.9;1
196411;3.9;1
196412;-0.5;1
196501;0.8;1
196502;-2.2;1
196503;2.2;1
196504;4.2;1
196505;7.2;1
196506;9.5;1
196507;10.9;1
196508;10.7;1
196509;8.5;1
196510;7;1
196511;3.5;1
196512;2;1
196601;-1.5;1
196602;4.2;1
196603;0.5;1
196604;5.9;1
196605;6.9;1
196606;10.5;1
196607;11.3;1
196608;11.7;1
196609;10.5;1
196610;9.8;1
196611;1.7;1
