# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 78640001
# NOM_USUEL= VILLACOUBLAY
# LATITUDE (°) = 48.773
# LONGITUDE(°)= 2.204
# ALTITUDE (m) = 174
# NUM_SERIE= MTN378640001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 198012 198812 201003 201809
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.1;1
195302;0.4;1
195303;2.7;1
195304;6.2;1
195305;10.2;1
195306;11.6;1
195307;13.8;1
195308;13.4;1
195309;11;1
195310;8.5;1
195311;3.4;1
195312;4.3;1
195401;-1.7;1
195402;-0.9;1
195403;4.6;1
195404;3.7;1
195405;8.5;1
195406;11.3;1
195407;11.5;1
195408;12.7;1
195409;11.3;1
195410;9.3;1
195411;4.2;1
195412;3.9;1
195501;1;1
195502;0.9;1
195503;0.2;1
195504;5.5;1
195505;7.6;1
195506;12.1;1
195507;14.6;1
195508;13.8;1
195509;10.5;1
195510;5.8;1
195511;3.5;1
195512;3.9;1
195601;1.4;1
195602;-7.7;1
195603;3.4;1
195604;4.3;1
195605;9;1
195606;10.2;1
195607;13.5;1
195608;11.3;1
195609;12.7;1
195610;7.2;1
195611;2.3;1
195612;3.9;1
195701;0.2;1
195702;4.5;1
195703;6.7;1
195704;5.6;1
195705;6.8;1
195706;12.6;1
195707;14.9;1
195708;12.6;1
195709;11.1;1
195710;7.7;1
195711;4.3;1
195712;0.9;1
195801;1.4;1
195802;3.3;1
195803;1.2;1
195804;4;1
195805;9.8;1
195806;11.3;1
195807;13.8;1
195808;14.3;1
195809;12.8;1
195810;8.3;1
195811;3.9;1
195812;2.6;1
195901;0.1;1
195902;0.6;1
195903;5.2;1
195904;7;1
195905;10;1
195906;12.5;1
195907;15;1
195908;14.2;1
195909;12.3;1
195910;8.2;1
195911;4.4;1
195912;3.4;1
196001;1;1
196002;1.7;1
196003;5.1;1
196004;6.2;1
196005;10.5;1
196006;13.2;1
196007;12.7;1
196008;13.3;1
196009;10.3;1
196010;8.2;1
196011;5.9;1
196012;1.3;1
196101;0.8;1
196102;4.9;1
196103;4.7;1
196104;8.7;1
196105;7.9;1
196106;11.9;1
196107;13.2;1
196108;13.1;1
196109;14.2;1
196110;8.2;1
196111;3.4;1
196112;1.1;1
196201;2.4;1
196202;1;1
196203;0.4;1
196204;5.6;1
196205;7.5;1
196206;10.7;1
196207;12.6;1
196208;12.5;1
196209;10.3;1
196210;7.8;1
196211;2.8;1
196212;-1.8;1
196301;-4.8;1
196302;-4.3;1
196303;3.4;1
196304;6.5;1
196305;8.1;1
196306;12.5;1
196307;14;1
196308;12.4;1
196309;11.6;1
196310;7.9;1
196311;6.3;1
196312;-1.5;1
196401;-1.5;1
196402;3.4;1
196403;2.6;1
196404;6.1;1
196405;10.7;1
196406;12;1
196407;14.1;1
196408;14.1;1
196409;12.1;1
196410;6;1
196411;4.7;1
196412;0.3;1
196501;1.1;1
196502;-0.6;1
196503;3.8;1
196504;5.9;1
196505;9.4;1
196506;11.9;1
196507;12.1;1
196508;12.6;1
196509;9.6;1
196510;7.4;1
196511;2.8;1
196512;3;1
196601;-1.1;1
196602;5.6;1
196603;3.2;1
196604;7.5;1
196605;8.7;1
196606;13.2;1
196607;12.7;1
196608;12.3;1
196609;11.6;1
196610;9.4;1
196611;2.5;1
196612;3.4;1
196701;1.4;1
196702;3.4;1
196703;4.5;1
196704;4.8;1
196705;8.5;1
196706;11;1
196707;14.8;1
196708;13.6;1
196709;11.3;1
196710;9.4;1
196711;3.6;1
196712;0.8;1
196801;1;1
196802;1.1;1
196803;4;1
196804;5.8;1
196805;8.2;1
196806;12.4;1
196807;13.6;1
196808;14.1;1
196809;11.7;1
196810;10.2;1
196811;3.3;1
196812;-0.3;1
196901;3;1
196902;-0.5;1
196903;3.9;1
196904;5.8;1
196905;9.4;1
196906;11.5;1
196907;14.9;1
196908;13.5;1
196909;12.4;1
196910;8.8;1
196911;4;1
196912;-1.2;1
197001;2.1;1
197002;1.3;1
197003;1.5;1
197004;4.4;1
197005;9.5;1
197006;14.1;1
197007;12.7;1
197008;14.1;1
197009;12.4;1
197010;8;1
197011;5.4;1
197012;0.2;1
197101;0.2;1
197102;1.5;1
197103;0.8;1
197104;6.4;1
197105;10.8;1
197106;11;1
197107;14.9;1
197108;13.6;1
197109;10.8;1
197110;7.2;1
197111;2.2;1
197112;2.2;1
197201;0.3;1
197202;2.7;1
197203;4.7;1
197204;6.2;1
197205;8.3;1
197206;9.6;1
197207;14;1
197208;12.8;1
197209;9.3;1
197210;6.8;1
197211;4;1
197212;2.2;1
197301;0.9;1
197302;1.1;1
197303;2.3;1
197304;4.4;1
197305;9.6;1
197306;13.1;1
197307;14.1;1
197308;15.6;1
197309;12.2;1
197310;7.1;1
197311;2.9;1
197312;1.6;1
197401;4.2;1
197402;2.6;1
197403;4.8;1
197404;6.2;1
197405;8.2;1
197406;11.8;1
197407;12.7;1
197408;14.1;1
197409;10.4;1
197410;4.9;1
197411;4.9;1
197412;4.7;1
197501;4.2;1
197502;2.6;1
197503;2.8;1
197504;5.5;1
197505;8;1
197506;11.4;1
197507;14.1;1
197508;15.6;1
197509;11.7;1
197510;6.5;1
197511;4.1;1
197512;0.2;1
197601;2.2;1
197602;1.9;1
197603;2.2;1
197604;5;1
197605;9.8;1
197606;15.1;1
197607;15.9;1
197608;14.1;1
197609;10.7;1
197610;9;1
197611;3.9;1
197612;-0.2;1
197701;1.2;1
197702;3.7;1
197703;5.1;1
197704;3.9;1
197705;8.7;1
197706;11.3;1
197707;13.9;1
197708;12.3;1
197709;9.5;1
197710;9.5;1
197711;4.1;1
197712;3.3;1
197801;0.3;1
197802;0.6;1
197803;4.2;1
197804;4.4;1
197805;9.2;1
197806;11.1;1
197807;12.9;1
197808;11.8;1
197809;10.2;1
197810;7.9;1
197811;2.9;1
197812;2.2;1
197901;-4.5;1
197902;0.2;1
197903;3.3;1
197904;5.2;1
197905;8.5;1
197906;12.3;1
197907;13.2;1
197908;12.6;1
197909;10.8;1
197910;9.1;1
197911;3.6;1
197912;3.4;1
198001;-1.1;1
198002;3.5;1
198003;3.3;1
198004;5.2;1
198005;8.1;1
198006;10.7;1
198007;12.7;1
198008;14.4;1
198009;12;1
198010;6.8;1
198011;2.4;1
198012;0.7;1
198101;1.4;1
198102;0.2;1
198103;6.7;1
198104;6.5;1
198105;9.2;1
198106;11.3;1
198107;13.3;1
198108;14;1
198109;11.4;1
198110;7.4;1
198111;4.9;1
198112;1.2;1
198201;1.3;1
198202;2.6;1
198203;3.1;1
198204;4.9;1
198205;9.7;1
198206;14;1
198207;15.2;1
198208;13.1;1
198209;13.1;1
198210;8.1;1
198211;5.5;1
198212;2.3;1
198301;3.3;1
198302;-0.1;1
198303;3.9;1
198304;5.3;1
198305;7.8;1
198306;13.3;1
198307;17.6;1
198308;14.8;1
198309;11.4;1
198310;7.4;1
198311;4;1
198312;1.9;1
198401;1.7;1
198402;1.3;1
198403;1.8;1
198404;5.8;1
198405;7.4;1
198406;11.9;1
198407;13.6;1
198408;14.1;1
198409;10.9;1
198410;8.9;1
198411;7.2;1
198412;2.4;1
198501;-3.9;1
198502;-0.3;1
198503;2.2;1
198504;6;1
198505;9.5;1
198506;10.9;1
198507;13.9;1
198508;12.2;1
198509;12;1
198510;7.8;1
198511;1.2;1
198512;3.5;1
198601;1.2;1
198602;-4.5;1
198603;2.3;1
198604;3.5;1
198605;9.2;1
198606;13.7;1
198607;12.9;1
198608;12;1
198609;8.6;1
198610;9.9;1
198611;5.2;1
198612;2.7;1
198701;-4.1;1
198702;0.9;1
198703;1.2;1
198704;8;1
198705;7.3;1
198706;11.2;1
198707;14.1;1
198708;13.7;1
198709;13.5;1
198710;8.8;1
198711;4;1
198712;2.2;1
198801;4;1
198802;1.8;1
198803;4.2;1
198804;6.7;1
198805;10.7;1
198806;12.3;1
198807;12.8;1
198808;13.7;1
198809;11.5;1
198810;9.3;1
198811;2.8;1
198812;4.9;1
198901;1.1;1
198902;2;1
198903;5.3;1
198904;4.2;1
198905;10.9;1
198906;11.9;1
198907;14.7;1
198908;13.6;1
198909;12;1
198910;9.7;1
198911;3.4;1
198912;2.4;1
199001;2.6;1
199002;5.3;1
199003;5;1
199004;5.1;1
199005;11;1
199006;11.6;1
199007;14.6;1
199008;15.7;1
199009;10;1
199010;9.7;1
199011;4.6;1
199012;1.4;1
199101;1.8;1
199102;-2;1
199103;6.5;1
199104;5.2;1
199105;7.2;1
199106;9.9;1
199107;14.8;1
199108;15.1;1
199109;12.9;1
199110;7.5;1
199111;3.5;1
199112;1.1;1
199201;0.7;1
199202;1.5;1
199203;4.8;1
199204;5.1;1
199205;10.6;1
199206;12.6;1
199207;14.6;1
199208;15.3;1
199209;11;1
199210;5.9;1
199211;5.7;1
199212;2.1;1
199301;3.7;1
199302;0.5;1
199303;3.4;1
199304;7.6;1
199305;10.6;1
199306;13.1;1
199307;12.9;1
199308;12.2;1
199309;10.6;1
199310;7.3;1
199311;1;1
199312;3.8;1
199401;3.4;1
199402;1.9;1
199403;5.6;1
199404;5.3;1
199405;9.5;1
199406;12.1;1
199407;17;1
199408;14.6;1
199409;10.7;1
199410;7.8;1
199411;8.8;1
199412;3.7;1
199501;1.6;1
199502;5;1
199503;2.9;1
199504;6.4;1
199505;9.3;1
199506;11.6;1
199507;16.7;1
199508;16.1;1
199509;10.3;1
199510;10.8;1
199511;4.3;1
199512;1.2;1
199601;1.8;1
199602;-0.2;1
199603;2.6;1
199604;5.9;1
199605;7.6;1
199606;12.9;1
199607;13.4;1
199608;14;1
199609;9.5;1
199610;8.1;1
199611;3.9;1
199612;0.2;1
199701;-1.8;1
199702;3.2;1
199703;6;1
199704;5.2;1
199705;9.7;1
199706;12.6;1
199707;13.8;1
199708;17.7;1
199709;11.5;1
199710;7.9;1
199711;6;1
199712;3.4;1
199801;2;1
199802;2.5;1
199803;5;1
199804;6.1;1
199805;11.4;1
199806;12.3;1
199807;13;1
199808;13.6;1
199809;12;1
199810;8.5;1
199811;1.7;1
199812;2.8;1
199901;3.1;1
199902;1.7;1
199903;5;1
199904;6.8;1
199905;11.3;1
199906;12;1
199907;15.7;1
199908;14.7;1
199909;13.9;1
199910;8.1;1
199911;3;1
199912;2.3;1
200001;1.7;1
200002;3.3;1
200003;4.2;1
200004;6.4;1
200005;11;1
200006;12.8;1
200007;12.6;1
200008;14.5;1
200009;12.1;1
200010;8.7;1
200011;5.4;1
