# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 68205001
# NOM_USUEL= COLMAR-MEYENHEIM
# LATITUDE (°) = 47.929
# LONGITUDE(°)= 7.408
# ALTITUDE (m) = 207
# NUM_SERIE= MTX268205001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195701 202212
# Date(s) de rupture(s) d'homogénéité : 198512 198911
#     Periode homogénéisée  195701 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;4;1
195702;10.5;1
195703;15.4;1
195704;15.3;1
195705;17.3;1
195706;23.5;1
195707;24.8;1
195708;22.7;1
195709;20.3;1
195710;16.5;1
195711;8.2;1
195712;4;1
195801;4;1
195802;9;1
195803;7.3;1
195804;12;1
195805;21.4;1
195806;21.7;1
195807;25.4;1
195808;25;1
195809;22.5;1
195810;14.3;1
195811;7.1;1
195812;7.2;1
195901;3.9;1
195902;5.5;1
195903;13.7;1
195904;16.3;1
195905;20.4;1
195906;23;1
195907;28.6;1
195908;24.9;1
195909;24.7;1
195910;16.2;1
195911;6.9;1
195912;6.9;1
196001;4.5;1
196002;7.7;1
196003;11.7;1
196004;15.2;1
196005;21.4;1
196006;23.8;1
196007;21.9;1
196008;23;1
196009;18.2;1
196010;14.3;1
196011;11.3;1
196012;4.5;1
196101;4.4;1
196102;11;1
196103;14.3;1
196104;17.8;1
196105;17.3;1
196106;22.8;1
196107;23.5;1
196108;23.7;1
196109;25.9;1
196110;16.6;1
196111;7.4;1
196112;5.1;1
196201;6;1
196202;5.5;1
196203;6.9;1
196204;15.4;1
196205;17.2;1
196206;22.9;1
196207;24.5;1
196208;26.9;1
196209;21.1;1
196210;16.1;1
196211;6;1
196212;1.3;1
196301;-2.6;1
196302;-0.1;1
196303;10.2;1
196304;16.4;1
196305;18.4;1
196306;22.2;1
196307;26.5;1
196308;22.4;1
196309;21.2;1
196310;14.7;1
196311;12.5;1
196312;0.6;1
196401;0.1;1
196402;7.8;1
196403;6.7;1
196404;16.6;1
196405;21.3;1
196406;24.6;1
196407;28.6;1
196408;24.6;1
196409;21.9;1
196410;12.6;1
196411;9;1
196412;4;1
196501;5.2;1
196502;2.6;1
196503;9.7;1
196504;13.6;1
196505;18.4;1
196506;22.6;1
196507;22.6;1
196508;23.1;1
196509;18.4;1
196510;14;1
196511;7.4;1
196512;8;1
196601;1.6;1
196602;11.5;1
196603;9.9;1
196604;16.9;1
196605;20.6;1
196606;24;1
196607;23;1
196608;22.3;1
196609;21.6;1
196610;17.3;1
196611;5.6;1
196612;6.5;1
196701;5.3;1
196702;9.3;1
196703;12.2;1
196704;14.8;1
196705;19.6;1
196706;21.9;1
196707;27.5;1
196708;25;1
196709;20.3;1
196710;19.2;1
196711;8.2;1
196712;3.1;1
196801;3.9;1
196802;7.2;1
196803;12.4;1
196804;16.5;1
196805;17.5;1
196806;22.7;1
196807;24.4;1
196808;22.5;1
196809;19.9;1
196810;16.2;1
196811;7;1
196812;2.6;1
196901;5.2;1
196902;3.6;1
196903;9;1
196904;14.1;1
196905;20.3;1
196906;20.4;1
196907;26.1;1
196908;24.2;1
196909;22;1
196910;16.2;1
196911;10.8;1
196912;-0.4;1
197001;2.6;1
197002;5.9;1
197003;8.1;1
197004;12.7;1
197005;18.5;1
197006;24.5;1
197007;24;1
197008;24.8;1
197009;22.1;1
197010;14.4;1
197011;11.8;1
197012;3.3;1
197101;2.6;1
197102;5.8;1
197103;7.8;1
197104;18.5;1
197105;21.6;1
197106;21;1
197107;27.2;1
197108;25.8;1
197109;21.7;1
