# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 67498001
# NOM_USUEL= UHRWILLER_SAPC
# LATITUDE (°) = 48.884
# LONGITUDE(°)= 7.582
# ALTITUDE (m) = 217
# NUM_SERIE= MTX167498001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196703 198112 199412 200312 201812
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5.7;1
195102;6.9;1
195103;7.8;1
195104;13.7;1
195105;18.4;1
195106;21;1
195107;24.3;1
195108;22.9;1
195109;20.7;1
195110;14;1
195111;9.7;1
195112;3.9;1
195201;3.2;1
195202;3.4;1
195203;9.7;1
195204;17.2;1
195205;19.6;1
195206;23;1
195207;27;1
195208;25.2;1
195209;15.8;1
195210;12.4;1
195211;5.7;1
195212;3.5;1
195301;1.9;1
195302;3.9;1
195303;13.4;1
195304;16.3;1
195305;21.2;1
195306;20.8;1
195307;22.7;1
195308;23.7;1
195309;20.6;1
195310;15.6;1
195311;7.6;1
195312;5.2;1
195401;0.8;1
195402;2;1
195403;11.8;1
195404;11.9;1
195405;18.3;1
195406;22;1
195407;20.4;1
195408;21.2;1
195409;19;1
195410;15.3;1
195411;8.4;1
195412;6.3;1
195501;2.3;1
195502;3.5;1
195503;6.8;1
195504;14.6;1
195505;17.2;1
195506;20.9;1
195507;23.4;1
195508;23.2;1
195509;19.9;1
195510;13.2;1
195511;6.7;1
195512;5.9;1
195601;4.9;1
195602;-4;1
195603;9.5;1
195604;12.3;1
195605;20;1
195606;18.5;1
195607;22.6;1
195608;20.3;1
195609;20.6;1
195610;12.7;1
195611;5.8;1
195612;5.2;1
195701;3.6;1
195702;9.2;1
195703;13.7;1
195704;15.2;1
195705;16.8;1
195706;23.6;1
195707;24;1
195708;21;1
195709;17.9;1
195710;14.7;1
195711;7.5;1
195712;3.4;1
195801;3.1;1
195802;6.8;1
195803;6;1
195804;11.4;1
195805;19.8;1
195806;20.6;1
195807;23.8;1
195808;23.4;1
195809;21.1;1
195810;13.6;1
195811;6.6;1
195812;6.4;1
195901;3.2;1
195902;5.4;1
195903;12.7;1
195904;15.3;1
195905;20;1
195906;22.7;1
195907;27.2;1
195908;24.1;1
195909;23.9;1
195910;16.2;1
195911;6.2;1
195912;6;1
196001;3.7;1
196002;5.9;1
196003;10.9;1
196004;14.8;1
196005;20;1
196006;23;1
196007;20.8;1
196008;21.6;1
196009;18.4;1
196010;13.5;1
196011;9.7;1
196012;3.6;1
196101;3.3;1
196102;9.4;1
196103;13.3;1
196104;16.3;1
196105;17;1
196106;21.5;1
196107;22.3;1
196108;22.6;1
196109;23.9;1
196110;16;1
196111;6.9;1
196112;4.3;1
196201;4.8;1
196202;4.9;1
196203;5.8;1
196204;14.2;1
196205;15.4;1
196206;21.7;1
196207;22.3;1
196208;23.9;1
196209;18.9;1
196210;14.8;1
196211;5.2;1
196212;1;1
196301;-2.2;1
196302;-0.4;1
196303;9;1
196304;15.6;1
196305;18.1;1
196306;21.4;1
196307;24.6;1
196308;21.2;1
196309;20;1
196310;13.2;1
196311;11;1
196312;0.1;1
196401;0.1;1
196402;6.1;1
196403;6;1
196404;14.8;1
196405;20.8;1
196406;23.7;1
196407;27.2;1
196408;23.4;1
196409;20.4;1
196410;11.7;1
196411;8.3;1
196412;3.7;1
196501;4.3;1
196502;2.4;1
196503;8.7;1
196504;12.5;1
196505;17.2;1
196506;21.1;1
196507;20.9;1
196508;21.5;1
196509;17.2;1
196510;13.4;1
196511;6.2;1
196512;6.9;1
196601;1.3;1
196602;9.9;1
196603;8.9;1
196604;15.2;1
196605;19.6;1
196606;22.5;1
196607;20.8;1
196608;20.9;1
196609;20.7;1
196610;16;1
196611;4.9;1
196612;5.4;1
196701;3.5;1
196702;7.2;1
196703;10.6;1
196704;13.6;1
196705;19;1
196706;21.2;1
196707;26;1
196708;23;1
196709;19.5;1
196710;16.5;1
196711;7.3;1
196712;2.9;1
196801;3.4;1
196802;5.8;1
196803;10.3;1
196804;15.4;1
196805;16.8;1
196806;21;1
196807;22.4;1
196808;21.2;1
196809;18.5;1
196810;14.3;1
196811;6.4;1
196812;1.7;1
196901;3.9;1
196902;2.2;1
196903;7.2;1
196904;12.6;1
196905;19.3;1
196906;19.6;1
196907;25.1;1
196908;22.5;1
196909;20.8;1
196910;13.3;1
196911;9.5;1
196912;-0.4;1
197001;1.5;1
197002;4.6;1
197003;6.4;1
197004;10.6;1
197005;17.4;1
197006;23.4;1
197007;22.2;1
197008;23.7;1
197009;20.7;1
197010;13.3;1
197011;9.2;1
197012;2.9;1
197101;1.9;1
197102;5.1;1
197103;6.3;1
197104;17.1;1
197105;21;1
197106;20;1
197107;26.1;1
197108;24.4;1
197109;20.4;1
197110;16.4;1
197111;7.5;1
197112;5.8;1
197201;1.8;1
197202;6.6;1
197203;12.3;1
197204;12.7;1
197205;16.5;1
197206;20;1
197207;23.3;1
197208;21.7;1
197209;17.2;1
197210;13.2;1
197211;7.7;1
197212;2.5;1
197301;2.1;1
197302;4.5;1
197303;9.8;1
197304;11;1
197305;19.3;1
197306;22.8;1
197307;23.1;1
197308;25;1
197309;21.7;1
197310;12.9;1
197311;7.4;1
197312;3.8;1
197401;7;1
197402;7.4;1
197403;11.1;1
197404;15.2;1
197405;17.9;1
197406;20.8;1
197407;22.1;1
197408;23.6;1
197409;18.8;1
197410;8.4;1
197411;8.8;1
197412;7.9;1
197501;7.6;1
197502;6.9;1
197503;7.8;1
197504;13;1
197505;18.2;1
197506;20.8;1
197507;24.6;1
197508;25;1
197509;21.4;1
197510;11.5;1
197511;7.6;1
197512;3.3;1
197601;4.9;1
197602;4.6;1
197603;8.5;1
197604;14.4;1
197605;21;1
197606;26.5;1
197607;27.4;1
197608;24.4;1
197609;19.1;1
197610;14.6;1
197611;8.1;1
197612;1.7;1
197701;4.3;1
197702;8.2;1
197703;12.2;1
197704;11.5;1
197705;18;1
197706;21.3;1
197707;23.6;1
197708;22.2;1
197709;18.5;1
197710;14.3;1
197711;8.7;1
197712;4.1;1
197801;3.8;1
197802;2.6;1
197803;10;1
197804;13.9;1
197805;16.7;1
197806;20.5;1
197807;22.3;1
197808;21.5;1
197809;18.9;1
197810;13.8;1
197811;6.3;1
197812;5.1;1
197901;-0.5;1
197902;4;1
197903;8.9;1
197904;12.2;1
197905;18.5;1
197906;22.6;1
197907;23.2;1
197908;21.1;1
197909;20.6;1
197910;14.9;1
197911;7.4;1
197912;7.7;1
198001;2.1;1
198002;7.7;1
198003;9.4;1
198004;12.4;1
198005;17.9;1
198006;19.8;1
198007;20.1;1
198008;23.1;1
198009;20.8;1
198010;12.5;1
198011;6.6;1
198012;3.7;1
198101;2.2;1
198102;4.1;1
198103;12.6;1
198104;14.9;1
198105;19.1;1
198106;21.1;1
198107;22.3;1
198108;23.4;1
198109;20.5;1
198110;12.6;1
198111;8.7;1
198112;2.5;1
198201;1.3;1
198202;5;1
198203;10;1
198204;13.4;1
198205;19.4;1
198206;22.9;1
198207;26.1;1
198208;22.4;1
198209;23;1
198210;12.4;1
198211;9.6;1
198212;5.6;1
198301;6.5;1
198302;3.4;1
198303;9.2;1
198304;14.2;1
198305;15.1;1
198306;22.8;1
198307;28.9;1
198308;26.4;1
198309;20.3;1
198310;14.4;1
198311;7.1;1
198312;4.4;1
198401;4.4;1
198402;4.5;1
198403;8.8;1
198404;13.4;1
198405;14.9;1
198406;20.2;1
198407;23.4;1
198408;24;1
198409;17.1;1
198410;14.5;1
198411;8.3;1
198412;4.2;1
198501;-1.8;1
198502;3.3;1
198503;7.9;1
198504;13.9;1
198505;18.6;1
198506;19.8;1
198507;24.7;1
198508;23.4;1
198509;21.7;1
198510;14.9;1
198511;4.3;1
198512;6.5;1
198601;4.4;1
198602;-1;1
198603;8.4;1
198604;10.9;1
198605;20.1;1
198606;23.4;1
198607;24.4;1
198608;23.3;1
198609;18.7;1
198610;15.1;1
198611;10;1
198612;5.4;1
198701;-1.3;1
198702;3.7;1
198703;6.2;1
198704;16.7;1
198705;15.8;1
198706;19.3;1
198707;23;1
198708;22.4;1
198709;22.2;1
198710;14.2;1
198711;7.8;1
198712;5.3;1
198801;7.2;1
198802;6.4;1
198803;7.6;1
198804;15.3;1
198805;20.2;1
198806;21.6;1
198807;22.9;1
198808;24.7;1
198809;18.6;1
198810;14.5;1
198811;6.8;1
198812;6.4;1
198901;4.8;1
198902;5.5;1
198903;13.2;1
198904;11.4;1
198905;22.7;1
198906;21.8;1
198907;25.2;1
198908;24.3;1
198909;20.9;1
198910;16;1
198911;6.9;1
198912;6.2;1
199001;4.8;1
199002;11.8;1
199003;12.9;1
199004;12.9;1
199005;22;1
199006;20.7;1
199007;24.7;1
199008;26.6;1
199009;18.9;1
199010;16.1;1
199011;7.7;1
199012;3.5;1
199101;4.7;1
199102;2.8;1
199103;12.2;1
199104;14.1;1
199105;16.7;1
199106;19.2;1
199107;26.8;1
199108;27.6;1
199109;22.6;1
199110;12.8;1
199111;6.7;1
199112;3.5;1
199201;3.4;1
199202;6.7;1
199203;10.7;1
199204;14.2;1
199205;21.7;1
199206;22.6;1
199207;25.1;1
199208;26.4;1
199209;20.2;1
199210;11.4;1
199211;10.1;1
199212;4.7;1
199301;7.5;1
199302;2.6;1
199303;10.5;1
199304;17.4;1
199305;20.6;1
199306;22.9;1
199307;23.2;1
199308;24.4;1
199309;18;1
199310;11.3;1
199311;3.8;1
199312;7.3;1
199401;6.1;1
199402;4.8;1
199403;11.7;1
199404;13.6;1
199405;18.6;1
199406;23.6;1
199407;28;1
199408;24.7;1
199409;18.5;1
199410;14.3;1
199411;11.3;1
199412;7.3;1
199501;4.7;1
199502;9.8;1
199503;9.1;1
199504;14.6;1
199505;19;1
199506;20.6;1
199507;27.4;1
199508;24.5;1
199509;17.5;1
199510;17;1
199511;7.1;1
199512;2.6;1
199601;0.9;1
199602;3.7;1
199603;8.1;1
199604;15.7;1
199605;16.9;1
199606;22.9;1
199607;23.4;1
199608;23.8;1
199609;17.6;1
199610;14.9;1
199611;8;1
199612;1.2;1
199701;-0.4;1
199702;9.4;1
199703;12.6;1
199704;14.2;1
199705;19.8;1
199706;21.5;1
199707;23.7;1
199708;27.2;1
199709;22.5;1
199710;13.4;1
199711;8.2;1
199712;5.6;1
199801;6;1
199802;9.7;1
199803;11.2;1
199804;14.1;1
199805;21.2;1
199806;23.6;1
199807;23.7;1
199808;25.3;1
199809;18.9;1
199810;13.7;1
199811;5.3;1
199812;5;1
199901;6.8;1
199902;4.4;1
199903;10.7;1
199904;15.2;1
199905;20.8;1
199906;22;1
199907;25.4;1
199908;24;1
199909;23.5;1
199910;14.2;1
199911;6.7;1
199912;5.6;1
200001;5;1
200002;9.1;1
200003;10.8;1
200004;16.4;1
200005;21.7;1
200006;24.7;1
200007;21.3;1
200008;25.4;1
200009;20.6;1
200010;14.8;1
200011;10.1;1
200012;6.9;1
200101;5.6;1
200102;8;1
200103;10.7;1
200104;12.9;1
200105;21.7;1
200106;21.6;1
200107;25.6;1
200108;25.9;1
200109;17;1
200110;18.2;1
200111;7.3;1
200112;3.8;1
200201;3.8;1
200202;10.1;1
200203;11.9;1
200204;15.1;1
200205;19;1
200206;25.2;1
200207;23.9;1
200208;24.2;1
200209;19.2;1
200210;14.5;1
200211;10.7;1
200212;6.3;1
200301;3.3;1
200302;4.4;1
200303;13.9;1
200304;16.1;1
200305;20.7;1
200306;28.2;1
200307;26.6;1
200308;30.8;1
200309;22.6;1
200310;11.8;1
200311;10;1
200312;5.1;1
200401;4.2;1
200402;7;1
200403;10.1;1
200404;16.1;1
200405;18.9;1
200406;23.2;1
200407;24.9;1
200408;24.9;1
200409;20.6;1
200410;15.4;1
200411;7.6;1
