# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 72357001
# NOM_USUEL= THOREE LES PINS
# LATITUDE (°) = 47.659
# LONGITUDE(°)= 0.023
# ALTITUDE (m) = 78
# NUM_SERIE= MTX072357001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196101 201612
# Date(s) de rupture(s) d'homogénéité : 196309 198207 199212
#     Periode homogénéisée  196101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;7.4;1
196102;12.1;1
196103;15.1;1
196104;17.5;1
196105;18.8;1
196106;22.6;1
196107;24.3;1
196108;24.7;1
196109;25;1
196110;16.6;1
196111;9.8;1
196112;8.1;1
196201;8.3;1
196202;8.4;1
196203;7.8;1
196204;13.9;1
196205;16.1;1
196206;22.4;1
196207;23.6;1
196208;24;1
196209;20.8;1
196210;17;1
196211;9.2;1
196212;5.7;1
196301;1.4;1
196302;3.6;1
196303;11.1;1
196304;13.9;1
196305;17.5;1
196306;20.3;1
196307;24;1
196308;19.9;1
196309;19.4;1
196310;15.4;1
196311;13.1;1
196312;4.5;1
196401;4.5;1
196402;8.7;1
196403;9.5;1
196404;13.9;1
196405;20.1;1
196406;21.4;1
196407;25.6;1
196408;25;1
196409;23;1
196410;13.9;1
196411;9.8;1
196412;6.8;1
196501;7.7;1
196502;5.8;1
196503;12;1
196504;13.5;1
196505;17.9;1
196506;21.5;1
196507;22.1;1
196508;21.3;1
196509;18;1
196510;17.5;1
196511;10.4;1
196512;10.3;1
196601;6.9;1
196602;12.2;1
196603;11.7;1
196604;15.5;1
196605;17.7;1
196606;22.6;1
196607;21.4;1
196608;22.1;1
196609;22.6;1
196610;15.6;1
196611;8.7;1
196612;9.4;1
196701;7.7;1
196702;9.7;1
196703;12.2;1
196704;14.2;1
196705;17.1;1
196706;21.4;1
196707;26.5;1
196708;23.7;1
196709;19.9;1
196710;17.2;1
196711;9.5;1
196712;6.7;1
196801;8.6;1
196802;7.6;1
196803;11.9;1
196804;15.7;1
196805;16.9;1
196806;21.3;1
196807;23.5;1
196808;22;1
196809;20.1;1
196810;17.8;1
196811;10.1;1
196812;5.9;1
196901;9.4;1
196902;6.8;1
196903;11.4;1
196904;14.8;1
196905;18.3;1
196906;20.9;1
196907;26.1;1
196908;25;1
196909;21.3;1
196910;19.7;1
196911;11.2;1
196912;5.3;1
197001;7.8;1
197002;8.3;1
197003;8.8;1
197004;12.2;1
197005;19.7;1
197006;23.6;1
197007;23.1;1
197008;23.7;1
197009;22.5;1
197010;15.6;1
197011;13.6;1
197012;5.4;1
197101;7.7;1
197102;8.5;1
197103;8.7;1
197104;16.7;1
197105;19.6;1
197106;19.5;1
197107;26.7;1
197108;22.8;1
197109;21.6;1
197110;18.4;1
197111;10.4;1
197112;6.9;1
197201;6.4;1
197202;9;1
197203;14.1;1
197204;13.3;1
197205;16.9;1
197206;19.2;1
197207;24.9;1
197208;22.4;1
197209;19.2;1
197210;16.6;1
197211;11.1;1
197212;8.5;1
197301;6.4;1
197302;6.8;1
197303;12.2;1
197304;13.6;1
197305;18.5;1
197306;23.3;1
197307;23.4;1
197308;26.8;1
197309;23.3;1
197310;15;1
197311;11.5;1
197312;7.2;1
197401;9.9;1
197402;9.9;1
197403;12;1
197404;15.4;1
197405;17.8;1
197406;22.5;1
197407;24.6;1
197408;25.8;1
197409;19.1;1
197410;11.8;1
197411;11.3;1
197412;10.5;1
197501;9.7;1
197502;11.4;1
197503;9.7;1
197504;14.4;1
197505;16.4;1
197506;21.9;1
197507;24.8;1
197508;26.7;1
197509;20.7;1
197510;14.6;1
197511;10;1
197512;4.9;1
197601;7.3;1
197602;8.8;1
197603;11.3;1
197604;15.3;1
197605;21.5;1
197606;28.8;1
197607;27.6;1
197608;27.6;1
197609;20.3;1
197610;16;1
197611;9.6;1
197612;6;1
197701;7;1
197702;10.3;1
197703;13.1;1
197704;13.6;1
197705;16.7;1
197706;19.4;1
197707;23.1;1
197708;22.4;1
197709;20.8;1
197710;18;1
197711;10.6;1
197712;9.3;1
197801;7;1
197802;8.7;1
197803;11.9;1
197804;12.3;1
197805;18.3;1
197806;20.2;1
197807;22.3;1
197808;22.2;1
197809;21.9;1
197810;18.5;1
197811;11.9;1
197812;8.7;1
197901;3.9;1
197902;7.8;1
197903;10.5;1
197904;13.1;1
197905;17.6;1
197906;21.1;1
197907;24.1;1
197908;21.4;1
197909;22.3;1
197910;16.6;1
197911;10.9;1
197912;9.8;1
198001;5;1
198002;10.2;1
198003;9.6;1
198004;14.5;1
198005;18;1
198006;20;1
198007;21.3;1
198008;24.1;1
198009;22.3;1
198010;15.3;1
198011;9;1
198012;7;1
198101;8.1;1
198102;6.9;1
198103;13.7;1
198104;14.7;1
198105;16.8;1
198106;20.6;1
198107;22.3;1
198108;25.2;1
198109;22;1
198110;15.2;1
198111;11.2;1
198112;8.1;1
198201;9.4;1
198202;9.3;1
198203;11.9;1
198204;15.2;1
198205;19.8;1
198206;23.5;1
198207;25.9;1
198208;23.7;1
198209;24.1;1
198210;15.7;1
198211;11.7;1
198212;8.6;1
198301;9.4;1
198302;6.5;1
198303;11.9;1
198304;13.3;1
198305;16.2;1
198306;23.5;1
198307;28;1
198308;24.1;1
198309;21.4;1
198310;16.5;1
198311;11.8;1
198312;7.9;1
198401;8.7;1
198402;7.6;1
198403;10.6;1
198404;16.7;1
198405;14.5;1
198406;22.4;1
198407;24.9;1
198408;24.1;1
198409;19.9;1
198410;15.8;1
198411;13.2;1
198412;7.9;1
198501;2.9;1
198502;7.5;1
198503;10.3;1
198504;15.1;1
198505;17;1
198506;20.5;1
198507;25.3;1
198508;22.3;1
198509;23.4;1
198510;17.9;1
198511;8.1;1
198512;8.5;1
198601;8.2;1
198602;1.6;1
198603;10.7;1
198604;10.9;1
198605;18.6;1
198606;23.8;1
198607;24;1
198608;22.6;1
198609;19;1
198610;18.5;1
198611;11.7;1
198612;9.5;1
198701;0.7;1
198702;7.2;1
198703;9.5;1
198704;17.2;1
198705;17.5;1
198706;20;1
198707;23.9;1
198708;24.4;1
198709;22.7;1
198710;16.3;1
198711;10;1
198712;7.9;1
198801;9.6;1
198802;9;1
198803;10.3;1
198804;15.7;1
198805;19.1;1
198806;22;1
198807;22.1;1
198808;23.8;1
198809;20.5;1
198810;17.4;1
198811;10.7;1
198812;9.5;1
198901;8;1
198902;10.1;1
198903;15.2;1
198904;12.8;1
198905;22.9;1
198906;24;1
198907;27.2;1
198908;26.3;1
198909;23.2;1
198910;19.3;1
198911;11.2;1
198912;9.1;1
199001;8.8;1
199002;13.7;1
199003;14.7;1
199004;14.4;1
199005;23.1;1
199006;20.2;1
199007;26.1;1
199008;27.7;1
199009;22.3;1
199010;18.7;1
199011;10.2;1
199012;7.1;1
199101;7;1
199102;5.3;1
199103;13.8;1
199104;15.6;1
199105;17.9;1
199106;20.2;1
199107;26.1;1
199108;28.1;1
199109;23.2;1
199110;15.4;1
199111;10.6;1
199112;7.1;1
199201;6.2;1
199202;10.2;1
199203;12.9;1
199204;14.6;1
199205;22.6;1
199206;22.7;1
199207;25.5;1
199208;24.7;1
199209;19.9;1
199210;13.6;1
199211;13.2;1
199212;8.3;1
199301;10;1
199302;7;1
199303;12.8;1
199304;15.7;1
199305;18.8;1
199306;23.2;1
199307;22.8;1
199308;24.8;1
199309;19.2;1
199310;13;1
199311;8.1;1
199312;10;1
199401;9;1
199402;9.9;1
199403;13.6;1
199404;14;1
199405;19;1
199406;23.7;1
199407;27.7;1
199408;25;1
199409;19;1
199410;17;1
199411;14;1
199412;10.2;1
199501;9.2;1
199502;11.9;1
199503;11.8;1
199504;14.3;1
199505;19.7;1
199506;22.4;1
199507;27.3;1
199508;27.3;1
199509;19.5;1
199510;20.3;1
199511;11.4;1
199512;6.7;1
199601;8.5;1
199602;6.8;1
199603;11.7;1
199604;16.3;1
199605;16.5;1
199606;24.7;1
199607;25;1
199608;24.8;1
199609;20.4;1
199610;17.3;1
199611;10.2;1
199612;5.3;1
199701;4.5;1
199702;11.7;1
199703;15;1
199704;17;1
199705;19.7;1
199706;20.8;1
199707;24.9;1
199708;27.7;1
199709;24.1;1
199710;17;1
199711;12.7;1
199712;9;1
199801;8.7;1
199802;11.5;1
199803;13;1
199804;13.5;1
199805;21.7;1
199806;22.7;1
199807;23.2;1
199808;26.9;1
199809;20.9;1
199810;15.5;1
199811;9.4;1
199812;8.2;1
199901;9.6;1
199902;9;1
199903;13.4;1
199904;15.6;1
199905;20.8;1
199906;22.1;1
199907;26.5;1
199908;25.2;1
199909;22.9;1
199910;16.6;1
199911;10.2;1
199912;9.7;1
200001;7.2;1
200002;11.2;1
200003;12.5;1
200004;14.7;1
200005;20;1
200006;23.9;1
200007;22.8;1
200008;25.4;1
200009;21.8;1
200010;15.6;1
200011;12.3;1
200012;11.2;1
200101;8.5;1
200102;10;1
200103;13;1
200104;13.7;1
200105;21;1
200106;23.5;1
200107;24.7;1
200108;25.2;1
200109;19.6;1
200110;19.5;1
200111;10.3;1
200112;6.7;1
200201;9.8;1
200202;11.5;1
200203;13.8;1
200204;16.6;1
200205;19;1
200206;23.6;1
200207;24.1;1
200208;23.3;1
200209;21.4;1
200210;17.2;1
200211;13.1;1
200212;10.3;1
200301;6.8;1
200302;8.6;1
200303;16.2;1
200304;17.5;1
200305;19.7;1
200306;26.6;1
200307;25.8;1
200308;30.3;1
200309;23.2;1
200310;14.2;1
200311;12.7;1
200312;8.4;1
200401;8.9;1
200402;9.8;1
200403;11.7;1
200404;15.9;1
200405;19.7;1
200406;24.7;1
200407;24.7;1
200408;24.8;1
200409;23.1;1
