# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 18223003
# NOM_USUEL= ST-MARTIN-D'A.
# LATITUDE (°) = 47.201
# LONGITUDE(°)= 2.417
# ALTITUDE (m) = 172
# NUM_SERIE= MTX218223003
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196912 199105 200208 201412
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;6.9;1
195902;11.3;1
195903;14;1
195904;16.1;1
195905;21.5;1
195906;24.8;1
195907;29.1;1
195908;26.6;1
195909;26.6;1
195910;19.2;1
195911;11.1;1
195912;9.5;1
196001;6.5;1
196002;10;1
196003;13.6;1
196004;15.7;1
196005;21.4;1
196006;24.1;1
196007;21.2;1
196008;22.2;1
196009;18.6;1
196010;14.5;1
196011;10.9;1
196012;4.5;1
196101;5.6;1
196102;12.2;1
196103;14.7;1
196104;18.1;1
196105;18.8;1
196106;23.4;1
196107;24.5;1
196108;25;1
196109;26.2;1
196110;17;1
196111;8.9;1
196112;7.8;1
196201;6.8;1
196202;6.8;1
196203;7.2;1
196204;13.5;1
196205;16.1;1
196206;23.1;1
196207;25.2;1
196208;27.3;1
196209;20.8;1
196210;16.3;1
196211;7.4;1
196212;4.1;1
196301;0.6;1
196302;3.1;1
196303;11.9;1
196304;15.3;1
196305;18.7;1
196306;22.5;1
196307;26.4;1
196308;22;1
196309;20.7;1
196310;16.7;1
196311;13;1
196312;4;1
196401;3.6;1
196402;9.2;1
196403;9.6;1
196404;16;1
196405;21.6;1
196406;24.4;1
196407;28.9;1
196408;26.6;1
196409;24.6;1
196410;14.4;1
196411;9.9;1
196412;5.1;1
196501;6.3;1
196502;4.8;1
196503;12.1;1
196504;13.7;1
196505;18.2;1
196506;22.5;1
196507;22.5;1
196508;22.4;1
196509;18.7;1
196510;19.2;1
196511;9.3;1
196512;8.5;1
196601;5.2;1
196602;12.2;1
196603;11;1
196604;17.1;1
196605;18.7;1
196606;23.7;1
196607;22.3;1
196608;23.5;1
196609;23.6;1
196610;17.1;1
196611;8.9;1
196612;8.6;1
196701;6.7;1
196702;10.1;1
196703;12.3;1
196704;14.8;1
196705;18.4;1
196706;22.4;1
196707;28.5;1
196708;24.8;1
196709;20.6;1
196710;18.5;1
196711;10.7;1
196712;5.8;1
196801;7.4;1
196802;8.4;1
196803;11.9;1
196804;15.9;1
196805;16.9;1
196806;21.4;1
196807;22.8;1
196808;23;1
196809;20.6;1
196810;18.8;1
196811;10.3;1
196812;6.5;1
196901;7.9;1
196902;6.2;1
196903;11.6;1
196904;14.9;1
196905;19.6;1
196906;20.7;1
196907;25.9;1
196908;24.1;1
196909;21.7;1
196910;18.4;1
196911;10;1
196912;3.9;1
197001;7.1;1
197002;8.8;1
197003;8.7;1
197004;11.7;1
197005;19.9;1
197006;23.9;1
197007;24;1
197008;25;1
197009;23.2;1
197010;16;1
197011;12.4;1
197012;4.5;1
197101;6.8;1
197102;7.4;1
197103;8;1
197104;18.5;1
197105;20.5;1
197106;20.2;1
197107;27.2;1
197108;24.4;1
197109;22;1
197110;18.2;1
197111;8.7;1
197112;7.3;1
197201;6.2;1
197202;9.7;1
197203;14.4;1
197204;13.2;1
197205;17.4;1
197206;20.2;1
197207;24.6;1
197208;22.4;1
197209;19;1
197210;16.5;1
197211;10.6;1
197212;7.6;1
197301;5;1
197302;5.9;1
197303;12;1
197304;12.9;1
197305;19.7;1
197306;23.7;1
197307;23.8;1
197308;28.1;1
197309;24.3;1
197310;14.8;1
197311;10.6;1
197312;5.7;1
197401;10;1
197402;8.5;1
197403;12.1;1
197404;15.7;1
197405;18.2;1
197406;22.4;1
197407;25;1
197408;26.3;1
197409;19.3;1
197410;10.7;1
197411;11;1
197412;9.5;1
197501;9;1
197502;11.5;1
197503;8.8;1
197504;14.6;1
197505;17;1
197506;21.7;1
197507;25.6;1
197508;27.2;1
197509;21.2;1
197510;14.1;1
197511;9.6;1
197512;4.3;1
197601;5.9;1
197602;8.8;1
197603;11.3;1
197604;15.4;1
197605;20.7;1
197606;28.3;1
197607;27.9;1
197608;28;1
197609;20.4;1
197610;16.1;1
197611;8.7;1
197612;5.7;1
197701;6;1
197702;9.8;1
197703;13.5;1
197704;13.2;1
197705;17.7;1
197706;20.2;1
197707;23.6;1
197708;22.8;1
197709;20.8;1
197710;18.2;1
197711;10.4;1
197712;8.5;1
197801;5.4;1
197802;8;1
197803;11.8;1
197804;12.8;1
197805;17.5;1
197806;21.1;1
197807;23.8;1
197808;23.5;1
197809;22.1;1
197810;17.6;1
197811;10.8;1
197812;9.1;1
197901;3.2;1
197902;7.3;1
197903;10.4;1
197904;13.4;1
197905;18;1
197906;22.5;1
197907;25.4;1
197908;22.6;1
197909;21.7;1
197910;17.1;1
197911;10.3;1
197912;9.1;1
198001;4.8;1
198002;9.8;1
198003;10.4;1
198004;13.8;1
198005;18.2;1
198006;20.4;1
198007;22.1;1
198008;25.1;1
198009;23.3;1
198010;15.3;1
198011;9;1
198012;5.4;1
198101;6.3;1
198102;5.5;1
198103;13.8;1
198104;15.7;1
198105;17.8;1
198106;20.5;1
198107;23.3;1
198108;25.1;1
198109;21.3;1
198110;15.3;1
198111;10.5;1
198112;7.6;1
198201;8.9;1
198202;9.2;1
198203;11.3;1
198204;15.3;1
198205;20.3;1
198206;24.3;1
198207;27.7;1
198208;24.7;1
198209;25;1
198210;15.6;1
198211;12.1;1
198212;7;1
198301;8.2;1
198302;6.3;1
198303;11.7;1
198304;13.9;1
198305;16.7;1
198306;24.2;1
198307;30.3;1
198308;25.8;1
198309;21.8;1
198310;17.1;1
198311;10.8;1
198312;7.4;1
198401;7.1;1
198402;7.1;1
198403;10.9;1
198404;16.4;1
198405;15.6;1
198406;22.6;1
198407;26.8;1
198408;25.1;1
198409;19.3;1
198410;15.8;1
198411;13.7;1
198412;7.2;1
198501;1.3;1
198502;8.3;1
198503;9.7;1
198504;16.4;1
198505;17.6;1
198506;21;1
198507;26.8;1
198508;24.3;1
198509;25.7;1
198510;19.2;1
198511;6.8;1
198512;7.4;1
198601;7;1
198602;2.1;1
198603;11.2;1
198604;11.6;1
198605;19.6;1
198606;24.8;1
198607;26.7;1
198608;24.4;1
198609;21.2;1
198610;19.1;1
198611;11.6;1
198612;8.5;1
198701;-0.4;1
198702;6.1;1
198703;9.3;1
198704;17.9;1
198705;18;1
198706;20.8;1
198707;25.1;1
198708;25.4;1
198709;24.7;1
198710;17.1;1
198711;9.8;1
198712;7.6;1
198801;9.9;1
198802;8.8;1
198803;10.3;1
198804;17;1
198805;19.9;1
198806;22.7;1
198807;24.4;1
198808;25.8;1
198809;21.2;1
198810;17.9;1
198811;10.4;1
198812;8.4;1
198901;6.9;1
198902;9.7;1
198903;15.2;1
198904;12.9;1
198905;23.5;1
198906;23.5;1
198907;27.2;1
198908;26.2;1
198909;22.8;1
198910;19.2;1
198911;11.1;1
198912;9;1
199001;7.9;1
199002;13.5;1
199003;14.9;1
199004;14.6;1
199005;23.3;1
199006;21.8;1
199007;27.8;1
199008;28.9;1
199009;22.3;1
199010;18.9;1
199011;9.8;1
199012;5.4;1
199101;6.2;1
199102;5.7;1
199103;14.4;1
199104;15.1;1
199105;17.6;1
199106;20.5;1
199107;26.6;1
199108;28.9;1
199109;24.9;1
199110;15.3;1
199111;10.1;1
199112;6.5;1
199201;5.3;1
199202;9.2;1
199203;12.9;1
199204;15.5;1
199205;22.9;1
199206;22.5;1
199207;26;1
199208;27.2;1
199209;21.9;1
199210;13;1
199211;12.9;1
199212;7.7;1
199301;9.6;1
199302;6.9;1
199303;13.3;1
199304;16.5;1
199305;20.2;1
199306;23.5;1
199307;24.4;1
199308;25.8;1
199309;19.4;1
199310;14;1
199311;7.7;1
199312;8.8;1
199401;7.8;1
199402;8.8;1
199403;14.3;1
199404;13.9;1
199405;20.1;1
199406;23.2;1
199407;29;1
199408;25.9;1
199409;19.6;1
199410;17.4;1
199411;13.7;1
199412;9.4;1
199501;7.9;1
199502;11.2;1
199503;11.6;1
199504;14.6;1
199505;20.5;1
199506;22.6;1
199507;28.4;1
199508;27.5;1
199509;19.6;1
199510;20.9;1
199511;11.3;1
199512;6.6;1
199601;8.5;1
199602;5.7;1
199603;11.9;1
199604;16.9;1
199605;18.1;1
199606;24.8;1
199607;25.9;1
199608;24.9;1
199609;20.4;1
199610;16.6;1
199611;9.6;1
199612;5.6;1
199701;4.3;1
199702;11.7;1
199703;15.1;1
199704;17.3;1
199705;20.7;1
199706;22.3;1
199707;25.2;1
199708;29;1
199709;24.1;1
199710;17.5;1
199711;12;1
199712;8.3;1
199801;7.5;1
199802;11;1
199803;13.3;1
199804;13.5;1
199805;21.6;1
199806;24.3;1
199807;25.4;1
199808;27.9;1
199809;21.4;1
199810;15.5;1
199811;8.5;1
199812;7.7;1
199901;8.9;1
199902;7.7;1
199903;13.3;1
199904;16.1;1
199905;21.8;1
199906;22.9;1
199907;27.7;1
199908;26.7;1
199909;24.3;1
199910;17.4;1
199911;9.2;1
199912;8.3;1
200001;6.7;1
200002;10.6;1
200003;12.6;1
200004;15.4;1
200005;21.8;1
200006;24.8;1
200007;23.6;1
200008;27.1;1
200009;23.5;1
200010;16.5;1
200011;12;1
200012;10.9;1
200101;8.4;1
200102;9.2;1
200103;13.3;1
200104;13.3;1
200105;21.4;1
200106;23.5;1
200107;25.6;1
200108;26.6;1
200109;19.2;1
200110;20.5;1
200111;9.1;1
200112;5.1;1
200201;8.8;1
200202;10.9;1
200203;14.3;1
200204;17.2;1
200205;19.4;1
200206;24.8;1
200207;24.7;1
200208;24.4;1
200209;21.3;1
200210;17.2;1
200211;12.5;1
200212;9.5;1
200301;5.5;1
200302;7.3;1
200303;16.6;1
200304;18.3;1
200305;20.4;1
200306;27.9;1
200307;27.3;1
200308;32.7;1
200309;23.7;1
200310;14.9;1
200311;12;1
200312;7.6;1
200401;7.2;1
200402;9.8;1
200403;11.9;1
200404;15.4;1
200405;20;1
200406;25.2;1
200407;25.7;1
200408;25.2;1
200409;23.3;1
200410;18.2;1
200411;10;1
200412;6.1;1
200501;7;1
200502;6.2;1
200503;13;1
200504;16.7;1
200505;21;1
200506;27.4;1
200507;26.8;1
200508;26;1
200509;23;1
200510;19.9;1
200511;9.7;1
200512;5.7;1
200601;6.1;1
200602;6;1
200603;11.5;1
200604;16.6;1
200605;19.8;1
200606;26.6;1
200607;32.4;1
200608;23.1;1
200609;25.1;1
200610;19.6;1
200611;14;1
200612;7.6;1
200701;9.4;1
200702;12.1;1
200703;12.9;1
200704;23;1
200705;20.9;1
200706;23.8;1
