# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 76217001
# NOM_USUEL= DIEPPE
# LATITUDE (°) = 49.933
# LONGITUDE(°)= 1.09
# ALTITUDE (m) = 40
# NUM_SERIE= MTX276217001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196912 197612 200212 201812
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.1;1
195102;7.4;1
195103;8.2;1
195104;9.6;1
195105;13.5;1
195106;15.8;1
195107;18.9;1
195108;18.7;1
195109;18.6;1
195110;14;1
195111;12.2;1
195112;8.5;1
195201;6.3;1
195202;5.7;1
195203;9.7;1
195204;12.6;1
195205;15.4;1
195206;17.2;1
195207;19.6;1
195208;19.6;1
195209;15.4;1
195210;13.7;1
195211;7.4;1
195212;6.2;1
195301;4.2;1
195302;5.8;1
195303;10.6;1
195304;10.5;1
195305;15;1
195306;15.5;1
195307;18;1
195308;19.9;1
195309;19.2;1
195310;14.7;1
195311;10;1
195312;10.6;1
195401;5.1;1
195402;4.4;1
195403;9.4;1
195404;9;1
195405;13.2;1
195406;15.3;1
195407;16.5;1
195408;17.7;1
195409;17.2;1
195410;16.5;1
195411;11.7;1
195412;9.8;1
195501;6.7;1
195502;5.7;1
195503;6.3;1
195504;11;1
195505;13.6;1
195506;17.2;1
195507;18.7;1
195508;20.2;1
195509;18.6;1
195510;13.8;1
195511;10.7;1
195512;9.1;1
195601;7.9;1
195602;0.8;1
195603;9.9;1
195604;8.8;1
195605;14;1
195606;14.8;1
195607;18.2;1
195608;17.2;1
195609;19;1
195610;14.4;1
195611;9.2;1
195612;8.7;1
195701;7.6;1
195702;9.4;1
195703;13.4;1
195704;10.8;1
195705;13.2;1
195706;18.4;1
195707;19.5;1
195708;19;1
195709;17;1
195710;15.2;1
195711;9.5;1
195712;7.1;1
195801;7.3;1
195802;9.3;1
195803;7.1;1
195804;8.9;1
195805;15;1
195806;16.5;1
195807;18.1;1
195808;19.2;1
195809;19.5;1
195810;14.9;1
195811;9.2;1
195812;8.4;1
195901;6.6;1
195902;6.3;1
195903;11.2;1
195904;12.4;1
195905;14.7;1
195906;17.7;1
195907;21.3;1
195908;21.1;1
195909;20.9;1
195910;17.3;1
195911;10.1;1
195912;8.8;1
196001;6.8;1
196002;7.4;1
196003;9.2;1
196004;10.8;1
196005;15.3;1
196006;17.9;1
196007;18.1;1
196008;19;1
196009;17.4;1
196010;14.5;1
196011;11.5;1
196012;6.3;1
196101;6.3;1
196102;10.3;1
196103;10.8;1
196104;13.6;1
196105;14.2;1
196106;17.1;1
196107;19;1
196108;19.5;1
196109;20.8;1
196110;15.6;1
196111;9;1
196112;6.6;1
196201;7.7;1
196202;6.6;1
196203;5.9;1
196204;9.4;1
196205;11.9;1
196206;15.8;1
196207;18.4;1
196208;18.6;1
196209;17.6;1
196210;14.9;1
196211;8.4;1
196212;4.7;1
196301;-0.3;1
196302;1.9;1
196303;9.3;1
196304;10.1;1
196305;12.4;1
196306;16.7;1
196307;18.2;1
196308;17.6;1
196309;16.5;1
196310;14.6;1
196311;12.4;1
196312;3.9;1
196401;4.6;1
196402;7.3;1
196403;6.9;1
196404;11.1;1
196405;16.4;1
196406;17.9;1
196407;19.2;1
196408;19.9;1
196409;19.6;1
196410;13;1
196411;10.1;1
196412;6.9;1
196501;6.4;1
196502;4.3;1
196503;8.8;1
196504;9.6;1
196505;15;1
196506;16.8;1
196507;17.1;1
196508;18.1;1
196509;16.7;1
196510;16;1
196511;8.7;1
196512;8.8;1
196601;4.9;1
196602;10.3;1
196603;8.7;1
196604;11.9;1
196605;14.1;1
196606;18.4;1
196607;17.4;1
196608;18.8;1
196609;18.6;1
196610;15.1;1
196611;8.7;1
196612;9;1
196701;7.4;1
196702;8.7;1
196703;9.6;1
196704;9.2;1
196705;14.7;1
196706;16;1
196707;19.1;1
196708;19.3;1
196709;17.7;1
196710;15.6;1
196711;9.6;1
196712;7.7;1
196801;7.6;1
196802;5.1;1
196803;9.3;1
196804;12.3;1
196805;12.4;1
196806;16.9;1
196807;18.3;1
196808;17.7;1
196809;18;1
196810;16.5;1
196811;8.9;1
196812;4.4;1
196901;8.3;1
196902;5.4;1
196903;7.6;1
196904;10.5;1
196905;16.2;1
196906;16;1
196907;19.1;1
196908;19;1
196909;18.5;1
196910;18;1
196911;10.6;1
196912;4.6;1
197001;7.3;1
197002;7.1;1
197003;6.5;1
197004;9.2;1
197005;14.3;1
197006;18.4;1
197007;18.6;1
197008;19.1;1
197009;19.1;1
197010;14.8;1
197011;11.9;1
197012;5.7;1
197101;7.1;1
197102;7.2;1
197103;6.8;1
197104;10.5;1
197105;14.3;1
197106;15.8;1
197107;19.8;1
197108;20;1
197109;19.4;1
197110;16.3;1
197111;10.2;1
197112;7.7;1
197201;6.2;1
197202;7.9;1
197203;11;1
197204;10.4;1
197205;14;1
197206;15.4;1
197207;18;1
197208;18.8;1
197209;16.5;1
197210;14.7;1
197211;9.8;1
197212;8.1;1
197301;6.1;1
197302;6.5;1
197303;8.6;1
197304;9.6;1
197305;15.8;1
197306;18.2;1
197307;19.3;1
197308;20.5;1
197309;19.2;1
197310;14;1
197311;10.9;1
197312;7.7;1
197401;9.4;1
197402;8.4;1
197403;8.4;1
197404;11.2;1
197405;14.1;1
197406;16.6;1
197407;18.1;1
197408;20;1
197409;16.7;1
197410;10.6;1
197411;10.7;1
197412;10.5;1
197501;10.1;1
197502;9.6;1
197503;7.2;1
197504;9.9;1
197505;12.3;1
197506;16.5;1
197507;19.3;1
197508;21.5;1
197509;18.3;1
197510;13.2;1
197511;10.2;1
197512;6.6;1
197601;7.6;1
197602;7.3;1
197603;7.9;1
197604;9.4;1
197605;15.6;1
197606;19.3;1
197607;21.5;1
197608;21.1;1
197609;18.2;1
197610;15.4;1
197611;10.2;1
197612;5.8;1
197701;6.3;1
197702;9.1;1
197703;10.5;1
197704;9.6;1
197705;13.3;1
197706;15.3;1
197707;17.4;1
197708;18.5;1
197709;16.9;1
197710;16.7;1
197711;10.4;1
197712;9.2;1
197801;6.5;1
197802;5.5;1
197803;9.2;1
197804;9.1;1
197805;12.5;1
197806;16;1
197807;17.4;1
197808;17.9;1
197809;17.9;1
197810;16.4;1
197811;11.4;1
197812;7.3;1
197901;2.7;1
197902;4.6;1
197903;7.9;1
197904;10.3;1
197905;13.7;1
197906;15.2;1
197907;18.1;1
197908;18.1;1
197909;17.7;1
197910;15.7;1
197911;11.2;1
197912;9.3;1
198001;4.5;1
198002;8.9;1
198003;7.9;1
198004;10.4;1
198005;13.9;1
198006;16.7;1
198007;17.5;1
198008;19.3;1
198009;18.9;1
198010;13.4;1
198011;8.4;1
198012;7.2;1
198101;7.3;1
198102;5.6;1
198103;11.4;1
198104;10;1
198105;14.6;1
198106;15.5;1
198107;17.5;1
198108;18.7;1
198109;18.8;1
198110;13.1;1
198111;11;1
198112;6;1
198201;6.1;1
198202;8.1;1
198203;8.3;1
198204;10.5;1
198205;15.3;1
198206;18.8;1
198207;19.7;1
198208;19.3;1
198209;19.6;1
198210;14.1;1
198211;11.3;1
198212;7.4;1
198301;9.3;1
198302;4.9;1
198303;8.4;1
198304;11.1;1
198305;13.6;1
198306;17;1
198307;20.8;1
198308;20.4;1
198309;18.1;1
198310;15.1;1
198311;11.1;1
198312;8;1
198401;7.7;1
198402;6.1;1
198403;6.9;1
198404;11.1;1
198405;11;1
198406;16.1;1
198407;19.8;1
198408;19.8;1
198409;17;1
198410;15.2;1
198411;12.9;1
198412;7.6;1
198501;3;1
198502;5.6;1
198503;6.9;1
198504;10.9;1
