# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 76116001
# NOM_USUEL= ROUEN-BOOS
# LATITUDE (°) = 49.39
# LONGITUDE(°)= 1.178
# ALTITUDE (m) = 156
# NUM_SERIE= MTX176116001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196802 198512 199112
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7;1
195102;6.8;1
195103;8.7;1
195104;12.8;1
195105;15.2;1
195106;19.5;1
195107;22.9;1
195108;20.2;1
195109;20.2;1
195110;13.9;1
195111;11.3;1
195112;7;1
195201;5;1
195202;5.5;1
195203;10.7;1
195204;15.8;1
195205;19.2;1
195206;21.6;1
195207;23.4;1
195208;22.1;1
195209;15.8;1
195210;13.5;1
195211;6.1;1
195212;4.7;1
195301;2;1
195302;5.7;1
195303;13.6;1
195304;14;1
195305;19.2;1
195306;19.1;1
195307;20.9;1
195308;22.8;1
195309;20;1
195310;15;1
195311;8.8;1
195312;9.4;1
195401;3.6;1
195402;4.3;1
195403;10.8;1
195404;12.7;1
195405;17;1
195406;18.6;1
195407;18.7;1
195408;20.4;1
195409;18.2;1
195410;16.7;1
195411;10.6;1
195412;8.5;1
195501;5.8;1
195502;5;1
195503;7.4;1
195504;15.4;1
195505;16.1;1
195506;19.9;1
195507;23.7;1
195508;23.7;1
195509;19.3;1
195510;13.5;1
195511;10.1;1
195512;8.1;1
195601;6.8;1
195602;0.1;1
195603;11.4;1
195604;12.2;1
195605;18.7;1
195606;16.5;1
195607;20.7;1
195608;18.5;1
195609;20.1;1
195610;13.6;1
195611;8.2;1
195612;7.6;1
195701;6.8;1
195702;9.3;1
195703;14.2;1
195704;13.8;1
195705;15.5;1
195706;22.8;1
195707;22.1;1
195708;20.1;1
195709;17.7;1
195710;15.4;1
195711;8.1;1
195712;5.6;1
195801;6.3;1
195802;8.3;1
195803;7.5;1
195804;11.6;1
195805;17.4;1
195806;18.8;1
195807;21.4;1
195808;21;1
195809;20.8;1
195810;14.2;1
195811;8;1
195812;7.6;1
195901;5;1
195902;8;1
195903;12.1;1
195904;14.2;1
195905;18.7;1
195906;22.1;1
195907;25.3;1
195908;23.3;1
195909;23.8;1
195910;17.2;1
195911;9.4;1
195912;7.9;1
196001;5.8;1
196002;7.6;1
196003;11.1;1
196004;13.6;1
196005;19.4;1
196006;21.7;1
196007;19.8;1
196008;20.5;1
196009;18.1;1
196010;14.1;1
196011;10.9;1
196012;5.1;1
196101;5.4;1
196102;10.7;1
196103;12.9;1
196104;15.8;1
196105;17;1
196106;20.4;1
196107;21.1;1
196108;21.6;1
196109;22.5;1
196110;14.9;1
196111;8.1;1
196112;6;1
196201;6.9;1
196202;6.1;1
196203;6.4;1
196204;11.8;1
196205;14.2;1
196206;19.8;1
196207;20.4;1
196208;20.7;1
196209;18.1;1
196210;15.1;1
196211;7.4;1
196212;3.8;1
196301;-0.5;1
196302;1.3;1
196303;10;1
196304;12.7;1
196305;15.1;1
196306;18.8;1
196307;21.3;1
196308;18.5;1
196309;17.9;1
