# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 57168001
# NOM_USUEL= PHALSBOURG_SAPC
# LATITUDE (°) = 48.767
# LONGITUDE(°)= 7.306
# ALTITUDE (m) = 377
# NUM_SERIE= MTX357168001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195210 197607 199505 200912
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.6;1
195102;5.9;1
195103;6.4;1
195104;12.3;1
195105;16.2;1
195106;19.8;1
195107;22.4;1
195108;21.2;1
195109;19.1;1
195110;12.5;1
195111;8.8;1
195112;4.5;1
195201;1.7;1
195202;2;1
195203;8.6;1
195204;15.9;1
195205;17.9;1
195206;21.4;1
195207;25.3;1
195208;23.9;1
195209;14.2;1
195210;11.1;1
195211;4.9;1
195212;2.3;1
195301;0.6;1
195302;2.6;1
195303;12.2;1
195304;14.9;1
195305;19.5;1
195306;19;1
195307;21.4;1
195308;22;1
195309;19.1;1
195310;14.1;1
195311;7.4;1
195312;5;1
195401;-0.6;1
195402;1.2;1
195403;10.8;1
195404;10.4;1
195405;16.6;1
195406;20.2;1
195407;18.9;1
195408;19.8;1
195409;17.8;1
195410;14.4;1
195411;8.6;1
195412;5.5;1
195501;1.8;1
195502;2.2;1
195503;5.8;1
195504;13;1
195505;15.7;1
195506;19.4;1
195507;21.6;1
195508;21.5;1
195509;18.1;1
195510;11.9;1
195511;6.1;1
195512;5.6;1
195601;4.2;1
195602;-6.1;1
195603;7.9;1
195604;10.8;1
195605;17.9;1
195606;16.9;1
195607;20.7;1
195608;18.6;1
195609;18.9;1
195610;11.5;1
195611;4.3;1
195612;4.4;1
195701;3;1
195702;8.4;1
195703;12.1;1
195704;13.1;1
195705;14.6;1
195706;21.6;1
195707;21.9;1
195708;19.4;1
195709;16.6;1
195710;13.3;1
195711;6.5;1
195712;3.1;1
195801;2.6;1
195802;6.9;1
195803;4.4;1
195804;10;1
195805;18;1
195806;18.8;1
195807;21.8;1
195808;21.4;1
195809;19.3;1
195810;12.1;1
195811;5.2;1
195812;5.5;1
195901;2.6;1
195902;5.2;1
195903;11.3;1
195904;13.7;1
195905;17.9;1
195906;20.8;1
195907;25.2;1
195908;22.1;1
195909;21.8;1
195910;14.3;1
195911;5.8;1
195912;5.3;1
196001;3.5;1
196002;5.2;1
196003;9.3;1
196004;12.8;1
196005;18.2;1
196006;21.1;1
196007;19.1;1
196008;20.1;1
196009;16.3;1
196010;12.5;1
196011;9.3;1
196012;2.9;1
196101;2.7;1
196102;9;1
196103;11.5;1
196104;14.7;1
196105;15;1
196106;19.6;1
196107;20.4;1
196108;20.8;1
196109;22.4;1
196110;14.4;1
196111;5.9;1
196112;3.5;1
196201;4.6;1
196202;3.3;1
196203;4.2;1
196204;12.9;1
196205;14.2;1
196206;19.9;1
196207;20.8;1
196208;23;1
196209;17.8;1
196210;13.5;1
196211;4.2;1
196212;0;1
196301;-3.7;1
196302;-1.9;1
196303;8.4;1
196304;13.9;1
196305;16.3;1
196306;19.9;1
196307;23.1;1
196308;19.5;1
196309;18.6;1
196310;12;1
196311;11;1
196312;-1.3;1
196401;-1.1;1
196402;4.9;1
196403;4.6;1
196404;13.5;1
196405;19.1;1
196406;22.2;1
196407;25.6;1
196408;21.9;1
196409;19.3;1
196410;10.2;1
196411;6.9;1
196412;3.3;1
196501;3.4;1
196502;0.8;1
196503;7.5;1
196504;11.1;1
196505;15.9;1
196506;19.8;1
196507;19.7;1
196508;19.8;1
196509;16.1;1
196510;12.3;1
196511;5.6;1
196512;6;1
196601;0.6;1
196602;9.6;1
196603;7.4;1
196604;14.2;1
196605;18;1
196606;21.2;1
196607;19.4;1
196608;19.6;1
196609;19;1
196610;15;1
196611;4.2;1
196612;4.6;1
196701;3.3;1
196702;6.8;1
196703;9.8;1
196704;11.7;1
196705;17;1
196706;19.7;1
196707;24.4;1
196708;21.5;1
196709;18.1;1
196710;15.8;1
196711;6.1;1
196712;1.7;1
196801;2.2;1
196802;5.2;1
196803;9.2;1
196804;13.9;1
196805;15.2;1
196806;19.6;1
196807;21;1
196808;19.8;1
196809;17.2;1
196810;13.5;1
196811;5;1
196812;0.4;1
196901;3.7;1
196902;1.2;1
196903;6.2;1
196904;11.4;1
196905;17.6;1
196906;18.3;1
196907;23.2;1
196908;20.9;1
196909;19;1
196910;12.5;1
196911;8.4;1
196912;-1.9;1
197001;1.2;1
197002;3.1;1
197003;4.6;1
197004;9.3;1
197005;15.8;1
197006;21.6;1
197007;20.7;1
197008;21.9;1
197009;19;1
197010;11.6;1
197011;9.2;1
197012;1.6;1
197101;2.5;1
197102;3.9;1
197103;5;1
197104;15.5;1
197105;18.8;1
197106;18.2;1
197107;24.4;1
197108;22.5;1
197109;18.6;1
197110;14.6;1
197111;5.6;1
197112;4.9;1
197201;0.6;1
197202;5.8;1
197203;11;1
197204;11.6;1
197205;15;1
197206;18.6;1
197207;22.1;1
197208;20.3;1
197209;16.1;1
197210;12.2;1
197211;7.8;1
197212;2.5;1
197301;1.3;1
197302;3.2;1
197303;8.8;1
197304;10.1;1
197305;18.1;1
197306;21.5;1
197307;21.7;1
197308;23.7;1
197309;20.2;1
197310;11.8;1
197311;6.8;1
197312;2.6;1
197401;6.5;1
197402;6.5;1
197403;9.9;1
197404;13.7;1
197405;16.1;1
197406;19.5;1
197407;20.6;1
197408;22.2;1
197409;17.3;1
197410;6.9;1
197411;8.5;1
197412;6.9;1
197501;7.4;1
197502;6;1
197503;6.7;1
197504;11.8;1
197505;16.5;1
197506;19.1;1
197507;22.7;1
197508;23.4;1
197509;19.9;1
197510;10.1;1
197511;6.4;1
197512;2;1
197601;3.1;1
197602;3.7;1
197603;7.3;1
197604;13;1
197605;18.7;1
197606;24.6;1
197607;25.5;1
197608;22.7;1
197609;17;1
197610;13.3;1
197611;6.7;1
197612;0.7;1
197701;3.5;1
197702;7.5;1
197703;11.2;1
197704;10.1;1
197705;16.2;1
197706;19.6;1
197707;21.7;1
197708;20.5;1
197709;16.9;1
197710;13;1
197711;7.4;1
197712;4.2;1
197801;2.9;1
197802;2;1
197803;8.9;1
197804;12.1;1
