# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 70006001
# NOM_USUEL= AILLEVILLERS
# LATITUDE (°) = 47.915
# LONGITUDE(°)= 6.338
# ALTITUDE (m) = 275
# NUM_SERIE= MTX270006001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196912 198612 201905
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.8;1
195902;7.9;1
195903;13.7;1
195904;15.4;1
195905;21.4;1
195906;23.6;1
195907;28.2;1
195908;24;1
195909;24.9;1
195910;16.9;1
195911;7.7;1
195912;7.3;1
196001;4.6;1
196002;7.7;1
196003;12.9;1
196004;15.6;1
196005;21.8;1
196006;23.8;1
196007;20.7;1
196008;22.1;1
196009;18.7;1
196010;14;1
196011;11;1
196012;3.9;1
196101;4.8;1
196102;10.6;1
196103;14.3;1
196104;18;1
196105;17.1;1
196106;22.9;1
196107;22.7;1
196108;22.8;1
196109;23.7;1
196110;16.3;1
196111;7.5;1
196112;5.3;1
196201;6.5;1
196202;5.5;1
196203;6.8;1
196204;14.9;1
196205;16.3;1
196206;23;1
196207;25;1
196208;25.5;1
196209;20.6;1
196210;16.4;1
196211;6.8;1
196212;1.4;1
196301;-0.1;1
196302;2.6;1
196303;9.5;1
196304;16.8;1
196305;18.2;1
196306;22;1
196307;26.5;1
196308;20.8;1
196309;21;1
196310;14.3;1
196311;12.6;1
196312;2.7;1
196401;1.1;1
196402;8.1;1
196403;9.2;1
196404;16.9;1
196405;21.4;1
196406;24.8;1
196407;28.2;1
196408;24.1;1
196409;21.9;1
196410;12.7;1
196411;8.6;1
196412;4.1;1
196501;4.8;1
196502;3.9;1
196503;11;1
196504;13.6;1
196505;18.5;1
196506;22;1
196507;21.4;1
196508;22.5;1
196509;17.8;1
196510;16.5;1
196511;8;1
196512;7.3;1
196601;2.6;1
196602;10.6;1
196603;9.5;1
196604;16.6;1
196605;19.7;1
196606;24.2;1
196607;21.4;1
196608;21;1
196609;21.5;1
196610;17.4;1
196611;5.9;1
196612;4.5;1
196701;4.1;1
196702;8.8;1
196703;11.8;1
196704;14.2;1
196705;19.5;1
196706;22.3;1
196707;28.1;1
196708;24.3;1
196709;19.6;1
196710;16.8;1
196711;8.4;1
196712;1.8;1
196801;2.2;1
196802;7.3;1
196803;11.3;1
196804;17;1
196805;17.7;1
196806;21;1
196807;25.4;1
196808;21.2;1
196809;18.9;1
196810;16.8;1
196811;7.9;1
196812;3.1;1
196901;5.8;1
196902;4.2;1
196903;10.1;1
196904;13.6;1
196905;20.4;1
196906;19.9;1
196907;25.5;1
196908;22.7;1
196909;21.1;1
196910;16.9;1
196911;8.9;1
196912;-0.2;1
197001;3.9;1
197002;4.4;1
197003;6.9;1
197004;11.3;1
197005;18.9;1
197006;25;1
197007;23;1
197008;24;1
197009;21.4;1
197010;13;1
197011;10.7;1
197012;3;1
197101;4.9;1
197102;6;1
197103;7;1
197104;19.1;1
197105;21.3;1
197106;20;1
197107;26.2;1
197108;24.9;1
197109;20.9;1
197110;17;1
197111;6.5;1
197112;4.8;1
197201;4.1;1
197202;9.4;1
197203;13.2;1
197204;13.3;1
197205;17.6;1
197206;20.7;1
197207;24.2;1
197208;22.7;1
197209;18.8;1
197210;15.8;1
197211;8.6;1
197212;4.5;1
197301;1.3;1
197302;4.6;1
197303;10;1
197304;11.7;1
197305;20.7;1
197306;24.1;1
197307;23.7;1
197308;25.8;1
197309;21.8;1
197310;13.7;1
197311;8.1;1
197312;3.8;1
197401;7.3;1
197402;7.8;1
197403;12;1
197404;16.6;1
197405;18.4;1
197406;21.7;1
197407;22.9;1
197408;24.6;1
197409;19.1;1
197410;7.8;1
197411;8.8;1
197412;7.1;1
197501;7.5;1
197502;9.5;1
197503;8.1;1
197504;14;1
197505;18.4;1
197506;20.4;1
197507;24.4;1
197508;24.3;1
197509;20.2;1
197510;12.4;1
197511;6.9;1
197512;2.3;1
197601;3;1
197602;7;1
197603;10.2;1
197604;15.2;1
197605;20.5;1
197606;27;1
197607;27;1
197608;24.9;1
197609;19.1;1
197610;15.8;1
197611;8.4;1
197612;3.9;1
197701;4.9;1
197702;9.1;1
197703;13.3;1
197704;11.9;1
197705;19.2;1
197706;21.6;1
197707;23.6;1
197708;22.1;1
197709;19.5;1
197710;17.7;1
197711;8.4;1
197712;6.7;1
197801;4;1
197802;5.5;1
197803;10.6;1
197804;14;1
197805;17.7;1
197806;21.4;1
197807;22.7;1
197808;22.2;1
197809;19.2;1
197810;14.8;1
197811;7.4;1
197812;6.7;1
197901;0.4;1
197902;6;1
197903;9.2;1
197904;12.9;1
197905;19.2;1
197906;22.7;1
197907;24.2;1
197908;21;1
197909;20.7;1
197910;16.4;1
197911;7.3;1
197912;6.8;1
198001;2.8;1
198002;9.3;1
198003;9.9;1
198004;12.7;1
198005;17.9;1
198006;19.5;1
198007;20.5;1
198008;23.8;1
198009;21.1;1
198010;12.5;1
198011;7.2;1
198012;2.5;1
198101;2.2;1
198102;4.4;1
198103;12.6;1
198104;15.6;1
198105;18.7;1
198106;21;1
198107;22.3;1
198108;24;1
