# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 77186002
# NOM_USUEL= FONTAINEBLEAU_SAPC
# LATITUDE (°) = 48.406
# LONGITUDE(°)= 2.679
# ALTITUDE (m) = 84
# NUM_SERIE= MTX277186002
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196806 197412 198904
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.6;1
195302;6.9;1
195303;15.5;1
195304;16.5;1
195305;21.9;1
195306;21.4;1
195307;23;1
195308;25.1;1
195309;22.1;1
195310;16.3;1
195311;9.5;1
195312;10.7;1
195401;3.9;1
195402;5.4;1
195403;12.6;1
195404;15.3;1
195405;20;1
195406;22.3;1
195407;22.5;1
195408;22.1;1
195409;19.8;1
195410;17.2;1
195411;11.3;1
195412;8.4;1
195501;6.6;1
195502;6.8;1
195503;9.4;1
195504;17.9;1
195505;18.4;1
195506;22.9;1
195507;25.4;1
195508;25.4;1
195509;21.7;1
195510;14.6;1
195511;10.6;1
195512;8.3;1
195601;6.6;1
195602;-1.6;1
195603;12.4;1
195604;13.8;1
195605;21.3;1
195606;18.5;1
195607;22.9;1
195608;21.1;1
195609;21.6;1
195610;13.8;1
195611;7.6;1
195612;8.2;1
195701;5.8;1
195702;10.3;1
195703;15.1;1
195704;16.3;1
195705;17.4;1
195706;24.1;1
195707;24.4;1
195708;22.5;1
195709;19.2;1
195710;15.2;1
195711;9;1
195712;5.4;1
195801;5.7;1
195802;8.7;1
195803;8.3;1
195804;13.1;1
195805;19;1
195806;21.1;1
195807;23.2;1
195808;22.7;1
195809;21;1
195810;15.2;1
195811;8.2;1
195812;7.3;1
195901;5.2;1
195902;7.3;1
195903;13.3;1
195904;16.2;1
195905;21.8;1
195906;24.5;1
195907;27.8;1
195908;25.4;1
195909;24;1
195910;17;1
195911;10;1
195912;8.5;1
196001;6.6;1
196002;8.5;1
196003;13.1;1
196004;15.7;1
196005;22.2;1
196006;23.6;1
196007;22;1
196008;22.6;1
196009;18.9;1
196010;14.2;1
196011;11.7;1
196012;5.8;1
196101;6.2;1
196102;11.5;1
196103;14.3;1
196104;18.6;1
196105;19.3;1
196106;24;1
196107;24.8;1
196108;25;1
196109;25.3;1
196110;16.8;1
196111;9.6;1
196112;7.3;1
196201;7.8;1
196202;7.2;1
196203;7.7;1
196204;14.5;1
196205;18.1;1
196206;23.2;1
196207;23.7;1
196208;24.1;1
196209;21;1
196210;16.4;1
196211;7.8;1
196212;3.4;1
196301;1;1
196302;2.1;1
196303;11.1;1
196304;15.4;1
196305;18.4;1
196306;22;1
196307;23.8;1
196308;20.9;1
196309;19.5;1
196310;14.7;1
196311;12.9;1
196312;2.9;1
196401;2.9;1
196402;9.1;1
196403;8.7;1
196404;15;1
196405;21.6;1
196406;22.9;1
196407;25.8;1
196408;24.3;1
196409;22;1
196410;13.2;1
196411;10.3;1
196412;5.2;1
196501;6.4;1
196502;4.2;1
196503;10.8;1
196504;12.7;1
196505;16.4;1
196506;20.5;1
196507;20.2;1
196508;22;1
196509;18;1
196510;17.7;1
196511;9;1
196512;8.4;1
196601;4;1
196602;11.4;1
196603;10.4;1
196604;15.7;1
196605;17.4;1
196606;23.1;1
196607;22;1
196608;24.6;1
196609;24;1
196610;16.9;1
196611;8.5;1
196612;8.6;1
196701;6.8;1
196702;10.1;1
196703;13.7;1
196704;15;1
196705;19.1;1
196706;23.2;1
196707;27.2;1
196708;25;1
196709;20.9;1
196710;17.6;1
196711;9.7;1
196712;6;1
196801;6.7;1
196802;7.8;1
196803;12.8;1
196804;16.8;1
196805;16.3;1
196806;21.1;1
196807;22.8;1
196808;21.8;1
196809;18.9;1
196810;16.9;1
196811;7.9;1
196812;3.6;1
196901;7.4;1
196902;5.6;1
196903;10.8;1
196904;15.4;1
196905;19.6;1
196906;21.1;1
196907;25.7;1
196908;23.4;1
196909;21.8;1
196910;18.2;1
196911;10.1;1
196912;2.5;1
197001;6.1;1
197002;7.5;1
197003;7.3;1
197004;11.4;1
197005;19.9;1
197006;23.9;1
197007;23.9;1
197008;24;1
197009;22.5;1
197010;15.5;1
197011;12.3;1
197012;4.9;1
197101;6.6;1
197102;7.7;1
197103;8.3;1
197104;18.2;1
197105;21.3;1
197106;20.6;1
197107;27.4;1
197108;24.4;1
197109;22.4;1
197110;17.9;1
197111;8.6;1
197112;7;1
197201;5.4;1
197202;9.3;1
197203;14.7;1
197204;13.8;1
197205;17.2;1
197206;20.3;1
197207;24;1
197208;22.4;1
197209;18.8;1
197210;16.9;1
197211;10.4;1
197212;7.1;1
197301;5;1
197302;6.1;1
197303;12.6;1
197304;12.8;1
197305;19;1
197306;23.9;1
197307;23.6;1
197308;28.1;1
197309;23.5;1
197310;15.4;1
197311;10.3;1
197312;6.2;1
197401;10.2;1
197402;9.2;1
197403;11.3;1
197404;16.9;1
197405;19.1;1
197406;22.7;1
197407;24.6;1
197408;26.1;1
197409;19.3;1
197410;11.7;1
197411;11.1;1
197412;10.2;1
197501;9.5;1
197502;11.5;1
197503;8.6;1
197504;14.5;1
197505;17.3;1
197506;21.4;1
197507;24.9;1
197508;26.4;1
197509;20.1;1
197510;12.7;1
197511;8.6;1
197512;4.1;1
197601;7.2;1
197602;8.3;1
197603;11.3;1
197604;16.2;1
197605;22;1
197606;28.3;1
197607;28.3;1
197608;27.8;1
197609;20.1;1
197610;16.7;1
197611;9.7;1
197612;5.1;1
197701;5;1
197702;10.1;1
197703;13.6;1
197704;14;1
197705;17.8;1
197706;20.6;1
197707;23.5;1
197708;22.9;1
197709;20.8;1
197710;17.8;1
197711;10.6;1
197712;8.5;1
197801;5.3;1
197802;5.8;1
197803;11.9;1
197804;13.2;1
197805;18.2;1
197806;20.9;1
197807;22.8;1
197808;23;1
197809;21.9;1
197810;17.7;1
197811;9.2;1
197812;8.3;1
197901;1.6;1
197902;6.4;1
197903;10.2;1
197904;13.6;1
197905;18.5;1
197906;22;1
197907;25.1;1
197908;22.9;1
197909;21.7;1
197910;16.6;1
197911;10.1;1
197912;8.9;1
198001;4;1
198002;10.1;1
198003;9.8;1
198004;14.3;1
198005;18.4;1
198006;20.7;1
198007;21.2;1
198008;24.8;1
198009;23.4;1
198010;15.1;1
198011;8.8;1
198012;5.7;1
198101;6.4;1
198102;5.9;1
198103;13.2;1
198104;14.6;1
198105;18.1;1
198106;20.7;1
198107;23.4;1
198108;24.8;1
198109;21.6;1
198110;14.8;1
198111;10.2;1
198112;6.5;1
198201;6.7;1
198202;8.7;1
198203;11.6;1
198204;15.3;1
198205;19.4;1
198206;24;1
198207;26.6;1
198208;23.4;1
198209;24.2;1
198210;14.7;1
198211;11.5;1
198212;7.8;1
198301;9;1
198302;5.9;1
198303;11.7;1
198304;14.2;1
198305;16.5;1
198306;24.2;1
198307;29.1;1
198308;26.2;1
198309;21.2;1
198310;16.5;1
198311;10.9;1
198312;7;1
198401;7.1;1
198402;6.8;1
198403;10.6;1
198404;15.7;1
198405;15.3;1
198406;22.1;1
198407;25.1;1
198408;24.1;1
198409;19;1
198410;15.3;1
198411;13;1
198412;7.3;1
198501;1.3;1
198502;7.2;1
198503;9.5;1
198504;15.8;1
198505;18.5;1
198506;21;1
198507;26;1
198508;23.1;1
198509;23.6;1
198510;16.7;1
198511;7.1;1
198512;7.9;1
198601;7;1
198602;0.9;1
198603;10.4;1
198604;11.7;1
198605;19.7;1
198606;24.4;1
198607;25.1;1
198608;23.1;1
198609;18.9;1
198610;17.9;1
198611;11.6;1
198612;8.4;1
198701;0.4;1
198702;5.9;1
198703;8.7;1
198704;18.2;1
198705;17.2;1
198706;20.2;1
198707;23.9;1
198708;24;1
198709;22.7;1
198710;16.1;1
