# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 82121002
# NOM_USUEL= MONTAUBAN
# LATITUDE (°) = 44.028
# LONGITUDE(°)= 1.377
# ALTITUDE (m) = 106
# NUM_SERIE= MTX282121002
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 199003
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;8.8;1
195902;12.4;1
195903;15.6;1
195904;16.9;1
195905;20.5;1
195906;24.2;1
195907;27.7;1
195908;26.1;1
195909;23.4;1
195910;18.3;1
195911;12.6;1
195912;11.2;1
196001;9.5;1
196002;12.8;1
196003;15.4;1
196004;16.3;1
196005;24;1
196006;26.2;1
196007;24.2;1
196008;24.6;1
196009;21.4;1
196010;17;1
196011;14;1
196012;6.6;1
196101;7.2;1
196102;14.1;1
196103;17.8;1
196104;19.6;1
196105;21.5;1
196106;24.5;1
196107;26.6;1
196108;25.5;1
196109;27.1;1
196110;19.7;1
196111;12.1;1
196112;11.1;1
196201;9.7;1
196202;9.5;1
196203;11.7;1
196204;16.5;1
196205;19.5;1
196206;24.7;1
196207;27.1;1
196208;27.9;1
196209;25.9;1
196210;20;1
196211;10.3;1
196212;7.2;1
196301;6.7;1
196302;7;1
196303;14;1
196304;16.4;1
196305;19.2;1
196306;22.9;1
196307;26.5;1
196308;22.8;1
196309;21.2;1
196310;19;1
196311;14.9;1
196312;7.5;1
196401;5.5;1
196402;11.3;1
196403;13.2;1
196404;16.7;1
196405;22.7;1
196406;24.4;1
196407;29;1
196408;27.6;1
196409;25.9;1
196410;15.8;1
196411;10.7;1
196412;8;1
196501;7.9;1
196502;7.8;1
196503;14.2;1
196504;14.5;1
196505;20.3;1
196506;24.4;1
196507;25.8;1
196508;26.3;1
196509;20.6;1
196510;20.9;1
196511;13.1;1
196512;11;1
196601;9.3;1
196602;14.4;1
196603;13.3;1
196604;18.1;1
196605;20.7;1
196606;24.4;1
196607;24;1
196608;25.3;1
196609;25.9;1
196610;18.3;1
196611;10.2;1
196612;9.5;1
196701;7.3;1
196702;11.7;1
196703;14.4;1
196704;16.9;1
196705;20.4;1
196706;24.1;1
196707;29.9;1
196708;27.2;1
196709;23.2;1
196710;22.1;1
196711;14.1;1
196712;5;1
196801;8.3;1
196802;11.7;1
196803;13.3;1
196804;18.2;1
196805;19.2;1
196806;23.7;1
196807;27.1;1
196808;24.9;1
196809;22.3;1
196810;21.2;1
196811;13;1
196812;9.1;1
196901;9.8;1
196902;8.8;1
196903;13.5;1
196904;16;1
196905;21;1
196906;22.2;1
196907;28;1
196908;25.6;1
196909;21.9;1
196910;20.5;1
196911;12.5;1
196912;6.3;1
197001;9.5;1
197002;10.2;1
197003;10.9;1
197004;14.6;1
197005;20.2;1
197006;25.6;1
197007;27.7;1
197008;26.8;1
197009;26.8;1
197010;18.7;1
197011;15.4;1
197012;6.4;1
197101;10;1
197102;9.7;1
197103;10;1
197104;18.6;1
197105;20.3;1
197106;22;1
197107;28.9;1
197108;27.2;1
197109;24.8;1
197110;21.1;1
197111;9.5;1
197112;9.6;1
197201;8.8;1
197202;12.1;1
197203;15.6;1
197204;14.8;1
197205;18.7;1
197206;21.7;1
197207;27.9;1
197208;24.9;1
197209;21.1;1
197210;19.6;1
197211;13.5;1
197212;10.1;1
197301;6.4;1
197302;8.3;1
197303;14.2;1
197304;15.7;1
197305;22.7;1
197306;24.8;1
197307;26.2;1
197308;29;1
197309;25.5;1
197310;18.2;1
197311;12.9;1
197312;7.9;1
197401;10.8;1
197402;10.7;1
197403;14;1
197404;16.4;1
197405;20.1;1
197406;25.4;1
197407;26.2;1
197408;26.5;1
197409;20.9;1
197410;12.7;1
197411;12.7;1
197412;10.5;1
197501;10.8;1
197502;14;1
197503;10.8;1
197504;16.2;1
197505;19.5;1
197506;23.1;1
197507;28.2;1
197508;27.7;1
197509;22.6;1
197510;18.6;1
197511;10.9;1
197512;6.1;1
197601;6.8;1
197602;12.3;1
197603;14.6;1
197604;16.1;1
197605;21.5;1
197606;29.3;1
