# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 60639001
# NOM_USUEL= BEAUVAIS-TILLE
# LATITUDE (°) = 49.447
# LONGITUDE(°)= 2.127
# ALTITUDE (m) = 89
# NUM_SERIE= MTX260639001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 196210 196710
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.1;1
195302;6.3;1
195303;13.5;1
195304;14.6;1
195305;20;1
195306;20.2;1
195307;22.1;1
195308;23.7;1
195309;20.9;1
195310;15.5;1
195311;9.1;1
195312;9.5;1
195401;3.3;1
195402;3.9;1
195403;11.3;1
195404;13.3;1
195405;17.9;1
195406;19.9;1
195407;20.1;1
195408;21.2;1
195409;18.9;1
195410;17;1
195411;10.8;1
195412;8.8;1
195501;5.7;1
195502;5.4;1
195503;7.7;1
195504;15.5;1
195505;17;1
195506;20.9;1
195507;24.2;1
195508;24.6;1
195509;20.6;1
195510;14.2;1
195511;10;1
195512;8.4;1
195601;6.9;1
195602;-0.3;1
195603;11.5;1
195604;12.6;1
195605;19.4;1
195606;17.6;1
195607;21.9;1
195608;20.1;1
195609;20.9;1
195610;14.5;1
195611;8;1
195612;8;1
195701;6.6;1
195702;10;1
195703;14.5;1
195704;14.3;1
195705;15.8;1
195706;23.1;1
195707;23;1
195708;21.5;1
195709;18.4;1
195710;15.5;1
195711;8.2;1
195712;5.7;1
195801;6.2;1
195802;8.8;1
195803;8;1
195804;12.2;1
195805;18.1;1
195806;19.9;1
195807;22.2;1
195808;21.7;1
195809;21.2;1
195810;14.3;1
195811;8.2;1
195812;7.7;1
195901;5.4;1
195902;6.9;1
195903;12.6;1
195904;14.8;1
195905;18.9;1
195906;22.9;1
195907;26.3;1
195908;24.6;1
195909;24.2;1
195910;17.8;1
195911;8.8;1
195912;8;1
196001;5.9;1
196002;7.7;1
196003;11.1;1
196004;14;1
196005;19.6;1
196006;21.9;1
196007;20.6;1
196008;21.3;1
196009;18.6;1
196010;14.3;1
196011;10.9;1
196012;5.2;1
196101;5.2;1
196102;11.2;1
196103;13.4;1
196104;16.4;1
196105;16.9;1
