# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 94068001
# NOM_USUEL= ST-MAUR
# LATITUDE (°) = 48.809
# LONGITUDE(°)= 2.492
# ALTITUDE (m) = 48
# NUM_SERIE= MTX394068001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197107 197712 198012 198712 200312
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.3;1
195302;7;1
195303;15.6;1
195304;17.3;1
195305;22;1
195306;21.6;1
195307;23.8;1
195308;25.8;1
195309;23.2;1
195310;16.8;1
195311;9.2;1
195312;10.3;1
195401;4.3;1
195402;5.1;1
195403;13.4;1
195404;15.6;1
195405;20.2;1
195406;22.5;1
195407;23.3;1
195408;23.4;1
195409;20.5;1
195410;18.1;1
195411;11.9;1
195412;9.1;1
195501;7.2;1
195502;6.9;1
195503;9.5;1
195504;18.2;1
195505;19.5;1
195506;22.7;1
195507;25.9;1
195508;26;1
195509;22.3;1
195510;15.2;1
195511;11;1
195512;8.8;1
195601;7;1
195602;0.1;1
195603;13.6;1
195604;14.5;1
195605;21.9;1
195606;19.3;1
195607;24.2;1
195608;22.3;1
195609;22.7;1
195610;15.1;1
195611;8.4;1
195612;8.4;1
195701;6.3;1
195702;11.3;1
195703;16.3;1
195704;16.2;1
195705;18;1
195706;24.8;1
195707;25;1
195708;23.3;1
195709;20.3;1
195710;16.2;1
195711;9.3;1
195712;6.4;1
195801;7.2;1
195802;9.9;1
195803;9.9;1
195804;14.1;1
195805;20.2;1
195806;21.5;1
195807;24.2;1
195808;23.9;1
195809;22.9;1
195810;15.4;1
195811;8.5;1
195812;8;1
195901;6.3;1
195902;8.4;1
195903;14.2;1
195904;16.8;1
195905;21.3;1
195906;24.9;1
195907;28.8;1
195908;26.3;1
195909;26.6;1
195910;19.4;1
195911;10.1;1
195912;8.9;1
196001;7.1;1
196002;8.9;1
196003;14;1
196004;16.4;1
196005;22.3;1
196006;24.3;1
196007;22.7;1
196008;23.3;1
196009;20.4;1
196010;15.5;1
196011;11.8;1
196012;5.9;1
196101;6.2;1
196102;12.9;1
196103;15.6;1
196104;19;1
196105;19.5;1
196106;23.5;1
196107;24.6;1
196108;25.8;1
196109;25.7;1
196110;16.6;1
196111;9.3;1
196112;7.4;1
196201;8;1
196202;7.8;1
196203;8.7;1
196204;14.8;1
196205;17.7;1
196206;23.1;1
196207;24;1
196208;25.1;1
196209;21.7;1
196210;17.5;1
196211;8.2;1
196212;4.5;1
196301;0.7;1
196302;2.8;1
196303;12.1;1
196304;15.9;1
196305;18.4;1
196306;22;1
196307;25.8;1
196308;21.8;1
196309;20.3;1
196310;16;1
196311;13.4;1
196312;3.2;1
196401;3.7;1
196402;9.3;1
196403;9.7;1
196404;15.9;1
196405;22;1
196406;23.6;1
196407;27.3;1
196408;26;1
196409;24.1;1
196410;13.8;1
196411;10;1
196412;5.6;1
196501;6.6;1
196502;5.6;1
196503;12.8;1
196504;15.4;1
196505;19.1;1
196506;22.9;1
196507;22.1;1
196508;23.5;1
196509;19.2;1
196510;18.2;1
196511;9.4;1
196512;9.1;1
196601;5.1;1
196602;12.1;1
196603;12.2;1
196604;17.4;1
196605;19.6;1
196606;24.7;1
196607;23;1
196608;23.9;1
196609;22.8;1
196610;16.5;1
196611;8.6;1
196612;8.8;1
196701;7;1
196702;10.6;1
196703;13.6;1
196704;15.5;1
196705;19.5;1
196706;22.4;1
196707;27.8;1
196708;24.4;1
196709;21.4;1
196710;18;1
196711;9.9;1
196712;6;1
196801;6.8;1
196802;7.4;1
196803;12.8;1
196804;17.3;1
196805;17.4;1
196806;22.4;1
196807;24.3;1
196808;23.4;1
196809;21;1
196810;17.4;1
196811;9.2;1
196812;4.5;1
196901;8.4;1
196902;6.5;1
196903;11.8;1
196904;16.7;1
196905;20.6;1
196906;21.8;1
196907;26.3;1
196908;24.2;1
196909;22.4;1
196910;19.7;1
196911;10.9;1
196912;3.5;1
197001;7;1
197002;8.4;1
197003;8.7;1
197004;13.2;1
197005;20.4;1
197006;24.4;1
197007;24.1;1
197008;24.5;1
197009;23.3;1
197010;16.1;1
197011;12.6;1
197012;5.4;1
197101;7;1
197102;8.7;1
197103;9.5;1
197104;19;1
197105;22.8;1
197106;21.8;1
197107;27.8;1
197108;24.5;1
197109;22.8;1
197110;18.3;1
197111;9.1;1
197112;6.6;1
197201;5.7;1
197202;9.3;1
197203;15;1
197204;14.9;1
197205;18.1;1
197206;20.7;1
197207;25.1;1
197208;23.2;1
197209;19.5;1
197210;16.7;1
197211;10.8;1
197212;7.6;1
197301;5.9;1
197302;7.3;1
197303;13.2;1
197304;14.2;1
197305;19.7;1
197306;24.6;1
197307;24.5;1
197308;27.7;1
197309;24.1;1
197310;15.8;1
197311;10.3;1
197312;6.8;1
197401;9.9;1
197402;8.4;1
197403;11.7;1
197404;17.6;1
197405;19.3;1
197406;23;1
197407;24.3;1
197408;25.9;1
197409;19.6;1
197410;12.3;1
197411;10.9;1
197412;10.4;1
197501;9.9;1
197502;11;1
197503;9.4;1
197504;15.4;1
197505;18.2;1
197506;22.6;1
197507;25.8;1
197508;27.6;1
197509;21.6;1
197510;13.7;1
197511;9.4;1
197512;5.1;1
197601;7.6;1
197602;8.5;1
197603;11.5;1
197604;16.7;1
197605;22.9;1
197606;29.1;1
197607;29.2;1
197608;28.3;1
197609;20.8;1
197610;16.7;1
197611;9.8;1
197612;5.2;1
197701;6.5;1
197702;10.4;1
197703;14.1;1
197704;14.7;1
197705;18.7;1
197706;20.7;1
197707;24;1
197708;23.2;1
197709;21;1
197710;17.8;1
197711;10.5;1
197712;8.5;1
197801;5.9;1
197802;6.7;1
197803;12.9;1
197804;14.5;1
197805;19.3;1
197806;20.6;1
197807;23.4;1
197808;23.6;1
197809;22;1
197810;17.6;1
197811;10.2;1
197812;8.2;1
197901;2.2;1
197902;6.6;1
197903;10.5;1
197904;14.2;1
197905;18.9;1
197906;22.5;1
197907;25;1
197908;23;1
197909;22;1
197910;16.6;1
197911;10.5;1
197912;8.5;1
198001;4.2;1
198002;10.3;1
198003;10.1;1
198004;15.2;1
198005;19.6;1
198006;21;1
198007;22;1
198008;25.3;1
198009;23.6;1
198010;14.9;1
198011;8.9;1
198012;6.3;1
198101;7;1
198102;7.2;1
198103;14.1;1
198104;16.6;1
198105;18.7;1
198106;21.5;1
198107;24.1;1
198108;26.2;1
198109;23.4;1
198110;14.9;1
198111;10.8;1
198112;6.8;1
198201;7.4;1
198202;9.2;1
198203;12.5;1
198204;16.3;1
198205;19.8;1
198206;24.5;1
198207;27.3;1
198208;24.3;1
198209;25.4;1
198210;15.4;1
198211;12.4;1
198212;7.5;1
198301;9.1;1
198302;6.7;1
198303;12.1;1
198304;15.1;1
198305;17.5;1
198306;25.2;1
198307;30.6;1
198308;26.8;1
198309;21.8;1
198310;16.9;1
198311;12.2;1
198312;7.5;1
198401;7;1
198402;7.3;1
198403;10.7;1
198404;17.6;1
198405;16.4;1
198406;23.6;1
198407;26.7;1
198408;25.2;1
198409;18.7;1
198410;15.2;1
198411;13.1;1
198412;7.2;1
198501;2;1
198502;8.3;1
198503;10.2;1
198504;16.1;1
198505;19.3;1
198506;20.8;1
198507;26.4;1
198508;23.7;1
198509;25.2;1
198510;17.7;1
198511;7.6;1
198512;8.3;1
198601;7.2;1
198602;2.5;1
198603;11.3;1
198604;12.8;1
198605;20.5;1
198606;25;1
198607;24.9;1
198608;23.4;1
198609;19.2;1
198610;17.5;1
198611;11;1
198612;7.8;1
198701;0.7;1
198702;6.4;1
198703;9.1;1
198704;18.6;1
198705;17.6;1
198706;20.2;1
198707;24.2;1
198708;24.3;1
198709;23.2;1
198710;16.9;1
198711;10.4;1
198712;7.1;1
198801;10;1
198802;9.4;1
198803;10.8;1
198804;17.3;1
198805;20.3;1
198806;22.8;1
198807;23.2;1
198808;25.3;1
198809;20.3;1
198810;17.3;1
198811;10.7;1
198812;9.5;1
198901;7.5;1
198902;9.8;1
198903;15.7;1
198904;13.8;1
198905;24.5;1
198906;23.9;1
198907;27.6;1
198908;26.6;1
198909;23.6;1
198910;19.2;1
198911;11.4;1
198912;8;1
199001;8.3;1
199002;14;1
199003;15.3;1
199004;15.7;1
199005;23.9;1
199006;21.6;1
199007;27.6;1
199008;29.2;1
199009;22.3;1
199010;18.7;1
199011;10.8;1
199012;6.4;1
199101;7.3;1
199102;6;1
199103;14.9;1
199104;16.3;1
199105;18.7;1
199106;20.2;1
199107;26.1;1
199108;28.5;1
199109;24;1
199110;16;1
199111;9.9;1
199112;6.6;1
199201;6.2;1
199202;10.1;1
199203;13.2;1
199204;15.9;1
199205;23.8;1
199206;23.3;1
199207;27;1
199208;26.7;1
199209;20.9;1
199210;13.5;1
199211;12.3;1
199212;7.4;1
199301;9.5;1
199302;6.3;1
199303;13.9;1
199304;17.7;1
199305;20.7;1
199306;24.1;1
199307;23.9;1
199308;25.7;1
199309;19.7;1
199310;13.6;1
199311;7.3;1
199312;9.3;1
199401;8.5;1
199402;8.8;1
199403;14.5;1
199404;15.1;1
199405;20.7;1
199406;24;1
199407;29.6;1
199408;25.5;1
199409;19.7;1
199410;17.3;1
199411;14.1;1
199412;9.5;1
199501;8.6;1
199502;11.4;1
199503;12.3;1
199504;15.2;1
199505;20.9;1
199506;22.7;1
199507;28.6;1
199508;28.6;1
199509;20.3;1
199510;20.3;1
199511;11.7;1
199512;5.6;1
199601;7;1
199602;6.2;1
199603;12.2;1
199604;17.7;1
199605;17.7;1
199606;25.6;1
199607;26.4;1
199608;25.4;1
199609;20.6;1
199610;16.6;1
199611;9.7;1
199612;4.4;1
199701;3.6;1
199702;11.8;1
199703;15.6;1
199704;17.7;1
199705;20.7;1
199706;22.4;1
199707;25.7;1
199708;30.1;1
199709;24.8;1
199710;17.6;1
199711;11.6;1
199712;8.4;1
199801;8.6;1
199802;11.6;1
199803;13.7;1
199804;14.5;1
199805;22.7;1
199806;24;1
199807;23.8;1
199808;27.7;1
199809;21.4;1
199810;15.1;1
199811;8.6;1
199812;7.7;1
199901;9.4;1
199902;8.4;1
199903;14.1;1
199904;16.9;1
199905;22.5;1
199906;22.8;1
199907;27.8;1
199908;26.6;1
199909;24.2;1
199910;16.9;1
199911;9.8;1
199912;8.1;1
200001;6.9;1
200002;11;1
200003;13.6;1
200004;16.1;1
200005;21.9;1
200006;24.7;1
200007;23.2;1
200008;26.7;1
200009;22.2;1
200010;16;1
200011;11.5;1
200012;9.8;1
200101;7.9;1
200102;9.6;1
200103;13.2;1
200104;14.1;1
200105;22.3;1
200106;24;1
200107;26;1
200108;26.9;1
200109;19;1
200110;19.8;1
200111;10.3;1
200112;6.2;1
200201;8.6;1
200202;11.7;1
200203;15.2;1
200204;18.6;1
200205;20.2;1
200206;25.2;1
200207;25.6;1
200208;25.6;1
200209;22.3;1
200210;17.6;1
200211;11.9;1
200212;9;1
200301;5.9;1
200302;8.3;1
200303;17.4;1
200304;19;1
200305;20.9;1
200306;28;1
200307;28.2;1
200308;32.2;1
200309;24.3;1
200310;14.6;1
200311;12.2;1
200312;7.8;1
200401;8;1
200402;10.1;1
200403;12.7;1
200404;17;1
200405;20.4;1
200406;24.9;1
200407;25.7;1
200408;26.6;1
200409;24;1
200410;17.4;1
200411;10.6;1
200412;6.3;1
200501;8.3;1
200502;7.1;1
200503;13.1;1
200504;17.3;1
200505;21.1;1
200506;26.9;1
200507;26.6;1
200508;25.9;1
200509;24;1
200510;20.8;1
200511;9.8;1
200512;6.8;1
200601;6;1
200602;6.8;1
200603;10.9;1
200604;17;1
200605;20.7;1
200606;26.1;1
200607;31.6;1
200608;22.7;1
200609;25.4;1
200610;19.3;1
200611;13.1;1
200612;8.3;1
200701;10.4;1
200702;12.3;1
200703;13.4;1
200704;23.7;1
200705;21.4;1
200706;23.9;1
200707;24.3;1
200708;23.3;1
200709;21.2;1
200710;16.6;1
200711;10.7;1
200712;7.4;1
200801;9.8;1
200802;11.8;1
200803;11.8;1
200804;15.8;1
200805;23.5;1
200806;23.8;1
200807;26.5;1
200808;24.5;1
200809;21.1;1
200810;16;1
200811;10.9;1
200812;5.8;1
200901;5;1
200902;8.4;1
200903;13.5;1
200904;18.9;1
200905;21.2;1
200906;23.9;1
200907;26.5;1
200908;28.8;1
200909;23.6;1
200910;17.4;1
200911;13;1
200912;7.1;1
201001;3.7;1
201002;7.6;1
201003;13.3;1
201004;18.8;1
201005;19.2;1
201006;25.1;1
201007;27.8;1
201008;24.3;1
201009;21.6;1
201010;16.6;1
201011;9.8;1
201012;2.9;1
201101;7.3;1
201102;9.7;1
201103;15.5;1
201104;21.9;1
201105;23.9;1
201106;24.2;1
201107;23.6;1
201108;25.4;1
201109;24.3;1
201110;18.4;1
201111;13.1;1
201112;10.3;1
201201;9.4;1
201202;6.4;1
201203;17.1;1
201204;15.1;1
201205;21.8;1
201206;22.3;1
201207;24.4;1
201208;28.4;1
201209;22.4;1
201210;16.4;1
201211;10.3;1
201212;9;1
201301;5.8;1
201302;6.4;1
201303;9.6;1
201304;16.4;1
201305;17.3;1
201306;22.9;1
201307;29.4;1
201308;26.8;1
201309;22.3;1
201310;18.2;1
201311;10;1
201312;9.1;1
201401;9.8;1
201402;11.2;1
201403;16.9;1
201404;18.9;1
201405;20;1
201406;24.4;1
201407;26.1;1
201408;23.5;1
201409;24.8;1
201410;19;1
201411;13.2;1
201412;7.8;1
201501;7.6;1
201502;8.1;1
201503;13.9;1
201504;19.3;1
201505;20.7;1
201506;26.8;1
201507;28.8;1
201508;28.3;1
201509;20.7;1
201510;16.1;1
201511;14.1;1
201512;12.1;1
201601;8.5;1
201602;9.9;1
201603;11.7;1
201604;15.8;1
201605;20.3;1
201606;22.5;1
201607;27;1
201608;28.5;1
201609;25;1
201610;16.7;1
201611;10.6;1
201612;7.6;1
201701;5.1;1
201702;11.2;1
201703;15.9;1
201704;18.1;1
201705;23.1;1
201706;27.8;1
201707;27.3;1
201708;26.1;1
201709;20.9;1
201710;18.8;1
201711;11.1;1
201712;8.1;1
201801;10.1;1
201802;5.8;1
201803;12.1;1
201804;20;1
201805;23.8;1
201806;25.8;1
201807;30.7;1
201808;28.2;1
201809;24.2;1
201810;19.3;1
201811;11.1;1
201812;9.3;1
201901;6.7;1
201902;13.3;1
201903;15.1;1
201904;18.5;1
201905;19.7;1
201906;26.4;1
