# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 27306001
# NOM_USUEL= GUICHAINVILLE
# LATITUDE (°) = 48.977
# LONGITUDE(°)= 1.182
# ALTITUDE (m) = 147
# NUM_SERIE= MTX227306001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196512 196912 197512 199512
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.3;1
195302;5.9;1
195303;14.2;1
195304;14.7;1
195305;19.8;1
195306;20;1
195307;21.4;1
195308;23.7;1
195309;20.6;1
195310;15.7;1
195311;8.6;1
195312;9.8;1
195401;3.6;1
195402;4.5;1
195403;11.2;1
195404;13.7;1
195405;18.3;1
195406;19.8;1
195407;20.5;1
195408;22;1
195409;18.9;1
195410;17.2;1
195411;10.6;1
195412;8.7;1
195501;6;1
195502;5.4;1
195503;7.9;1
195504;16.1;1
195505;16.9;1
195506;21.1;1
195507;24.3;1
195508;24.8;1
195509;20.5;1
195510;14.3;1
195511;9.8;1
195512;8.5;1
195601;6.8;1
195602;0;1
195603;11.6;1
195604;12.6;1
195605;19.4;1
195606;16.4;1
195607;21.5;1
195608;20.1;1
195609;20.5;1
195610;13.8;1
195611;7.5;1
195612;7.7;1
195701;6.3;1
195702;9.8;1
195703;14.7;1
195704;13.7;1
195705;14.6;1
195706;22.9;1
195707;22.7;1
195708;21.3;1
195709;18.4;1
195710;15.1;1
195711;8;1
195712;5.4;1
195801;6.2;1
195802;9;1
195803;7.9;1
195804;11.8;1
195805;17.8;1
195806;19.5;1
195807;22.1;1
195808;21.8;1
195809;21.3;1
195810;14.2;1
195811;8.6;1
195812;7.5;1
195901;4.9;1
195902;7.6;1
195903;12.4;1
195904;14.3;1
195905;18.7;1
195906;22.8;1
195907;26.3;1
195908;24.5;1
195909;24.3;1
195910;17.7;1
195911;9.8;1
195912;8.1;1
196001;6.3;1
196002;7.7;1
196003;11.5;1
196004;14.3;1
196005;19.7;1
196006;23.1;1
196007;20.9;1
196008;21.4;1
196009;18.6;1
196010;14.6;1
196011;11;1
196012;5.5;1
196101;5.6;1
196102;11.4;1
196103;13.2;1
196104;15.6;1
196105;17;1
196106;21.5;1
196107;23;1
196108;23.9;1
196109;24.3;1
196110;15.5;1
196111;8.5;1
196112;6.2;1
196201;7.6;1
196202;6.7;1
196203;6.9;1
196204;12.2;1
196205;15.3;1
196206;21.3;1
196207;22.1;1
196208;22.1;1
196209;18.9;1
196210;15.5;1
196211;7.5;1
196212;3.8;1
196301;-0.5;1
196302;1.5;1
196303;10.1;1
196304;13.3;1
196305;16.1;1
196306;19.8;1
196307;23;1
196308;19.6;1
196309;18.6;1
196310;14.4;1
196311;11.9;1
196312;2.5;1
196401;3.2;1
196402;7.4;1
196403;7.9;1
