# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 8239001
# NOM_USUEL= JUNIVILLE
# LATITUDE (°) = 49.397
# LONGITUDE(°)= 4.372
# ALTITUDE (m) = 90
# NUM_SERIE= MTX108239001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196012 197012 197912 199112 200012
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.2;1
195902;7.9;1
195903;12.7;1
195904;15.3;1
195905;20.3;1
195906;23.3;1
195907;27.3;1
195908;24.8;1
195909;24.8;1
195910;17.1;1
195911;8.9;1
195912;8.1;1
196001;5.5;1
196002;7.5;1
196003;12.2;1
196004;15.4;1
196005;21.1;1
196006;22.9;1
196007;20.9;1
196008;21.7;1
196009;19.1;1
196010;14.7;1
196011;10.7;1
196012;4.8;1
196101;5.3;1
196102;11.4;1
196103;14;1
196104;17.1;1
196105;18.1;1
196106;21.9;1
196107;22.6;1
196108;23.2;1
196109;23.9;1
196110;15.5;1
196111;8.4;1
196112;6.5;1
196201;6.5;1
196202;6.2;1
196203;7.2;1
196204;14.2;1
196205;15.8;1
196206;21.9;1
196207;22;1
196208;23.2;1
196209;19.6;1
196210;15.8;1
196211;6.8;1
196212;3.2;1
196301;-0.4;1
196302;2.1;1
196303;10.5;1
196304;14.9;1
196305;17.5;1
196306;20.7;1
196307;24.2;1
196308;20.2;1
196309;19.7;1
196310;14.2;1
196311;12.4;1
196312;1.8;1
196401;2.5;1
196402;8.5;1
196403;8.6;1
196404;14.7;1
196405;21.8;1
196406;23.3;1
196407;26.3;1
196408;23.7;1
196409;22.2;1
196410;12.7;1
196411;9.5;1
196412;4.9;1
196501;5.7;1
196502;4.1;1
196503;11;1
196504;13.3;1
196505;18;1
196506;21.9;1
196507;20.1;1
196508;22.5;1
196509;18.2;1
196510;16.1;1
196511;8.4;1
196512;7.7;1
196601;3.6;1
196602;10.5;1
196603;10;1
196604;15.1;1
196605;19.6;1
196606;22.6;1
196607;21.1;1
196608;22.2;1
196609;21.5;1
196610;16;1
196611;7.7;1
196612;7.3;1
196701;5.4;1
196702;8.8;1
196703;11.2;1
196704;14.4;1
196705;19;1
196706;21.1;1
196707;27.1;1
196708;23.4;1
196709;19.8;1
196710;16;1
196711;8.7;1
196712;4.6;1
196801;5;1
196802;6.6;1
196803;11;1
196804;16.7;1
196805;16.9;1
196806;20.8;1
196807;22.7;1
196808;21.8;1
196809;18.1;1
196810;16;1
196811;8.4;1
196812;3.5;1
196901;7.2;1
196902;4.4;1
196903;10.4;1
196904;14.3;1
196905;18.9;1
196906;20.7;1
196907;24.8;1
196908;22.6;1
196909;21.3;1
196910;16.8;1
196911;10;1
196912;2.1;1
197001;5.1;1
197002;6;1
197003;7.1;1
197004;10.6;1
197005;18.3;1
197006;23.6;1
197007;22;1
197008;23.4;1
197009;20.8;1
197010;14.4;1
197011;11.4;1
197012;4.6;1
197101;4.5;1
197102;6.2;1
197103;7.4;1
197104;17;1
197105;21.6;1
197106;19.8;1
197107;26.5;1
197108;23.4;1
197109;20.2;1
197110;15.2;1
197111;6.7;1
197112;6.8;1
197201;3.9;1
197202;8.7;1
197203;13.6;1
197204;12.7;1
197205;17.1;1
197206;20;1
197207;23.7;1
197208;22.2;1
197209;18.4;1
197210;15.5;1
197211;8.9;1
197212;6.3;1
197301;4.9;1
197302;6;1
197303;11.8;1
197304;12.2;1
197305;18.9;1
197306;23.7;1
197307;23.3;1
197308;26.5;1
197309;22.2;1
197310;14.4;1
197311;9.2;1
197312;5.5;1
197401;8.9;1
197402;8.6;1
197403;11.3;1
197404;16.4;1
197405;17.7;1
197406;21.4;1
197407;21.8;1
197408;23.9;1
197409;18.4;1
197410;10.5;1
197411;10.1;1
197412;9.4;1
197501;8.8;1
197502;9.6;1
197503;8.2;1
197504;13.1;1
197505;17.7;1
197506;21;1
197507;25;1
197508;25.7;1
197509;20.6;1
197510;13.3;1
197511;9;1
197512;4.4;1
197601;6.4;1
197602;7.3;1
197603;10.2;1
197604;14.8;1
197605;20.4;1
197606;26.4;1
197607;27;1
197608;26;1
197609;19.8;1
197610;15.8;1
197611;8.9;1
197612;3.9;1
197701;5.6;1
197702;9.1;1
197703;12.3;1
197704;12.2;1
197705;17.8;1
197706;20.1;1
197707;22.4;1
197708;21.9;1
197709;19.5;1
197710;16.9;1
197711;9.6;1
197712;8;1
197801;5.2;1
197802;4.8;1
197803;10.9;1
197804;12.9;1
197805;16.9;1
197806;20;1
197807;21.5;1
197808;21.2;1
197809;19;1
197810;16;1
197811;7.8;1
197812;6.7;1
197901;-0.3;1
197902;5.2;1
197903;9.6;1
197904;12.6;1
197905;17.4;1
197906;21.2;1
197907;22.5;1
197908;21.5;1
197909;20.3;1
197910;16;1
197911;9.2;1
197912;7.9;1
198001;2.6;1
198002;9.5;1
198003;9.5;1
198004;13.7;1
198005;18.2;1
198006;20;1
198007;21;1
198008;23.8;1
198009;21.1;1
198010;13.8;1
198011;8.5;1
198012;5.5;1
198101;5.5;1
198102;6;1
198103;13;1
198104;15.5;1
198105;18.1;1
198106;19.8;1
198107;22;1
198108;22.9;1
198109;20.7;1
198110;13.6;1
198111;9.6;1
198112;5.2;1
198201;5.2;1
198202;7.9;1
198203;10.8;1
198204;14.2;1
198205;19.1;1
198206;22.6;1
198207;25.6;1
198208;22.7;1
198209;23;1
198210;14.2;1
198211;10.6;1
198212;6.7;1
198301;8.3;1
198302;4.9;1
198303;10.8;1
198304;14.1;1
198305;16;1
198306;23.8;1
198307;29.2;1
198308;25.6;1
198309;19.9;1
198310;15.2;1
198311;9.2;1
198312;5.9;1
198401;6;1
198402;6.3;1
198403;9.4;1
198404;14.6;1
198405;14.9;1
198406;20.9;1
198407;23.9;1
198408;24;1
198409;17.5;1
198410;14.6;1
198411;12.4;1
198412;6.2;1
198501;0;1
198502;6.8;1
198503;8.1;1
198504;14.8;1
198505;18.8;1
198506;19.5;1
198507;24.7;1
198508;22.7;1
198509;21.8;1
198510;16;1
198511;5.8;1
198512;7.3;1
198601;5.3;1
198602;1.4;1
198603;9.4;1
198604;11.4;1
198605;20;1
198606;23.4;1
198607;24;1
198608;22.6;1
198609;18.3;1
198610;17;1
198611;10.5;1
198612;7;1
198701;0.3;1
198702;5;1
198703;7.7;1
198704;17.1;1
198705;15.7;1
198706;19.1;1
198707;23.2;1
198708;22.9;1
198709;21.9;1
198710;16.1;1
198711;8.7;1
198712;6.4;1
198801;8.1;1
198802;7;1
198803;8.6;1
198804;16.4;1
198805;19.4;1
198806;22.2;1
198807;22.4;1
198808;24.2;1
198809;18.5;1
198810;16.2;1
198811;8.7;1
198812;8.1;1
198901;5.9;1
198902;8.5;1
198903;14.3;1
198904;12.6;1
198905;22.6;1
198906;21.9;1
198907;24.9;1
198908;24.8;1
198909;21;1
198910;17.4;1
198911;8.9;1
198912;7.3;1
199001;6.5;1
199002;12.2;1
199003;13.4;1
199004;14.4;1
199005;22.2;1
199006;20.2;1
199007;25.2;1
199008;26.6;1
199009;19.1;1
199010;17.4;1
199011;9.9;1
199012;5.7;1
199101;5.5;1
199102;4;1
199103;14;1
199104;15;1
199105;17.1;1
199106;19;1
199107;25.1;1
199108;26.5;1
199109;22.5;1
199110;13.9;1
199111;8.3;1
199112;5.9;1
199201;6.1;1
199202;8.2;1
199203;11.6;1
199204;14.6;1
199205;21.6;1
199206;21.9;1
199207;25.1;1
199208;24.6;1
199209;19.6;1
199210;12.1;1
199211;11.3;1
199212;7.1;1
199301;8.5;1
199302;4;1
199303;12.3;1
199304;17.2;1
199305;20.1;1
199306;23;1
199307;22.6;1
199308;24.2;1
199309;18.6;1
199310;12.7;1
199311;4.8;1
199312;8.1;1
199401;7.3;1
199402;7.1;1
199403;12.6;1
199404;14.6;1
199405;19.6;1
199406;22.8;1
199407;29;1
199408;24.7;1
199409;18.9;1
199410;16.4;1
199411;13.7;1
199412;8.2;1
199501;6.9;1
199502;10.3;1
199503;10.9;1
199504;13.8;1
199505;19.4;1
199506;21.5;1
199507;27.7;1
199508;26.3;1
199509;19.1;1
199510;18.8;1
199511;10;1
199512;4.5;1
199601;4.8;1
199602;4.5;1
199603;9.9;1
199604;16.5;1
199605;16.8;1
199606;23;1
199607;23.9;1
199608;23.7;1
199609;18.8;1
199610;15.4;1
199611;8.6;1
199612;3.7;1
199701;2.5;1
199702;10.1;1
199703;13.7;1
199704;15;1
199705;19.9;1
199706;21.7;1
199707;24.5;1
199708;28.2;1
199709;22.9;1
199710;15.8;1
199711;10.1;1
199712;7.1;1
199801;7.2;1
199802;9.4;1
199803;12.7;1
199804;13.7;1
199805;21.6;1
199806;22.6;1
199807;22.1;1
199808;25.4;1
199809;20;1
199810;13.9;1
199811;6.5;1
199812;6.5;1
199901;7.8;1
199902;6.9;1
199903;12.7;1
199904;15.9;1
199905;21.4;1
199906;21.8;1
199907;26.1;1
199908;24.8;1
199909;23;1
199910;15.3;1
199911;8;1
199912;6.8;1
200001;6.2;1
200002;9.2;1
200003;11.8;1
200004;15.6;1
200005;20.8;1
200006;23.3;1
200007;21.2;1
200008;24.8;1
200009;21.3;1
200010;15.2;1
200011;10.7;1
200012;8.5;1
200101;6.6;1
200102;8.4;1
200103;11.8;1
200104;13.4;1
200105;20.9;1
200106;22.1;1
200107;25.4;1
200108;25.9;1
200109;17.4;1
200110;18.8;1
200111;8.8;1
200112;5.3;1
200201;6.4;1
200202;10.9;1
200203;13.3;1
200204;16.5;1
200205;18.8;1
200206;23.8;1
200207;24;1
200208;23.9;1
200209;20.4;1
200210;15.9;1
200211;11.8;1
200212;7.5;1
200301;4.4;1
200302;7.1;1
200303;15.9;1
200304;17.6;1
200305;19.9;1
200306;25.8;1
200307;26.6;1
200308;29.4;1
200309;23.1;1
200310;13;1
200311;10.7;1
200312;7;1
200401;5.4;1
200402;8.1;1
200403;11.3;1
200404;15.6;1
200405;19.2;1
200406;22.6;1
200407;24.5;1
200408;25.7;1
200409;22;1
200410;16.2;1
200411;9.4;1
200412;4.9;1
200501;6.6;1
200502;4.5;1
200503;11.4;1
200504;15.7;1
200505;19.4;1
200506;25.2;1
200507;25;1
200508;23.4;1
200509;22.5;1
200510;19.1;1
200511;8.7;1
200512;5.3;1
200601;4.5;1
200602;5.4;1
200603;9.3;1
200604;15.5;1
200605;19.3;1
200606;24.1;1
200607;30;1
200608;21.2;1
200609;23.8;1
200610;18.5;1
200611;12.1;1
200612;7.5;1
200701;9.4;1
200702;10.7;1
200703;12.5;1
200704;21.7;1
200705;20.7;1
200706;22.8;1
200707;22.9;1
200708;22.7;1
200709;20.2;1
200710;15.6;1
200711;9.4;1
200712;6.7;1
200801;8.4;1
200802;11;1
200803;10.4;1
200804;14.5;1
200805;22.1;1
200806;22.3;1
200807;24.6;1
200808;23.6;1
200809;19;1
200810;14.7;1
200811;9.7;1
200812;5.1;1
200901;4;1
200902;6.3;1
200903;11.8;1
200904;18.1;1
200905;19.9;1
200906;22.4;1
200907;24.7;1
200908;26.7;1
200909;21.7;1
200910;15.6;1
200911;12;1
200912;6.2;1
201001;2.5;1
201002;6.3;1
201003;11.6;1
201004;17;1
201005;17.3;1
201006;23;1
201007;26.7;1
201008;22.2;1
201009;19.3;1
201010;15.2;1
201011;9.4;1
201012;1.5;1
201101;6.9;1
201102;8.2;1
201103;14.5;1
201104;20.4;1
201105;21.8;1
201106;22.8;1
201107;21.7;1
201108;24;1
201109;22.9;1
201110;17.2;1
201111;11.4;1
201112;9.1;1
201201;8.5;1
201202;4.9;1
201203;15.2;1
