# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 75114001
# NOM_USUEL= PARIS-MONTSOURIS
# LATITUDE (°) = 48.822
# LONGITUDE(°)= 2.338
# ALTITUDE (m) = 75
# NUM_SERIE= MTX475114001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196512 197206 198107 200112 200912
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.8;1
195302;6.7;1
195303;14.8;1
195304;16.4;1
195305;21.3;1
195306;21.1;1
195307;23;1
195308;25.1;1
195309;22.1;1
195310;16.2;1
195311;9.2;1
195312;10.1;1
195401;4.5;1
195402;4.9;1
195403;12.5;1
195404;14.6;1
195405;19.3;1
195406;21.6;1
195407;22;1
195408;22.4;1
195409;19.8;1
195410;17.8;1
195411;11.5;1
195412;9.2;1
195501;7.1;1
195502;6.3;1
195503;8.8;1
195504;16.9;1
195505;18.1;1
195506;21.9;1
195507;24.9;1
195508;24.8;1
195509;20.9;1
195510;14.4;1
195511;10.7;1
195512;9.2;1
195601;7.3;1
195602;0.3;1
195603;12.7;1
195604;13.6;1
195605;20.8;1
195606;18.7;1
195607;23;1
195608;21;1
195609;21.7;1
195610;14.5;1
195611;8.6;1
195612;8.4;1
195701;6.5;1
195702;10.9;1
195703;15.5;1
195704;15.3;1
195705;17;1
195706;24;1
195707;24;1
195708;22.3;1
195709;19.3;1
195710;15.6;1
195711;9.4;1
195712;6.4;1
195801;7;1
195802;9.5;1
195803;9.1;1
195804;13.2;1
195805;19.7;1
195806;21.3;1
195807;23.6;1
195808;23.2;1
195809;22.2;1
195810;15.1;1
195811;8.6;1
195812;8.1;1
195901;6.2;1
195902;8.4;1
195903;13.6;1
195904;15.9;1
195905;20.6;1
195906;24.2;1
195907;27.9;1
195908;24.9;1
195909;25;1
195910;18.6;1
195911;9.8;1
195912;8.7;1
196001;6.8;1
196002;8.6;1
196003;13.2;1
