# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 70165001
# NOM_USUEL= COMBEAUFONTAINE
# LATITUDE (°) = 47.709
# LONGITUDE(°)= 5.892
# ALTITUDE (m) = 252
# NUM_SERIE= MTX270165001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196912 197412 197912
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.8;1
195902;8.1;1
195903;13.2;1
195904;15.1;1
195905;21.7;1
195906;23.7;1
195907;28.2;1
195908;24.9;1
195909;24.5;1
195910;16.5;1
195911;7.6;1
195912;6.6;1
196001;4.5;1
196002;8;1
196003;12.2;1
196004;15.2;1
196005;21.4;1
196006;23.9;1
196007;21.8;1
196008;22.9;1
196009;18.9;1
196010;14.4;1
196011;10.4;1
196012;3.4;1
196101;4;1
196102;11;1
196103;14.4;1
196104;18.3;1
196105;18.8;1
196106;23;1
196107;23.9;1
196108;23.9;1
196109;25;1
196110;16;1
196111;8.1;1
196112;6.4;1
196201;6.1;1
196202;5.5;1
196203;7;1
196204;15.2;1
196205;16.8;1
196206;23.6;1
196207;24.1;1
196208;25.4;1
196209;20.3;1
196210;16.9;1
196211;6.5;1
196212;1.4;1
196301;-0.3;1
196302;2.4;1
196303;10.3;1
196304;16.2;1
196305;18.1;1
196306;21.8;1
196307;25.7;1
196308;21;1
196309;21.1;1
196310;14.5;1
196311;12.4;1
196312;2;1
196401;1.2;1
196402;8.5;1
196403;8.5;1
196404;15.5;1
196405;21.2;1
196406;25.5;1
196407;28.6;1
196408;25.1;1
196409;22.1;1
196410;12.4;1
196411;8.8;1
196412;3.8;1
196501;5;1
196502;3.9;1
196503;10.1;1
196504;13.4;1
196505;18.3;1
196506;22.2;1
196507;21.9;1
196508;22.3;1
196509;18.1;1
196510;16;1
196511;8.1;1
196512;6.6;1
196601;2.7;1
196602;10.7;1
196603;9.9;1
196604;16.1;1
196605;20.3;1
196606;23.9;1
196607;21.9;1
196608;21.7;1
196609;21.8;1
196610;17.1;1
196611;6.2;1
196612;5.5;1
196701;4.1;1
196702;8.6;1
196703;12.3;1
196704;14.8;1
196705;19.2;1
196706;23.4;1
196707;27.9;1
196708;25.1;1
196709;20.2;1
196710;16.8;1
196711;8.2;1
196712;2.7;1
196801;3.5;1
196802;6.4;1
196803;11.3;1
196804;16.8;1
196805;17.5;1
196806;21.8;1
196807;24.4;1
196808;21.9;1
196809;18.6;1
196810;16.5;1
196811;7.9;1
196812;2.9;1
196901;5.7;1
196902;4.3;1
196903;9.6;1
196904;13.4;1
196905;19.7;1
196906;19.8;1
196907;26.1;1
196908;24.1;1
196909;22.2;1
196910;17.4;1
196911;9.2;1
196912;-0.1;1
197001;3.8;1
197002;4.7;1
197003;7;1
197004;11.4;1
197005;18.7;1
197006;24.2;1
197007;23.8;1
197008;25;1
197009;22;1
197010;13.3;1
197011;10.6;1
197012;2.9;1
197101;4.4;1
197102;5.5;1
197103;6.8;1
197104;19.1;1
197105;22.4;1
197106;21.4;1
197107;28.1;1
197108;24.9;1
197109;21.2;1
197110;16.9;1
197111;6.2;1
197112;4;1
197201;4.2;1
197202;8.7;1
197203;12.6;1
197204;13;1
197205;17.2;1
197206;20.9;1
197207;24.2;1
197208;22.8;1
197209;18.6;1
197210;16;1
197211;9.3;1
197212;3.6;1
197301;1.7;1
197302;4.1;1
197303;9.8;1
197304;11.4;1
197305;19.9;1
197306;23.6;1
197307;23.9;1
197308;26.2;1
197309;22.7;1
197310;14.5;1
197311;9.1;1
197312;5;1
197401;8.8;1
197402;8.8;1
197403;12.5;1
197404;16.9;1
197405;18.8;1
197406;21.4;1
197407;23.1;1
197408;24.5;1
197409;19.1;1
197410;8.3;1
197411;8.7;1
197412;6.8;1
197501;6.8;1
197502;8.9;1
197503;7.7;1
197504;14;1
197505;17.9;1
197506;21.4;1
197507;25;1
197508;25.5;1
197509;21;1
197510;12.7;1
197511;7.9;1
197512;2.2;1
197601;4.2;1
197602;6.6;1
197603;10.4;1
197604;15.5;1
197605;21;1
197606;27.5;1
197607;27.8;1
197608;25.2;1
197609;19.1;1
197610;15.5;1
197611;8.3;1
197612;3.6;1
197701;4.8;1
197702;8.9;1
197703;13;1
197704;11.9;1
197705;18.9;1
197706;21.4;1
197707;24;1
197708;22.5;1
197709;19.9;1
197710;17.9;1
197711;8.6;1
197712;6.7;1
197801;3.7;1
197802;4.9;1
197803;11.1;1
197804;13.1;1
197805;17.5;1
197806;21.4;1
197807;23.3;1
197808;22.3;1
197809;20.1;1
197810;15.1;1
197811;6.7;1
197812;6.8;1
197901;0.5;1
197902;5.9;1
197903;9.7;1
197904;13.2;1
197905;19.1;1
197906;23.5;1
197907;25.3;1
197908;21.8;1
197909;20.9;1
197910;16;1
197911;7.3;1
197912;6.5;1
198001;2.5;1
198002;8.6;1
198003;9.5;1
198004;13.3;1
198005;18.4;1
198006;20.7;1
198007;21.6;1
198008;24.5;1
198009;21.9;1
198010;13.1;1
198011;6.7;1
198012;2.7;1
198101;2.5;1
198102;4.1;1
198103;13.1;1
198104;15.9;1
198105;18.8;1
198106;21.6;1
198107;23.2;1
198108;24.4;1
198109;20.5;1
198110;13.2;1
