# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 21154001
# NOM_USUEL= CHATILLON/SEINE
# LATITUDE (°) = 47.849
# LONGITUDE(°)= 4.581
# ALTITUDE (m) = 262
# NUM_SERIE= MTX321154001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196708 200408
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.5;1
195102;7.2;1
195103;9.1;1
195104;14.2;1
195105;17.4;1
195106;20.7;1
195107;24;1
195108;23;1
195109;21.4;1
195110;14.6;1
195111;11.7;1
195112;8.3;1
195201;3.9;1
195202;4.4;1
195203;12.3;1
195204;17.8;1
195205;20.8;1
195206;24;1
195207;27.8;1
195208;25.9;1
195209;16.4;1
195210;13.9;1
195211;7.5;1
195212;5.1;1
195301;1.6;1
195302;4.3;1
195303;14.7;1
195304;16.2;1
195305;21.6;1
195306;19.9;1
195307;22.8;1
195308;25.3;1
195309;22.2;1
195310;16.2;1
195311;9.6;1
195312;9.9;1
195401;2.2;1
195402;4;1
195403;12.2;1
195404;13.3;1
195405;18.2;1
195406;21.2;1
195407;21.8;1
195408;21.7;1
195409;19.7;1
195410;16.6;1
195411;10.9;1
195412;7.6;1
195501;7.2;1
195502;5.5;1
195503;8.7;1
195504;16.2;1
195505;17.8;1
195506;21.7;1
195507;23.8;1
195508;25.1;1
195509;20.8;1
195510;14.3;1
195511;10.3;1
195512;8.2;1
195601;6.2;1
195602;-3.2;1
195603;11.4;1
195604;12.7;1
195605;19.7;1
195606;18;1
195607;22.3;1
195608;20.7;1
195609;21.7;1
195610;14.5;1
195611;6.9;1
195612;7;1
195701;5.7;1
195702;10;1
195703;14.9;1
195704;15.5;1
195705;17.2;1
195706;22.8;1
195707;23.4;1
195708;21.6;1
195709;18.8;1
195710;16.7;1
195711;8.1;1
195712;5.6;1
195801;5.8;1
195802;8.7;1
195803;7.8;1
195804;11.8;1
195805;19.7;1
195806;20.6;1
195807;23;1
195808;23.6;1
195809;21.8;1
195810;15.5;1
195811;7;1
195812;7.3;1
195901;5.4;1
195902;10.4;1
195903;13.2;1
195904;15.1;1
195905;20.2;1
195906;23.3;1
195907;27.9;1
195908;25.2;1
195909;24.6;1
195910;17.8;1
195911;9.1;1
195912;8.2;1
196001;4.9;1
196002;8;1
196003;12.6;1
196004;14.5;1
196005;20.8;1
196006;22.8;1
196007;20.8;1
196008;21.7;1
196009;18.5;1
196010;14.9;1
196011;10.9;1
196012;4;1
196101;5.1;1
196102;12.1;1
196103;13.8;1
196104;17.2;1
196105;17.5;1
196106;21.9;1
196107;23.3;1
196108;23.9;1
196109;25.5;1
196110;16.2;1
196111;8.6;1
196112;6.8;1
196201;6.2;1
196202;5.4;1
196203;6.2;1
196204;14;1
196205;16;1
196206;22;1
196207;23.1;1
196208;26;1
196209;20.8;1
196210;17.5;1
196211;6.4;1
196212;3.2;1
196301;-0.1;1
196302;1.7;1
196303;10.4;1
196304;14.5;1
196305;17;1
196306;20.9;1
196307;24.7;1
196308;20.9;1
196309;19.7;1
196310;15.3;1
196311;12.7;1
196312;3.5;1
196401;2.9;1
196402;8.7;1
196403;8.3;1
196404;14.9;1
196405;20.3;1
196406;24;1
196407;27.5;1
196408;24;1
196409;22.9;1
196410;12.5;1
196411;8.6;1
196412;4.8;1
196501;5.6;1
196502;2.9;1
196503;10.1;1
196504;12.6;1
196505;17.4;1
196506;21.7;1
196507;20.6;1
196508;22.1;1
