# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 40192001
# NOM_USUEL= MONT-DE-MARSAN
# LATITUDE (°) = 43.91
# LONGITUDE(°)= -0.5
# ALTITUDE (m) = 59
# NUM_SERIE= MTX240192001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197912 198612 200012
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;10.8;1
195902;13;1
195903;16.7;1
195904;18;1
195905;20.9;1
195906;25.2;1
195907;27.7;1
195908;27.4;1
195909;24.2;1
195910;19.4;1
195911;12.6;1
195912;11.9;1
196001;10.3;1
196002;13.6;1
196003;16.7;1
196004;17.9;1
196005;23.9;1
196006;25.9;1
196007;24.5;1
196008;25.3;1
196009;22.1;1
196010;17.1;1
196011;14.5;1
196012;7.8;1
196101;9.5;1
196102;15.9;1
196103;18.8;1
196104;20;1
196105;21.8;1
196106;25.2;1
196107;26.5;1
196108;26.2;1
196109;27.5;1
196110;19.7;1
196111;12.2;1
196112;13.1;1
196201;11.2;1
196202;10.6;1
196203;12.2;1
196204;17.4;1
196205;19.7;1
196206;25.6;1
196207;27.1;1
196208;28.8;1
196209;26.3;1
196210;20.9;1
196211;10.4;1
196212;7.3;1
196301;7.4;1
196302;9.1;1
196303;15.3;1
196304;17.9;1
196305;20.1;1
196306;23.8;1
196307;26.8;1
196308;23.1;1
196309;21.4;1
196310;18.7;1
196311;15.7;1
196312;8.4;1
196401;7.6;1
196402;12.1;1
196403;13.9;1
196404;17;1
196405;23.8;1
196406;24.7;1
196407;29.3;1
196408;27.5;1
196409;27.6;1
196410;16.8;1
196411;12.7;1
196412;9.5;1
196501;9.6;1
196502;8.2;1
196503;15.4;1
196504;15.4;1
196505;21;1
196506;24.4;1
196507;25.6;1
196508;25.7;1
196509;20.6;1
196510;20.8;1
196511;13.7;1
196512;11.9;1
196601;10.7;1
196602;15.5;1
196603;14.1;1
196604;18.7;1
196605;21.4;1
196606;24.2;1
196607;24.1;1
196608;26;1
196609;26.2;1
196610;18.5;1
196611;11.2;1
196612;10.4;1
196701;9;1
196702;11.6;1
196703;15.2;1
196704;17;1
196705;20.6;1
196706;24;1
196707;28.8;1
196708;27;1
196709;23.9;1
196710;21.7;1
196711;13.6;1
196712;7.2;1
196801;10.3;1
196802;12.6;1
196803;13.8;1
196804;18.3;1
196805;19.8;1
196806;24.5;1
196807;27.6;1
196808;25;1
196809;22.8;1
196810;22.9;1
196811;14.8;1
196812;10.3;1
196901;11.7;1
196902;9.5;1
196903;14.7;1
196904;16;1
196905;21.2;1
196906;22.3;1
196907;28.8;1
196908;25.9;1
196909;22.3;1
196910;20.7;1
196911;13.8;1
196912;7.8;1
197001;11.3;1
197002;10.9;1
197003;11.5;1
197004;15.5;1
197005;21.2;1
197006;25.5;1
197007;27.3;1
197008;26.4;1
197009;26.9;1
197010;19.2;1
197011;17.3;1
197012;7.5;1
197101;11.8;1
197102;10.9;1
197103;10.6;1
197104;18.7;1
197105;20.6;1
197106;21.8;1
197107;29.2;1
197108;26.6;1
197109;24.3;1
197110;22.2;1
197111;10.6;1
197112;10.1;1
197201;9.9;1
197202;12.2;1
197203;16.1;1
