# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 89295001
# NOM_USUEL= AUXERRE-PERRIGNY
# LATITUDE (°) = 47.825
# LONGITUDE(°)= 3.55
# ALTITUDE (m) = 152
# NUM_SERIE= MTX189295001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 197212 201105
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.6;1
195102;7.9;1
195103;10;1
195104;14.5;1
195105;16.6;1
195106;20.5;1
195107;24.9;1
195108;23.1;1
195109;22.2;1
195110;14.5;1
195111;12.6;1
195112;8.4;1
195201;4.8;1
195202;5;1
195203;12.8;1
195204;18.5;1
195205;21.4;1
195206;24.6;1
195207;27.5;1
195208;25.8;1
195209;16.8;1
195210;14.4;1
195211;7.7;1
195212;5.7;1
195301;1.9;1
195302;5.7;1
195303;15.1;1
195304;16.3;1
195305;21.3;1
195306;20.3;1
195307;23.4;1
195308;25.5;1
195309;22.6;1
195310;16.4;1
195311;9.2;1
195312;10.3;1
195401;3.5;1
195402;4.7;1
195403;12.9;1
195404;14.3;1
195405;18.4;1
195406;22;1
195407;22.7;1
195408;22.3;1
195409;20.3;1
195410;17.2;1
195411;11.3;1
195412;7.9;1
195501;8.1;1
195502;6.7;1
195503;9.3;1
195504;16.8;1
195505;18.3;1
195506;22.4;1
195507;24.9;1
195508;25.7;1
195509;21.7;1
195510;14.7;1
195511;10.9;1
195512;8.7;1
195601;6.8;1
195602;-2.2;1
195603;12.1;1
195604;13.3;1
195605;20.1;1
195606;18.6;1
195607;22.9;1
195608;21.4;1
195609;22.2;1
195610;14.6;1
195611;7.3;1
195612;7.7;1
195701;5.9;1
195702;10.9;1
195703;15.4;1
195704;15.9;1
195705;17.4;1
195706;23.4;1
195707;23.8;1
195708;22.1;1
195709;19.3;1
195710;16.5;1
195711;8;1
195712;5.5;1
195801;6.6;1
195802;8.9;1
195803;8.8;1
195804;12.5;1
195805;19.3;1
195806;21;1
195807;23.3;1
195808;23.4;1
