# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 89333001
# NOM_USUEL= ST ANDRE
# LATITUDE (°) = 47.488
# LONGITUDE(°)= 4.059
# ALTITUDE (m) = 300
# NUM_SERIE= MTX189333001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196212 197706 199306 200512 201707
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;1.3;1
195302;4.9;1
195303;15.1;1
195304;16.7;1
195305;22.1;1
195306;20.9;1
195307;23.6;1
195308;26.4;1
195309;22.6;1
195310;16.5;1
195311;10.1;1
195312;10.1;1
195401;2.1;1
195402;4.1;1
195403;12.1;1
195404;13;1
195405;17.8;1
195406;21.6;1
195407;21.9;1
195408;21.9;1
195409;19.9;1
195410;16.7;1
195411;11.1;1
195412;7.4;1
195501;7.1;1
195502;5.8;1
195503;8.7;1
195504;16.4;1
195505;18;1
195506;22.1;1
195507;24.4;1
195508;25.7;1
195509;20.9;1
195510;14.5;1
195511;10.6;1
195512;8;1
195601;6.3;1
195602;-2.7;1
195603;11.2;1
195604;12.6;1
195605;20;1
195606;18;1
195607;22.3;1
195608;20.6;1
195609;22;1
195610;14.3;1
195611;6.8;1
195612;7;1
195701;5.3;1
195702;10.5;1
195703;14.6;1
195704;15.5;1
195705;17;1
195706;23.3;1
195707;23.5;1
195708;21.8;1
195709;18.8;1
195710;16.8;1
195711;7.8;1
195712;5.3;1
195801;5.9;1
195802;8.6;1
195803;7.6;1
195804;11.8;1
195805;19.7;1
195806;21;1
195807;23;1
195808;23.6;1
195809;22.2;1
195810;15.1;1
195811;7;1
195812;7.3;1
195901;5.6;1
195902;11;1
195903;13.2;1
195904;15.2;1
195905;21;1
195906;23.5;1
195907;28.2;1
195908;25.5;1
195909;25.7;1
195910;18.2;1
195911;9.3;1
195912;8;1
196001;5.8;1
196002;8.8;1
196003;12.9;1
196004;14.4;1
196005;21.6;1
196006;23.2;1
196007;20.9;1
196008;21.9;1
196009;18.6;1
196010;14.7;1
196011;11;1
196012;4.3;1
196101;5.4;1
196102;11.8;1
196103;14.3;1
196104;17.4;1
196105;17.7;1
196106;22.1;1
196107;23.1;1
196108;23.4;1
196109;25.2;1
196110;16.4;1
196111;8.7;1
196112;7;1
196201;6.4;1
196202;6.1;1
196203;6.9;1
196204;14.2;1
196205;16.1;1
196206;22.4;1
196207;23.6;1
196208;25.9;1
196209;21.2;1
196210;18;1
196211;7.2;1
196212;4;1
196301;0.4;1
196302;2.6;1
196303;10.5;1
196304;13.9;1
196305;16.7;1
196306;19.9;1
196307;23.6;1
196308;19.8;1
196309;19;1
196310;15.8;1
196311;12.7;1
196312;4.4;1
196401;3.1;1
196402;8.9;1
196403;8.1;1
196404;14.3;1
196405;20.9;1
196406;23.2;1
196407;27.8;1
196408;24.1;1
196409;23.3;1
196410;12.2;1
196411;8.5;1
196412;5.6;1
196501;5.5;1
196502;3.5;1
196503;10.6;1
196504;12.7;1
196505;16.9;1
196506;21.9;1
196507;20.4;1
196508;22.2;1
196509;17.7;1
196510;18.2;1
196511;8.3;1
196512;7.7;1
196601;4.4;1
196602;11.2;1
196603;10;1
196604;15.8;1
196605;18.8;1
196606;23.1;1
196607;21.6;1
196608;21.8;1
196609;22.4;1
196610;16.7;1
196611;6.5;1
196612;6.2;1
196701;4.6;1
196702;8.8;1
196703;11.7;1
196704;14.3;1
196705;18.3;1
196706;22.4;1
196707;28.7;1
196708;23.8;1
196709;19.5;1
196710;17.2;1
196711;9.5;1
196712;3.5;1
196801;4.9;1
196802;7.2;1
196803;10.7;1
196804;15.7;1
196805;16.4;1
196806;20.5;1
196807;23.9;1
196808;22.3;1
196809;19.3;1
196810;18.1;1
196811;9.6;1
196812;4.1;1
196901;7;1
196902;3.8;1
196903;10.4;1
196904;13.9;1
196905;19.5;1
196906;20.5;1
196907;25.8;1
196908;23.3;1
196909;22.3;1
196910;19.7;1
196911;9.7;1
196912;1.5;1
197001;5.9;1
197002;5.7;1
197003;6;1
197004;10.4;1
197005;18.9;1
197006;24.6;1
197007;23.3;1
197008;24.2;1
197009;22.7;1
197010;15.2;1
197011;11.9;1
197012;3.7;1
197101;6.5;1
197102;6.5;1
197103;7;1
197104;18.6;1
197105;21.1;1
197106;19.9;1
197107;28;1
197108;24;1
197109;22.3;1
197110;17.8;1
197111;7.3;1
197112;6.8;1
197201;5.4;1
197202;9.6;1
197203;13.7;1
197204;12.6;1
197205;16.3;1
197206;19.9;1
197207;23.3;1
197208;21.5;1
197209;18;1
197210;16;1
197211;10.4;1
197212;7.7;1
197301;4;1
197302;5;1
197303;11.2;1
197304;12.2;1
197305;19.2;1
197306;23.2;1
197307;23.6;1
197308;27.3;1
197309;21.8;1
197310;14.4;1
197311;9.8;1
197312;4.8;1
197401;9.1;1
197402;7.5;1
197403;11.6;1
197404;15.7;1
197405;18.1;1
197406;21.5;1
197407;23.8;1
197408;25.3;1
197409;18.3;1
197410;8.9;1
197411;9.8;1
197412;8.7;1
197501;8.6;1
197502;10.2;1
197503;7.4;1
197504;13.7;1
197505;16.4;1
197506;20.9;1
197507;25;1
197508;26.2;1
197509;21.5;1
197510;13.1;1
197511;8.7;1
197512;3.1;1
197601;5.2;1
197602;7.7;1
197603;10.6;1
197604;14.7;1
197605;20.6;1
197606;27.8;1
197607;27.9;1
197608;27;1
197609;20.6;1
197610;15.7;1
197611;8.2;1
197612;5.1;1
197701;5.2;1
197702;9.3;1
197703;13.8;1
197704;12.4;1
197705;17.7;1
197706;19.9;1
197707;22.4;1
197708;21.4;1
197709;19.6;1
197710;17.9;1
197711;9.4;1
197712;8.4;1
197801;4.7;1
197802;6.2;1
197803;10.8;1
197804;12.1;1
197805;16.9;1
197806;20.5;1
197807;22.2;1
197808;22.5;1
197809;21;1
197810;16.5;1
197811;10.2;1
197812;8.2;1
197901;1.8;1
197902;5.8;1
197903;9.4;1
197904;12.5;1
197905;17.7;1
197906;21.5;1
197907;24.6;1
197908;21.3;1
197909;21;1
197910;16.6;1
197911;8.6;1
197912;8.4;1
198001;3.9;1
198002;9.2;1
198003;8.9;1
198004;12.6;1
198005;17.7;1
198006;19.7;1
198007;20.9;1
198008;24;1
198009;22.2;1
198010;14.2;1
198011;8;1
198012;4.1;1
198101;5.1;1
198102;5.3;1
198103;13.1;1
198104;14.8;1
198105;17.3;1
198106;20;1
198107;22.2;1
198108;23.7;1
198109;20.1;1
198110;14.1;1
198111;10.1;1
198112;6.3;1
198201;8.2;1
198202;9;1
198203;10.1;1
198204;14.4;1
198205;19;1
198206;23;1
198207;27;1
198208;23;1
198209;24;1
198210;14.7;1
198211;11.7;1
198212;6.4;1
198301;7.7;1
198302;4.9;1
198303;10.1;1
198304;13;1
198305;15.7;1
198306;23.3;1
198307;29.6;1
198308;25.5;1
198309;20.7;1
198310;15.2;1
198311;10.5;1
198312;7.1;1
198401;5.7;1
198402;5.6;1
198403;10;1
198404;14.9;1
198405;14.7;1
198406;21.2;1
198407;25.4;1
198408;24.3;1
198409;17.9;1
198410;15.1;1
198411;13.1;1
198412;6.6;1
198501;-0.4;1
198502;7.2;1
198503;8.1;1
198504;14.8;1
198505;16.9;1
198506;20;1
198507;25.9;1
198508;23.2;1
198509;24.7;1
198510;17.7;1
198511;5.7;1
198512;7.6;1
198601;5.6;1
198602;0.1;1
198603;9.9;1
198604;10.3;1
198605;19.1;1
198606;22.9;1
198607;25.1;1
198608;23.4;1
198609;20.2;1
198610;17.6;1
198611;10.9;1
198612;7.4;1
198701;-1.1;1
198702;5.1;1
198703;7.9;1
198704;16.6;1
198705;16.2;1
198706;19.5;1
198707;23.7;1
198708;23.8;1
198709;23.5;1
198710;16.5;1
198711;9.3;1
198712;7.3;1
198801;8.9;1
198802;7.4;1
198803;8.7;1
198804;16.4;1
198805;19.1;1
198806;21.7;1
198807;23.6;1
198808;24.9;1
198809;19.6;1
198810;16.7;1
198811;9.4;1
198812;7.2;1
198901;6.9;1
198902;9.7;1
198903;14.6;1
198904;12;1
198905;23;1
198906;22.6;1
198907;26.6;1
198908;26.2;1
198909;21.7;1
198910;17.9;1
198911;10.8;1
198912;9.9;1
199001;7.1;1
199002;13.2;1
199003;14.3;1
199004;13.3;1
199005;22.3;1
199006;20.8;1
199007;26;1
199008;27.9;1
199009;21.1;1
199010;17.7;1
199011;9;1
199012;4.3;1
199101;5.5;1
199102;5;1
199103;13.7;1
199104;14.3;1
199105;17.3;1
199106;19.4;1
199107;26.5;1
199108;28.4;1
199109;23.9;1
199110;13.9;1
199111;9.2;1
199112;5.5;1
199201;4.9;1
199202;8.6;1
199203;11.4;1
199204;14.6;1
199205;22.4;1
199206;21.6;1
199207;25.5;1
199208;26.7;1
199209;20.9;1
199210;12;1
199211;11.9;1
199212;7.1;1
199301;8.8;1
199302;5.8;1
199303;12.3;1
199304;16.1;1
199305;19.8;1
199306;23.4;1
199307;22.6;1
199308;23.9;1
199309;17.6;1
199310;12.5;1
199311;6.6;1
199312;7.5;1
199401;6.1;1
199402;8.1;1
199403;12.9;1
199404;12.4;1
199405;18.4;1
199406;22.2;1
199407;28.1;1
199408;24.8;1
199409;18.5;1
199410;16.5;1
199411;12.8;1
199412;8.4;1
199501;6.4;1
199502;9.9;1
199503;10.1;1
199504;13.5;1
199505;19.3;1
199506;20.9;1
199507;27.5;1
199508;25.9;1
199509;17.5;1
199510;19.8;1
199511;10.6;1
199512;5.8;1
199601;7.8;1
199602;4.2;1
199603;10.3;1
199604;16;1
199605;16.8;1
199606;23.5;1
199607;24.7;1
199608;23.5;1
199609;19;1
199610;15.2;1
199611;8.1;1
199612;4.4;1
199701;4.1;1
199702;10.5;1
199703;13.9;1
199704;15.9;1
199705;19.5;1
199706;21.2;1
199707;24.2;1
199708;28.5;1
199709;23.1;1
199710;16.2;1
199711;11.7;1
199712;7.9;1
199801;7;1
199802;10.4;1
199803;11.9;1
199804;12.4;1
199805;20.3;1
199806;22.5;1
199807;23.5;1
199808;26.4;1
199809;19.6;1
199810;13.9;1
199811;6.8;1
199812;7.2;1
199901;8;1
199902;5.8;1
199903;12;1
199904;14.7;1
199905;20.4;1
199906;21.1;1
199907;27.1;1
199908;26.3;1
199909;23.8;1
199910;16.8;1
199911;7.9;1
199912;6.9;1
200001;5.6;1
200002;9.4;1
200003;11.5;1
200004;15.2;1
200005;21.3;1
200006;24.6;1
200007;22.3;1
200008;26.2;1
200009;22.1;1
200010;15.7;1
200011;11.3;1
200012;10.2;1
200101;7.8;1
200102;8.4;1
200103;12.3;1
200104;12.3;1
200105;21.1;1
200106;22.5;1
200107;25.7;1
200108;26.3;1
200109;17.7;1
200110;20;1
200111;8.3;1
200112;4.3;1
200201;8.3;1
200202;10.1;1
200203;13.5;1
200204;16.5;1
200205;18.9;1
200206;25.5;1
200207;24.7;1
200208;24.1;1
200209;20.5;1
200210;16.5;1
200211;11.7;1
200212;8.4;1
200301;4.1;1
200302;6.5;1
200303;15.6;1
200304;17;1
200305;20.3;1
200306;29.3;1
200307;28.1;1
200308;33;1
200309;23.2;1
200310;14.1;1
200311;11.9;1
200312;6.8;1
200401;6.1;1
200402;8.3;1
200403;10.8;1
200404;14.4;1
200405;18.8;1
200406;23.5;1
200407;25;1
200408;24.6;1
200409;21.9;1
200410;17.2;1
200411;8.7;1
200412;4.9;1
200501;5.8;1
200502;3.8;1
200503;11.2;1
200504;15.1;1
200505;20.1;1
200506;26.6;1
200507;25.5;1
200508;24.8;1
200509;22.5;1
200510;19.6;1
200511;8.7;1
200512;4.1;1
200601;4.8;1
200602;4.4;1
200603;9.6;1
200604;14.7;1
200605;18.9;1
200606;25.1;1
200607;31.6;1
200608;21.7;1
200609;23.9;1
200610;19.3;1
200611;12.8;1
200612;7.8;1
200701;7.8;1
200702;11.3;1
200703;11.3;1
200704;21.4;1
200705;20;1
200706;22.9;1
200707;23;1
200708;22.2;1
200709;19.4;1
200710;15.2;1
200711;8.5;1
200712;6.3;1
200801;8.8;1
200802;11.1;1
200803;9.7;1
200804;13.7;1
200805;21.5;1
200806;22.2;1
200807;24.9;1
200808;23.4;1
200809;18.9;1
200810;15.2;1
200811;10;1
200812;4.5;1
200901;4.4;1
200902;6.4;1
200903;11.2;1
200904;17.2;1
200905;20.9;1
200906;23;1
200907;24.9;1
200908;27.7;1
200909;22.3;1
200910;16.8;1
200911;13;1
200912;6.9;1
201001;2.3;1
201002;6.1;1
201003;11.2;1
201004;16.6;1
201005;16.4;1
201006;23.2;1
201007;27.1;1
201008;23.9;1
201009;20;1
201010;15.3;1
201011;8.6;1
201012;3.2;1
201101;5.9;1
201102;8.8;1
201103;13.7;1
201104;20;1
201105;22.5;1
201106;23.9;1
201107;22.9;1
201108;24.8;1
201109;23.3;1
201110;17.4;1
201111;13.5;1
201112;8.6;1
201201;6.8;1
201202;3.4;1
201203;15.4;1
201204;14.2;1
201205;20.3;1
201206;22.5;1
201207;24;1
201208;27.4;1
201209;22.2;1
201210;17;1
201211;10.4;1
201212;7.9;1
201301;4.5;1
201302;4.2;1
201303;9.3;1
201304;14.5;1
201305;15.1;1
201306;22.2;1
201307;27.8;1
201308;25.9;1
201309;21.3;1
201310;17.9;1
201311;7.9;1
201312;8.7;1
201401;9.4;1
201402;9.9;1
201403;14.9;1
201404;17.7;1
201405;19;1
201406;25.6;1
201407;24.4;1
201408;22.4;1
201409;23.3;1
201410;19.2;1
201411;13.6;1
201412;6.5;1
201501;6;1
201502;6.6;1
201503;12.5;1
201504;17.4;1
201505;19.9;1
201506;25.2;1
201507;29.6;1
201508;28;1
201509;19.9;1
201510;15;1
201511;13.5;1
201512;12.4;1
201601;8;1
201602;8.2;1
201603;10.4;1
201604;14.1;1
201605;18;1
201606;21.9;1
201607;26.3;1
201608;27.4;1
201609;23.9;1
201610;15.1;1
201611;9.9;1
201612;7.4;1
201701;3.2;1
201702;10.4;1
201703;14.2;1
201704;15.8;1
201705;21.3;1
201706;26.6;1
201707;26.1;1
201708;26.1;1
201709;20.1;1
201710;18.1;1
201711;9.7;1
201712;6.6;1
201801;9.4;1
201802;4;1
201803;11.2;1
201804;18.6;1
201805;21.5;1
201806;24.9;1
201807;29.6;1
201808;27.7;1
201809;24.9;1
201810;18.4;1
201811;12;1
201812;8.2;1
201901;4.2;1
201902;12.6;1
201903;13.4;1
201904;15.8;1
201905;17.5;1
201906;26.8;1
201907;29.7;1
201908;28.8;1
201909;23.6;1
201910;17.2;1
201911;10.4;1
201912;9.3;1
202001;9.4;1
202002;11.8;1
202003;13;1
202004;21.3;1
202005;20.9;1
202006;23.5;1
202007;27.8;1
202008;29.2;1
202009;24.6;1
202010;14.6;1
202011;13.5;1
202012;8.2;1
202101;5.5;1
202102;10.4;1
202103;12.5;1
202104;15.1;1
202105;17.1;1
202106;24.8;1
202107;23.4;1
202108;23.6;1
202109;23.6;1
202110;17.4;1
202111;8.4;1
202112;8.1;1
202201;5.8;1
202202;10.3;1
202203;14.4;1
202204;16;1
202205;23.4;1
202206;26.5;1
202207;29.3;1
202208;29.3;1
202209;21.2;1
202210;21;1
202211;12.6;1
202212;7.3;1
