# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 11076001
# NOM_USUEL= CASTELNAUDARY
# LATITUDE (°) = 43.305
# LONGITUDE(°)= 1.949
# ALTITUDE (m) = 160
# NUM_SERIE= MTX211076001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 198012 201911
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;9.4;1
195902;11.7;1
195903;14.7;1
195904;15.9;1
195905;19.7;1
195906;24.8;1
195907;28.7;1
195908;26.6;1
195909;23.3;1
195910;17.5;1
195911;12.6;1
195912;10.4;1
196001;8.9;1
196002;12.2;1
196003;14.4;1
196004;15.7;1
196005;24.2;1
196006;26.1;1
196007;25.3;1
196008;24.6;1
196009;21.2;1
196010;17.4;1
196011;13.5;1
196012;6.9;1
196101;8.4;1
196102;13.6;1
196103;16.1;1
196104;18;1
196105;21;1
196106;24.5;1
196107;27;1
196108;25.7;1
196109;26.4;1
196110;19.1;1
196111;13.1;1
196112;11.4;1
196201;10;1
196202;9.3;1
196203;11;1
196204;16.1;1
196205;19.8;1
196206;24.8;1
196207;27.1;1
196208;28.7;1
196209;26.2;1
196210;19.1;1
196211;10;1
196212;8.6;1
196301;5.8;1
196302;6.8;1
196303;13.1;1
196304;15.7;1
196305;20.2;1
196306;24;1
196307;27.1;1
196308;23.5;1
196309;20.9;1
196310;19;1
196311;15.1;1
196312;8.1;1
196401;7.6;1
196402;10.6;1
196403;11.5;1
196404;16.1;1
196405;22.9;1
196406;25.4;1
196407;29.4;1
196408;27.9;1
196409;24;1
196410;16.2;1
196411;11.4;1
196412;7.9;1
196501;8.5;1
196502;7;1
196503;13.6;1
196504;14.2;1
196505;20.2;1
196506;24.7;1
196507;26.1;1
196508;26.3;1
196509;20.8;1
196510;19.3;1
196511;13.1;1
196512;11.4;1
196601;9.3;1
196602;13;1
196603;12.9;1
196604;17.1;1
196605;19.7;1
196606;24.5;1
196607;24.6;1
196608;25.1;1
196609;25.5;1
196610;17.9;1
196611;10.3;1
196612;9.9;1
196701;7.8;1
196702;11.1;1
196703;14;1
196704;16.6;1
196705;20.1;1
196706;23.9;1
196707;29.1;1
196708;27.7;1
196709;23.8;1
196710;21.8;1
196711;13.5;1
196712;5.3;1
196801;9.5;1
196802;10.6;1
196803;12.6;1
196804;16.5;1
196805;18.7;1
196806;24.3;1
196807;27.4;1
196808;26;1
196809;23.3;1
196810;22;1
196811;13;1
196812;9.8;1
196901;10;1
196902;9.1;1
196903;12.7;1
196904;15.6;1
196905;19.8;1
196906;22.5;1
196907;28.2;1
196908;26.2;1
196909;22.1;1
196910;19.4;1
196911;13.3;1
196912;6.3;1
197001;10.5;1
197002;10.8;1
197003;10.7;1
197004;15.1;1
197005;19.6;1
197006;25.3;1
197007;28.2;1
197008;27.1;1
197009;26.7;1
197010;18.3;1
197011;15.2;1
197012;7;1
197101;9.7;1
197102;9.8;1
197103;9.3;1
197104;17.7;1
197105;19.3;1
197106;22.7;1
197107;28.5;1
197108;28.4;1
197109;24.3;1
197110;20.8;1
197111;9.8;1
197112;10;1
197201;8.5;1
197202;11;1
197203;14.5;1
197204;14.2;1
197205;18.4;1
197206;21.5;1
197207;28;1
197208;24.6;1
197209;20.4;1
197210;17.7;1
197211;13.3;1
197212;10.3;1
197301;7.3;1
197302;8.2;1
197303;12.9;1
197304;15.3;1
197305;21.6;1
197306;24.8;1
197307;27.6;1
197308;29.1;1
197309;25.2;1
197310;18.9;1
197311;13.4;1
197312;8.7;1
197401;11.3;1
197402;9.8;1
197403;12.4;1
197404;15.4;1
197405;20.3;1
197406;25.6;1
197407;27.1;1
197408;25.9;1
197409;20.5;1
197410;12.8;1
197411;12.5;1
197412;11;1
197501;11.3;1
197502;12.7;1
197503;11;1
197504;15.7;1
197505;19.3;1
197506;23.5;1
197507;29.4;1
197508;28;1
197509;22.8;1
197510;18;1
197511;12.1;1
197512;7.1;1
197601;8.2;1
197602;11.2;1
197603;13.9;1
197604;14.8;1
197605;21.1;1
197606;30;1
197607;29;1
197608;27.7;1
197609;22.2;1
197610;16.6;1
197611;10.9;1
197612;9.3;1
197701;8.4;1
197702;13.2;1
197703;14.4;1
197704;15.7;1
197705;18.1;1
197706;23.2;1
197707;25.1;1
197708;24.1;1
197709;23.5;1
197710;19.7;1
197711;12.6;1
197712;10.4;1
197801;7.6;1
197802;10.3;1
197803;13.3;1
197804;14.3;1
197805;18.2;1
197806;23.2;1
197807;26.7;1
197808;27.2;1
197809;25.2;1
197810;17.8;1
197811;12.8;1
197812;10.7;1
197901;8.3;1
197902;10.2;1
197903;13.8;1
197904;14.1;1
197905;19.7;1
197906;23.8;1
197907;28.3;1
197908;25.8;1
197909;23.6;1
197910;18.4;1
197911;12;1
197912;10.7;1
198001;7.6;1
198002;11.6;1
198003;12.1;1
198004;14.1;1
198005;17.9;1
198006;22.3;1
198007;25.7;1
198008;27.1;1
198009;25.1;1
198010;17.1;1
198011;10.8;1
198012;7.5;1
198101;8.4;1
198102;8.7;1
198103;15.4;1
198104;17.1;1
198105;18.5;1
198106;25.2;1
198107;25.1;1
198108;28.5;1
198109;24.3;1
198110;18.3;1
198111;13.4;1
198112;10.7;1
198201;11.5;1
198202;11;1
198203;12.7;1
198204;17.7;1
198205;21.1;1
198206;26.4;1
198207;30;1
198208;25.1;1
198209;24.9;1
198210;17.5;1
198211;14.1;1
198212;9.8;1
198301;10.5;1
198302;7.7;1
198303;13.2;1
198304;16.4;1
198305;19.4;1
198306;25.3;1
198307;31.4;1
198308;26.8;1
198309;25;1
198310;19.6;1
198311;14.6;1
198312;9.9;1
198401;9.9;1
198402;9.4;1
198403;12.2;1
198404;18;1
198405;17.2;1
198406;24.5;1
198407;28.7;1
198408;26;1
198409;22.3;1
198410;19.1;1
198411;15.4;1
198412;10.1;1
198501;3.8;1
198502;12.7;1
198503;11.7;1
198504;17.9;1
198505;19.7;1
198506;23.6;1
198507;29.1;1
198508;26.9;1
198509;28.4;1
198510;21.2;1
198511;9.3;1
198512;9.2;1
198601;9.2;1
198602;6.7;1
198603;13.4;1
198604;12.7;1
198605;21.9;1
198606;25;1
198607;29.4;1
198608;27.4;1
198609;25.5;1
198610;20.4;1
198611;14.2;1
198612;11;1
198701;5.2;1
198702;9.4;1
198703;11.6;1
198704;18.6;1
198705;19.1;1
198706;23.8;1
198707;26.7;1
198708;28.3;1
198709;27.7;1
198710;19;1
198711;12.8;1
198712;12;1
198801;12.1;1
198802;10.7;1
198803;12.7;1
198804;15.9;1
198805;20.2;1
198806;24.9;1
198807;28.1;1
198808;27.3;1
198809;24.5;1
198810;21;1
198811;13.5;1
198812;8.9;1
198901;10.7;1
198902;13.2;1
198903;15.7;1
198904;14.6;1
198905;23.8;1
198906;27.6;1
198907;29.8;1
198908;29.5;1
198909;23.8;1
198910;19.4;1
198911;13.8;1
198912;13.2;1
199001;11.4;1
199002;15.4;1
199003;16.9;1
199004;15.1;1
199005;24;1
199006;24.5;1
199007;30.3;1
199008;29.5;1
199009;24.9;1
199010;19.9;1
199011;12.5;1
199012;6.7;1
199101;9;1
199102;9.8;1
199103;14.9;1
199104;15.7;1
199105;18.2;1
199106;23.7;1
199107;29.2;1
199108;31;1
199109;26.6;1
199110;17.2;1
199111;12;1
199112;9.8;1
199201;6.5;1
199202;11.1;1
199203;13.4;1
199204;16.4;1
199205;22.5;1
199206;21.9;1
199207;27.5;1
199208;29.1;1
199209;23.8;1
199210;15.1;1
199211;15.1;1
199212;10.7;1
199301;10.9;1
199302;10.3;1
199303;14.1;1
199304;16.2;1
199305;21.6;1
199306;25.5;1
199307;25.8;1
199308;28.1;1
199309;22.4;1
199310;16.6;1
199311;11.5;1
199312;11.8;1
199401;9.8;1
199402;10.8;1
199403;16.2;1
199404;14.1;1
199405;22.1;1
199406;25.8;1
199407;30.5;1
199408;30;1
199409;22.4;1
199410;18.9;1
199411;15.5;1
199412;11.1;1
199501;9.5;1
199502;13.6;1
199503;13.8;1
199504;17.6;1
199505;21.8;1
199506;24.8;1
199507;29.7;1
199508;28.3;1
199509;21.7;1
199510;21.6;1
199511;14.7;1
199512;11.2;1
199601;12.5;1
199602;9.2;1
199603;13.1;1
199604;17.2;1
199605;20.8;1
199606;26.4;1
199607;28.2;1
199608;26.6;1
199609;22.5;1
199610;18.4;1
199611;12.9;1
199612;9.9;1
199701;9.6;1
199702;14.2;1
199703;19.1;1
199704;20.3;1
199705;22.6;1
199706;24.6;1
199707;27.6;1
199708;29.4;1
199709;26.4;1
199710;21.2;1
199711;15.2;1
199712;10.9;1
199801;11.2;1
199802;14;1
199803;15.8;1
199804;16.4;1
199805;22.8;1
199806;25.3;1
199807;27.6;1
199808;28.5;1
199809;23.7;1
199810;18.4;1
199811;11.4;1
199812;9.5;1
199901;11;1
199902;9.5;1
199903;14.5;1
199904;17.1;1
199905;21.5;1
199906;25.8;1
199907;29.5;1
199908;28.7;1
199909;26.3;1
199910;20.4;1
199911;10.9;1
199912;9.7;1
200001;8.5;1
200002;13.2;1
200003;15.2;1
200004;16.9;1
200005;22.8;1
200006;24.9;1
200007;26.5;1
200008;28.2;1
200009;25.6;1
200010;17.7;1
200011;14.1;1
200012;12.9;1
200101;10.6;1
200102;11.2;1
200103;17;1
200104;16.1;1
200105;21.8;1
200106;27.1;1
200107;28.4;1
200108;28.9;1
200109;23;1
200110;22.8;1
200111;11;1
200112;8.2;1
200201;11.4;1
200202;12.6;1
200203;16;1
200204;17.7;1
200205;20.1;1
200206;26;1
200207;26.6;1
200208;26.2;1
200209;24;1
200210;19.9;1
200211;14.5;1
200212;11.9;1
200301;7.9;1
200302;9.3;1
200303;16.6;1
200304;18.3;1
200305;22.6;1
200306;29.7;1
200307;31.3;1
200308;34.4;1
200309;25.1;1
200310;17.5;1
200311;14.9;1
200312;10.5;1
200401;9.7;1
200402;10.8;1
200403;13.2;1
200404;16;1
200405;20.9;1
200406;28.2;1
200407;28.7;1
200408;28.6;1
200409;25.3;1
200410;20.3;1
200411;11.3;1
200412;9.7;1
200501;9;1
200502;7.4;1
200503;13.6;1
200504;17.2;1
200505;22;1
200506;28.6;1
200507;30.1;1
200508;27.5;1
200509;24.4;1
200510;20.1;1
200511;12.8;1
200512;6.9;1
200601;7.8;1
200602;9.4;1
200603;14.3;1
200604;18.4;1
200605;22.4;1
200606;28.2;1
200607;33.7;1
200608;27.3;1
200609;25.7;1
200610;21.5;1
200611;16.9;1
200612;10;1
200701;11.4;1
200702;12.7;1
200703;13.2;1
200704;20.9;1
200705;21.2;1
200706;25.2;1
200707;27.1;1
200708;27.1;1
200709;24.2;1
200710;18.6;1
200711;11.9;1
200712;9.4;1
200801;11.7;1
200802;14.1;1
200803;13.2;1
200804;16.9;1
200805;21.5;1
200806;25.5;1
200807;28.3;1
200808;28;1
200809;24.3;1
200810;19.3;1
200811;11.6;1
200812;8.4;1
200901;8.4;1
200902;10.9;1
200903;15.2;1
200904;15.9;1
200905;22.6;1
200906;27.5;1
200907;28.9;1
200908;31.1;1
200909;26.2;1
200910;20.4;1
200911;15.1;1
200912;9.4;1
201001;7.1;1
201002;9.7;1
201003;12.4;1
201004;19.4;1
201005;19.6;1
201006;25.2;1
201007;29.7;1
201008;29.1;1
201009;24.3;1
201010;17.9;1
201011;13;1
201012;8.9;1
201101;9.1;1
201102;11.9;1
201103;14.7;1
201104;21.6;1
201105;24.3;1
201106;24.1;1
201107;25.8;1
201108;29.3;1
201109;27.4;1
201110;21.9;1
201111;15.8;1
201112;12;1
201201;10.5;1
201202;5.9;1
201203;16.9;1
201204;16;1
201205;21.8;1
201206;26.8;1
201207;28.5;1
201208;31.2;1
201209;24.5;1
201210;20.3;1
201211;14.2;1
201212;11.7;1
201301;8.4;1
201302;9.1;1
201303;13.7;1
201304;16.1;1
201305;18.7;1
201306;23.2;1
201307;31.2;1
201308;28.2;1
201309;24.5;1
201310;21.4;1
201311;11.2;1
201312;11;1
201401;11.6;1
201402;12;1
201403;15.3;1
201404;19.6;1
201405;20.4;1
201406;28;1
201407;27;1
201408;26.7;1
201409;27.2;1
201410;23.6;1
201411;16.9;1
201412;9.6;1
201501;9.8;1
201502;9;1
201503;14.6;1
201504;19.7;1
201505;22.5;1
201506;29.2;1
201507;30.9;1
201508;28.1;1
201509;23.4;1
201510;19.5;1
201511;16.2;1
201512;14.7;1
201601;11.5;1
201602;12.3;1
201603;13.5;1
201604;16.9;1
201605;20.5;1
201606;26;1
201607;29.2;1
201608;29.7;1
201609;27.5;1
201610;20.3;1
201611;14.4;1
201612;12.7;1
201701;7.5;1
201702;13.7;1
201703;16.6;1
201704;19.5;1
201705;23.5;1
201706;29.1;1
201707;27.8;1
