# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 46127001
# NOM_USUEL= GOURDON
# LATITUDE (°) = 44.745
# LONGITUDE(°)= 1.397
# ALTITUDE (m) = 260
# NUM_SERIE= MTX246127001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196101 197201 198712 199512 199812 200804
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;8.5;1
195902;13.4;1
195903;14.7;1
195904;16.4;1
195905;20.6;1
195906;23.8;1
195907;28;1
195908;26;1
195909;23.1;1
195910;17.4;1
195911;11.1;1
195912;9.4;1
196001;7.9;1
196002;11;1
196003;13.6;1
196004;16.3;1
196005;23.1;1
196006;24.6;1
196007;22.9;1
196008;23.4;1
196009;20.1;1
196010;15.6;1
196011;12.7;1
196012;5.2;1
196101;6.7;1
196102;13.9;1
196103;16.8;1
196104;18.7;1
196105;19.7;1
196106;23.8;1
196107;25.5;1
196108;25.3;1
196109;27.1;1
196110;18.4;1
196111;10.7;1
196112;10.6;1
196201;8.6;1
196202;8.6;1
196203;10.1;1
196204;16;1
196205;18.5;1
196206;23.9;1
196207;26;1
196208;27.5;1
196209;24.5;1
196210;19;1
196211;8.9;1
196212;6.3;1
196301;5.4;1
196302;5.9;1
196303;13;1
196304;16.1;1
196305;19.2;1
196306;22.4;1
196307;26.3;1
196308;21.9;1
196309;20.2;1
196310;17.9;1
196311;14.2;1
196312;7.7;1
196401;6;1
196402;10.5;1
196403;11.8;1
196404;15.7;1
196405;21.8;1
196406;23.7;1
196407;28.6;1
196408;26.4;1
196409;24.7;1
196410;14.7;1
196411;10;1
196412;7.8;1
196501;7.2;1
196502;6.6;1
196503;13.3;1
196504;14.1;1
196505;19.3;1
196506;24.2;1
196507;24.2;1
196508;24.6;1
196509;19.1;1
196510;20.1;1
196511;11.5;1
196512;9.6;1
196601;8.5;1
196602;13.3;1
196603;12.2;1
196604;17.1;1
196605;20.2;1
196606;23.5;1
196607;23;1
196608;24.2;1
196609;24.9;1
196610;17.1;1
196611;9;1
196612;8.5;1
196701;7.6;1
196702;10.5;1
196703;13.6;1
196704;16.8;1
196705;19.6;1
196706;23.7;1
196707;29.5;1
196708;26.1;1
196709;21.9;1
196710;19.5;1
196711;13.1;1
196712;3.9;1
196801;7.9;1
196802;10.2;1
196803;12.9;1
196804;17.6;1
196805;18.6;1
196806;23.3;1
196807;25.9;1
196808;23.2;1
196809;21;1
196810;20;1
196811;12.8;1
196812;7.7;1
196901;9.2;1
196902;7.1;1
196903;11.9;1
196904;15.2;1
196905;20.4;1
196906;21.2;1
196907;27.4;1
196908;24.4;1
196909;21.5;1
196910;20;1
196911;11.2;1
196912;4.9;1
197001;9.2;1
197002;8.6;1
197003;9.5;1
197004;13.4;1
197005;19.9;1
197006;24.9;1
197007;25.8;1
197008;25.9;1
197009;25.3;1
197010;17;1
197011;14.2;1
197012;6;1
197101;8.5;1
197102;8.8;1
197103;8.8;1
197104;18.6;1
197105;19.9;1
197106;20.8;1
197107;28;1
197108;24.8;1
197109;23;1
197110;19.9;1
197111;8.8;1
197112;9.6;1
197201;7.8;1
197202;11;1
197203;14.4;1
197204;14.3;1
197205;17.8;1
197206;21.1;1
197207;26.8;1
197208;23.9;1
197209;19.7;1
197210;17.5;1
197211;12.3;1
197212;10.4;1
197301;5.8;1
197302;7.2;1
197303;13.5;1
197304;14.5;1
197305;21.4;1
197306;23.9;1
197307;24.3;1
197308;27.5;1
197309;24.8;1
197310;16.8;1
197311;12.5;1
197312;6.7;1
197401;10.3;1
197402;9.5;1
197403;13.1;1
197404;15.5;1
197405;19.1;1
197406;23.9;1
197407;25;1
197408;26.1;1
197409;20.1;1
197410;11;1
197411;11.5;1
197412;9.8;1
197501;10;1
197502;12.9;1
197503;9.4;1
197504;15.9;1
197505;18.3;1
197506;22.6;1
197507;27.2;1
197508;27;1
197509;21.9;1
197510;17.4;1
197511;10.3;1
197512;5.8;1
197601;7.4;1
197602;11.3;1
197603;14.2;1
197604;16.1;1
197605;21;1
197606;29.1;1
197607;27.8;1
197608;27.6;1
197609;21.2;1
197610;16.9;1
197611;9.8;1
197612;9.4;1
197701;8.2;1
197702;11.9;1
197703;15.2;1
197704;14.9;1
197705;17.6;1
197706;21;1
197707;23.6;1
197708;23.3;1
197709;22.5;1
197710;19.3;1
197711;10.8;1
197712;10.4;1
197801;7.2;1
197802;9.7;1
197803;12.8;1
197804;13.7;1
197805;18.1;1
197806;21.9;1
197807;25;1
197808;25.2;1
197809;23.2;1
197810;18.6;1
197811;11.8;1
197812;9.6;1
197901;6.9;1
197902;9.1;1
197903;11.4;1
197904;13.3;1
197905;19;1
197906;22.8;1
197907;26.6;1
197908;23.8;1
197909;23.8;1
197910;18.4;1
197911;10.3;1
197912;9.9;1
198001;6.2;1
198002;11.5;1
198003;11.5;1
198004;14.6;1
198005;17.9;1
198006;20.4;1
198007;23.4;1
198008;25.8;1
198009;24.7;1
198010;16.5;1
198011;11.3;1
198012;6.3;1
198101;7.8;1
198102;8;1
198103;15.7;1
198104;18.1;1
198105;17.7;1
198106;23.1;1
198107;23.8;1
198108;26.3;1
198109;22.1;1
198110;16.5;1
198111;12.8;1
198112;8.8;1
198201;11;1
198202;11.4;1
198203;11.9;1
198204;17.7;1
198205;20.2;1
198206;24.6;1
198207;28.7;1
198208;24.3;1
198209;25;1
198210;16.8;1
198211;12.8;1
198212;8;1
198301;8.7;1
198302;7.5;1
198303;12.8;1
198304;15.4;1
198305;17.9;1
198306;24.7;1
198307;30.8;1
198308;26.1;1
198309;23.9;1
198310;17.7;1
198311;14.8;1
198312;9.7;1
198401;7.4;1
198402;8;1
198403;10.9;1
198404;18.7;1
198405;15.8;1
198406;23;1
198407;28.4;1
198408;24.3;1
198409;19.9;1
198410;17.6;1
198411;14.8;1
198412;8.4;1
198501;2.3;1
198502;12.6;1
198503;10.8;1
198504;17.3;1
198505;18.2;1
198506;22.5;1
198507;27.6;1
198508;26.4;1
198509;27.7;1
198510;21.3;1
198511;8.2;1
198512;8.2;1
198601;7.3;1
198602;5.7;1
198603;12.1;1
198604;11.4;1
198605;21.4;1
198606;23.6;1
198607;28.3;1
198608;25.7;1
198609;24.1;1
198610;19.2;1
198611;11.9;1
198612;9.7;1
198701;4.4;1
198702;8.6;1
198703;11.5;1
198704;18.5;1
198705;18.5;1
198706;22.1;1
198707;25;1
198708;27.1;1
198709;26.9;1
198710;18;1
198711;10.8;1
198712;11;1
198801;10.9;1
198802;10.1;1
198803;11;1
198804;17;1
198805;19.9;1
198806;23;1
198807;25.1;1
198808;26.6;1
198809;23;1
198810;20;1
198811;13;1
198812;8;1
198901;9.6;1
198902;12.5;1
198903;16.3;1
198904;13.4;1
198905;24.6;1
198906;25;1
198907;28.8;1
198908;27.5;1
198909;23.4;1
198910;19.8;1
198911;13.9;1
198912;13.6;1
199001;9.3;1
199002;14.3;1
199003;16.2;1
199004;15.1;1
199005;23.3;1
199006;22.6;1
199007;28.8;1
199008;29.5;1
199009;24.4;1
199010;18.8;1
199011;10.9;1
199012;5.5;1
199101;7.5;1
199102;8.9;1
199103;15.3;1
199104;14.9;1
199105;18.7;1
199106;22.3;1
199107;27.1;1
199108;29.7;1
199109;25.3;1
199110;15.4;1
199111;10.9;1
199112;9.2;1
199201;6.7;1
199202;10.9;1
199203;13.2;1
199204;16.7;1
199205;22.9;1
199206;21.2;1
199207;25.6;1
199208;27.7;1
199209;21.7;1
199210;13.7;1
199211;13.8;1
199212;9.2;1
199301;9.8;1
199302;10.7;1
199303;14.5;1
199304;15.8;1
199305;20.7;1
199306;23.8;1
199307;24.5;1
199308;26.2;1
199309;20.1;1
199310;16.1;1
199311;10.2;1
199312;9.5;1
199401;7.9;1
199402;10.6;1
199403;15.6;1
199404;14.3;1
199405;21.6;1
199406;23.7;1
199407;29.2;1
199408;27.8;1
199409;20.5;1
199410;18.7;1
199411;14.4;1
199412;9.6;1
199501;8;1
199502;11.8;1
199503;13;1
199504;16.8;1
199505;21.6;1
199506;24.1;1
199507;28.9;1
199508;27.7;1
199509;20.1;1
199510;22.3;1
199511;13.2;1
199512;10.1;1
199601;12.2;1
199602;7.6;1
199603;13.5;1
199604;17.8;1
199605;19.9;1
199606;25.7;1
199607;26.6;1
199608;24.3;1
199609;21.2;1
199610;18;1
199611;11;1
199612;9.7;1
199701;8.7;1
199702;13.6;1
199703;17.7;1
199704;19.8;1
199705;22.5;1
199706;22.5;1
199707;24.8;1
199708;28.5;1
199709;25.5;1
199710;20.4;1
199711;13.6;1
199712;9.8;1
199801;10.6;1
199802;14.3;1
199803;15.2;1
199804;15.2;1
199805;22;1
199806;23.9;1
199807;27;1
199808;28.7;1
199809;22.4;1
199810;16.5;1
199811;9.6;1
199812;8.4;1
199901;9.8;1
199902;7.8;1
199903;14.9;1
199904;16.7;1
199905;22.5;1
199906;23.9;1
199907;27.7;1
199908;27.5;1
199909;24.7;1
199910;18.5;1
199911;10.2;1
199912;8.1;1
200001;7.8;1
200002;12.4;1
200003;15.1;1
200004;16.6;1
200005;22;1
200006;25.2;1
200007;25.5;1
200008;28.3;1
200009;24.9;1
200010;17;1
200011;12.1;1
200012;12.1;1
200101;9.7;1
200102;10.7;1
200103;15.5;1
200104;14.5;1
200105;21.2;1
200106;25.6;1
200107;25.7;1
200108;27.6;1
200109;20.8;1
200110;22.2;1
200111;9.5;1
200112;6.7;1
200201;11.1;1
200202;11.2;1
200203;15.9;1
200204;17.6;1
200205;19.4;1
200206;24.8;1
200207;25.1;1
200208;24.2;1
200209;22.9;1
200210;19.1;1
200211;13.7;1
200212;11.1;1
200301;6.9;1
200302;8.6;1
200303;17.7;1
200304;19;1
200305;21.6;1
200306;30.8;1
200307;29.3;1
200308;33.3;1
200309;23.9;1
200310;15.9;1
200311;14;1
200312;9.5;1
200401;7.8;1
200402;11.3;1
200403;12.7;1
200404;15.4;1
200405;20.8;1
200406;26.4;1
200407;26.8;1
200408;26;1
200409;23.8;1
200410;19.7;1
200411;10.3;1
200412;8.3;1
200501;8;1
200502;6.7;1
200503;14.1;1
200504;17;1
200505;21.8;1
200506;27.4;1
200507;28.1;1
200508;27.2;1
200509;23.5;1
200510;21.3;1
200511;11.8;1
200512;5.1;1
200601;7.3;1
200602;8.4;1
200603;13.8;1
200604;18.4;1
200605;21.2;1
200606;27.6;1
200607;31.2;1
200608;24.5;1
200609;25.2;1
200610;21.3;1
200611;15.5;1
200612;8.1;1
200701;9.7;1
200702;12.8;1
200703;13.3;1
200704;22.2;1
200705;20.7;1
200706;24.3;1
200707;24.4;1
200708;25.7;1
200709;22.3;1
200710;18.1;1
200711;10.5;1
200712;9.1;1
200801;10.7;1
200802;14.4;1
200803;11.6;1
200804;16.1;1
200805;22;1
200806;24.2;1
200807;26.9;1
200808;26.3;1
200809;22.9;1
200810;18.3;1
200811;10.4;1
200812;7.7;1
200901;8.2;1
200902;10.5;1
200903;14.6;1
200904;16.5;1
200905;23.3;1
200906;26.4;1
200907;28.6;1
200908;28.5;1
200909;24.6;1
200910;19.3;1
200911;14.3;1
200912;8.5;1
201001;5.4;1
201002;8.8;1
201003;13.5;1
201004;19.4;1
201005;18.9;1
201006;23.7;1
201007;27.9;1
201008;27;1
201009;23;1
201010;17.2;1
201011;10.6;1
201012;7.8;1
201101;8.8;1
201102;11.4;1
201103;15.3;1
201104;22.2;1
201105;25.2;1
201106;24.3;1
201107;24.7;1
201108;27.8;1
201109;26.8;1
201110;20.9;1
201111;15.8;1
201112;10.4;1
201201;8.3;1
201202;5.6;1
201203;18;1
201204;14.7;1
201205;22.4;1
201206;25.2;1
201207;25.9;1
201208;30.5;1
201209;24.4;1
201210;19.3;1
201211;13.2;1
201212;10;1
201301;6.5;1
201302;8.2;1
201303;13.5;1
201304;16.3;1
201305;17.3;1
201306;22.6;1
201307;30.7;1
201308;28;1
201309;23.6;1
201310;19.8;1
201311;10.4;1
201312;10.3;1
201401;10.7;1
201402;10.8;1
201403;15.5;1
201404;19.3;1
201405;19.5;1
201406;26.1;1
201407;25.4;1
201408;24.2;1
201409;25.7;1
201410;21.9;1
201411;15.5;1
201412;8.1;1
201501;8;1
201502;9;1
201503;14;1
201504;19.2;1
201505;21.5;1
201506;27.7;1
201507;30.6;1
201508;27.8;1
201509;21.7;1
201510;18;1
201511;14.9;1
201512;14.6;1
201601;10.3;1
201602;10.9;1
201603;13;1
201604;16.2;1
201605;20.1;1
201606;23.2;1
201607;27.8;1
201608;29.4;1
201609;26.4;1
201610;18.3;1
201611;12.7;1
201612;11;1
201701;7.2;1
201702;13;1
201703;16;1
201704;18.9;1
201705;22.6;1
201706;27.1;1
201707;26.7;1
201708;28;1
201709;21.1;1
201710;20.3;1
201711;12.1;1
201712;7.9;1
201801;10.4;1
201802;7.2;1
201803;12.6;1
201804;19.6;1
201805;21.2;1
201806;26.1;1
201807;29.8;1
201808;29.4;1
201809;26.8;1
201810;20;1
201811;13.9;1
201812;10.2;1
201901;6.4;1
201902;14.9;1
201903;15.8;1
201904;17.7;1
201905;19.1;1
201906;26;1
201907;30.5;1
201908;28.7;1
201909;25.5;1
201910;19.7;1
201911;11.3;1
201912;11.7;1
202001;11.1;1
202002;14.2;1
202003;14.7;1
202004;20.9;1
202005;24.1;1
202006;23.8;1
202007;29.4;1
202008;29.6;1
202009;25.3;1
202010;16.1;1
202011;16.1;1
202012;9.2;1
202101;7.3;1
202102;14.1;1
202103;15.3;1
202104;17.6;1
202105;19.5;1
202106;25.7;1
202107;25.7;1
202108;25.6;1
202109;24.8;1
202110;19.2;1
202111;10.8;1
202112;11.3;1
202201;8.6;1
202202;12.4;1
202203;15.3;1
202204;17.1;1
202205;25.2;1
202206;27.1;1
202207;31.2;1
202208;31.8;1
202209;24.9;1
202210;23.9;1
202211;14.9;1
202212;11.3;1
