# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 3204001
# NOM_USUEL= PARAY-SOUS-BRIAILLES
# LATITUDE (°) = 46.284
# LONGITUDE(°)= 3.338
# ALTITUDE (m) = 250
# NUM_SERIE= MTX203204001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195912 196812 197312
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.4;1
195102;8.7;1
195103;10.5;1
195104;15.7;1
195105;16.8;1
195106;21.8;1
195107;25.1;1
195108;23.3;1
195109;22.7;1
195110;14.9;1
195111;13.3;1
195112;9.1;1
195201;5.3;1
195202;5.5;1
195203;14.2;1
195204;18.2;1
195205;21.8;1
195206;26.2;1
195207;29.9;1
195208;27.5;1
195209;18;1
195210;15.5;1
195211;9.2;1
195212;6.4;1
195301;2.1;1
195302;5.9;1
195303;15.8;1
195304;17;1
195305;22.6;1
195306;21.2;1
195307;24.4;1
195308;26.6;1
195309;24;1
195310;17.3;1
195311;11.5;1
195312;11.7;1
195401;4.2;1
195402;5.4;1
195403;13.7;1
195404;14.5;1
195405;19.1;1
195406;23.1;1
195407;23.9;1
195408;23.1;1
195409;21.2;1
195410;18;1
195411;12.7;1
195412;9;1
195501;8.8;1
195502;7.8;1
195503;10.1;1
195504;18.1;1
195505;20.1;1
195506;23.3;1
195507;26;1
195508;26.2;1
195509;22.3;1
195510;16.5;1
195511;11.3;1
195512;9.9;1
195601;7.5;1
195602;-1.1;1
195603;13;1
195604;14;1
195605;21.3;1
195606;20;1
195607;24.1;1
195608;22.3;1
195609;23.3;1
195610;15.4;1
195611;7.5;1
195612;9;1
195701;6.7;1
195702;12;1
195703;17.5;1
195704;16.7;1
195705;18.4;1
195706;24.1;1
195707;25.7;1
195708;25.2;1
195709;22;1
195710;19.1;1
195711;9.1;1
195712;5.9;1
195801;7.3;1
195802;11.6;1
195803;10.3;1
195804;12.3;1
195805;21.7;1
195806;22.2;1
195807;24.6;1
195808;25.4;1
195809;24.3;1
195810;15.6;1
195811;8.1;1
195812;8;1
195901;7.3;1
195902;12;1
195903;14.3;1
195904;16.4;1
195905;22.1;1
195906;24.5;1
195907;29.6;1
195908;27.4;1
195909;25.6;1
195910;18.4;1
195911;10.8;1
195912;10.1;1
196001;6.1;1
196002;10.3;1
196003;13.5;1
196004;15.9;1
196005;23.1;1
196006;24.8;1
196007;23.7;1
196008;23.9;1
196009;19.9;1
196010;15.8;1
196011;12.2;1
196012;4.7;1
196101;6.5;1
196102;13.7;1
196103;15.4;1
196104;19.3;1
196105;18.8;1
196106;24;1
196107;25.6;1
196108;24.7;1
196109;27.1;1
196110;17.5;1
196111;9.2;1
196112;7.6;1
196201;7.7;1
196202;6.6;1
196203;8;1
196204;15;1
196205;18.4;1
196206;24.1;1
196207;25.6;1
196208;27.9;1
196209;23.3;1
196210;17.5;1
196211;8.2;1
196212;4.1;1
196301;1.1;1
196302;3.3;1
196303;12.5;1
196304;15.3;1
196305;19;1
196306;22.7;1
196307;27;1
196308;22.9;1
196309;21.1;1
196310;17;1
196311;14.4;1
196312;3.9;1
196401;2.8;1
196402;9.8;1
196403;9.4;1
196404;16;1
196405;21.5;1
196406;25;1
196407;29.8;1
196408;26.6;1
196409;25.7;1
196410;13.9;1
196411;9.2;1
196412;6;1
196501;6.9;1
196502;4.4;1
196503;12.1;1
196504;14.1;1
196505;19.2;1
196506;24.1;1
196507;23.7;1
196508;24.4;1
196509;19.6;1
196510;18.6;1
196511;10.3;1
196512;9.6;1
196601;5.5;1
196602;13.7;1
196603;10.6;1
196604;16.2;1
196605;19.5;1
196606;22.6;1
196607;21.6;1
196608;22.8;1
196609;24.6;1
196610;18.1;1
196611;8.5;1
196612;7.9;1
196701;6.1;1
196702;11.3;1
196703;13.7;1
196704;15.2;1
196705;19.3;1
196706;22.7;1
196707;28.6;1
196708;25.3;1
196709;21.3;1
196710;19.6;1
196711;11.2;1
196712;5.1;1
196801;6.6;1
196802;9;1
196803;12.3;1
196804;16.8;1
196805;17.4;1
196806;22.7;1
196807;24.5;1
196808;23.1;1
196809;20.3;1
196810;19.5;1
196811;10.9;1
196812;6.9;1
196901;8.9;1
196902;6.2;1
196903;11.4;1
196904;14.9;1
196905;20;1
196906;20.6;1
196907;26.7;1
196908;24.6;1
196909;22.6;1
196910;19.2;1
196911;11.4;1
196912;2.7;1
197001;7.7;1
197002;7.8;1
197003;8.9;1
197004;12.8;1
197005;19.7;1
197006;25.2;1
197007;24.8;1
197008;25.8;1
197009;23.5;1
197010;16.3;1
197011;14.3;1
197012;3.8;1
197101;6.6;1
197102;7.5;1
197103;8.4;1
197104;18.7;1
197105;20.8;1
197106;22.2;1
197107;27.4;1
197108;26.2;1
197109;21.8;1
197110;19.2;1
197111;7.6;1
197112;7.1;1
197201;7.1;1
197202;10.5;1
197203;14.3;1
197204;13.7;1
197205;18.3;1
197206;21.8;1
197207;25.7;1
197208;24.2;1
197209;18.9;1
197210;16.3;1
197211;12.2;1
197212;7.8;1
197301;4.9;1
197302;6.4;1
197303;11.9;1
197304;13.3;1
197305;21.6;1
197306;24.7;1
197307;24.6;1
197308;28.4;1
197309;24.7;1
197310;14.7;1
197311;11.1;1
197312;5.6;1
197401;10.6;1
197402;8.4;1
197403;12.1;1
197404;15.9;1
197405;18.6;1
197406;22.9;1
197407;25.7;1
197408;27;1
197409;19.9;1
197410;10.8;1
197411;11.1;1
197412;10.2;1
197501;9.4;1
197502;11.1;1
197503;9.2;1
197504;15.5;1
197505;18.5;1
197506;22.1;1
197507;27.3;1
197508;27.6;1
197509;22.1;1
197510;15.4;1
197511;10.3;1
197512;3.1;1
197601;6.3;1
197602;9.7;1
197603;12.1;1
197604;16.1;1
197605;21.9;1
197606;29.4;1
197607;29.1;1
197608;27.7;1
197609;20.7;1
197610;16.4;1
197611;9.4;1
197612;5.6;1
197701;7.1;1
197702;11.3;1
197703;14.8;1
197704;13.9;1
197705;18.1;1
197706;21.4;1
197707;24.8;1
197708;23.1;1
197709;20.9;1
197710;19.4;1
197711;11.6;1
197712;8.6;1
197801;5.9;1
197802;8.6;1
197803;12;1
197804;13;1
197805;17.4;1
197806;22;1
197807;25;1
197808;24.5;1
197809;23;1
197810;17.7;1
197811;11.1;1
197812;9.8;1
197901;3.4;1
197902;7.9;1
197903;12;1
197904;13.7;1
197905;19.1;1
197906;23.1;1
197907;26.9;1
197908;23.9;1
197909;22.5;1
197910;17.7;1
197911;10.1;1
197912;9;1
198001;5.3;1
198002;10.8;1
198003;10.4;1
198004;13.1;1
198005;18.1;1
198006;20.7;1
198007;23;1
198008;26.9;1
198009;24.2;1
198010;16.2;1
198011;8.5;1
198012;5.2;1
198101;5.9;1
198102;6.4;1
198103;14.7;1
198104;16.3;1
198105;18;1
198106;21.8;1
198107;23.8;1
198108;25;1
198109;21.9;1
198110;16.7;1
198111;12;1
198112;8.2;1
198201;9.9;1
198202;10.9;1
198203;11.1;1
198204;15.6;1
198205;20.4;1
198206;24.9;1
198207;28;1
198208;24.7;1
198209;25.3;1
198210;15.7;1
198211;12.9;1
198212;7.2;1
198301;9.1;1
198302;5.1;1
198303;11.5;1
198304;14;1
198305;17.1;1
198306;24.3;1
198307;31.2;1
198308;26.3;1
198309;23.1;1
198310;17;1
198311;11;1
198312;7.9;1
198401;8.3;1
198402;6.7;1
198403;10.8;1
198404;15.7;1
198405;15.3;1
198406;22.5;1
198407;27.7;1
198408;25;1
198409;19.5;1
198410;16.3;1
198411;14.6;1
198412;7.7;1
198501;0.9;1
198502;8.3;1
198503;9.5;1
198504;16.3;1
198505;17.6;1
198506;21.8;1
198507;27.8;1
198508;26.2;1
198509;26.7;1
198510;17.9;1
198511;6.3;1
198512;7.9;1
198601;7.4;1
198602;3.8;1
198603;11.7;1
198604;10.9;1
198605;20;1
198606;24.2;1
198607;27.2;1
198608;25;1
198609;21.6;1
198610;18.2;1
198611;12.2;1
198612;8.8;1
198701;-0.5;1
198702;6.5;1
198703;10;1
198704;18;1
198705;17;1
198706;21.2;1
198707;25.2;1
198708;25.9;1
198709;25.7;1
198710;17.5;1
198711;10.3;1
198712;8.4;1
198801;10.5;1
198802;8.2;1
198803;10.7;1
198804;17.6;1
198805;19.6;1
198806;22.1;1
198807;25.4;1
198808;26.5;1
198809;21.8;1
198810;18.3;1
198811;10.3;1
198812;7.8;1
198901;7.5;1
198902;11.3;1
198903;16.2;1
198904;13.4;1
198905;23.4;1
198906;23;1
198907;27.6;1
198908;26.4;1
198909;22.8;1
198910;19;1
198911;10.9;1
198912;9.8;1
199001;8.4;1
199002;14.8;1
199003;15.2;1
199004;14;1
199005;22.2;1
199006;22;1
199007;26.5;1
199008;28.9;1
199009;22.4;1
199010;18.9;1
199011;10.4;1
199012;5.4;1
199101;7.4;1
199102;7.1;1
199103;15.4;1
199104;15.2;1
199105;18;1
199106;23;1
199107;28.3;1
199108;29.6;1
199109;25;1
199110;15.1;1
199111;10.5;1
199112;4.6;1
199201;4.8;1
199202;9.1;1
199203;12.9;1
199204;15.6;1
199205;22.6;1
199206;21.4;1
199207;25.6;1
199208;28.1;1
199209;22;1
199210;12.7;1
199211;13.4;1
199212;7.8;1
199301;9.7;1
199302;7.6;1
199303;13.4;1
199304;16.7;1
199305;20.8;1
199306;24.5;1
199307;24.9;1
199308;26.7;1
199309;20.5;1
199310;14.5;1
199311;7.7;1
199312;9.3;1
199401;7.7;1
199402;9.5;1
199403;15.7;1
199404;14.2;1
199405;20.5;1
199406;23.7;1
199407;29.1;1
199408;27.4;1
199409;20.2;1
199410;17.5;1
199411;13.9;1
199412;9.6;1
199501;7.9;1
199502;12.1;1
199503;12.3;1
199504;15.4;1
199505;20.5;1
199506;22.5;1
199507;28.9;1
199508;26.9;1
199509;19.3;1
199510;21.2;1
199511;11.7;1
199512;6.3;1
199601;9.2;1
199602;5.6;1
199603;11.5;1
199604;16.7;1
199605;18.2;1
199606;24.7;1
199607;25.7;1
199608;25.5;1
199609;20.3;1
199610;16.4;1
199611;9.9;1
199612;6.4;1
199701;4.1;1
199702;12.7;1
199703;15.5;1
199704;17.5;1
199705;21.1;1
199706;22.1;1
199707;25.4;1
199708;29.4;1
199709;24.3;1
199710;17.7;1
199711;13.6;1
199712;9.1;1
199801;7.9;1
199802;11.3;1
199803;13.4;1
199804;14.6;1
199805;22;1
199806;24.5;1
199807;26.4;1
199808;28.2;1
199809;21.3;1
199810;16.2;1
199811;8.4;1
199812;8;1
199901;9.6;1
199902;6.9;1
199903;14;1
199904;15.9;1
199905;22.5;1
199906;23.1;1
199907;27.6;1
199908;26.9;1
199909;24.7;1
199910;17.4;1
199911;8.8;1
199912;8;1
200001;6.5;1
200002;11.4;1
200003;13;1
200004;16.6;1
200005;22.4;1
200006;25.6;1
200007;24;1
200008;27.5;1
200009;24.2;1
200010;17.3;1
200011;13;1
200012;12.3;1
200101;9.3;1
200102;9.5;1
200103;14.7;1
200104;13.3;1
200105;21.1;1
200106;23.8;1
200107;26.9;1
200108;27.6;1
200109;19.3;1
200110;21.3;1
200111;8.4;1
200112;4.3;1
200201;9.2;1
200202;11.7;1
200203;15.3;1
200204;17;1
200205;20.3;1
200206;26.1;1
200207;25.5;1
200208;25.1;1
200209;20.8;1
200210;17.8;1
200211;13.6;1
200212;10.2;1
200301;5.3;1
200302;7.8;1
200303;16.6;1
200304;18.6;1
200305;22.1;1
200306;31;1
200307;29.5;1
200308;33.3;1
200309;23.5;1
200310;15.2;1
200311;13;1
200312;7.4;1
200401;7.2;1
200402;9.5;1
200403;11.9;1
200404;14.9;1
200405;20;1
200406;25.3;1
200407;25.8;1
200408;25.9;1
200409;23.4;1
200410;19.2;1
200411;9.6;1
200412;6;1
200501;7.4;1
200502;5.2;1
200503;13;1
200504;16.8;1
200505;21.7;1
200506;27.4;1
200507;27.5;1
200508;25.7;1
200509;23.7;1
200510;21.4;1
200511;9.5;1
200512;4.8;1
200601;6.2;1
200602;5.8;1
200603;12.5;1
200604;16.8;1
200605;20.4;1
200606;27.2;1
200607;31.6;1
200608;22.8;1
200609;25.2;1
200610;21;1
200611;14;1
200612;7.9;1
200701;8.7;1
200702;12.1;1
200703;12.8;1
200704;21.9;1
200705;21.2;1
200706;24.5;1
200707;24.7;1
200708;24.1;1
200709;20.8;1
200710;17;1
200711;9.4;1
200712;6.7;1
200801;10.3;1
200802;13;1
200803;11.5;1
200804;15.6;1
200805;23.1;1
200806;23.6;1
200807;26.2;1
200808;25.2;1
200809;20.7;1
200810;16.6;1
200811;10.3;1
200812;5.4;1
200901;5.7;1
200902;7.9;1
200903;13.1;1
200904;17.9;1
200905;23;1
200906;24.9;1
200907;27.4;1
200908;28.5;1
200909;23.2;1
200910;18.3;1
200911;14.2;1
200912;7.4;1
201001;3.5;1
201002;7.3;1
201003;12.7;1
201004;18.6;1
201005;18.1;1
201006;23.5;1
201007;28.3;1
201008;25.4;1
201009;21.4;1
201010;16.5;1
201011;10.7;1
201012;4.5;1
201101;7;1
201102;10.3;1
201103;14.4;1
201104;21.4;1
201105;24.6;1
201106;24.7;1
201107;24.4;1
201108;27.3;1
201109;25.4;1
201110;19.7;1
201111;15.3;1
201112;10.3;1
201201;7.4;1
201202;3.8;1
201203;17.3;1
201204;15.4;1
201205;22;1
201206;25.1;1
201207;25.9;1
201208;28.8;1
201209;23.1;1
201210;18.6;1
201211;12.2;1
201212;9.2;1
201301;5.6;1
201302;5.1;1
201303;10.9;1
201304;16;1
201305;16.5;1
201306;23.6;1
201307;29.5;1
201308;27;1
201309;22.9;1
201310;18.8;1
201311;8.8;1
201312;9.1;1
201401;10.7;1
201402;11.6;1
201403;15.6;1
201404;18.4;1
201405;20.4;1
201406;27;1
201407;25.4;1
201408;24.6;1
201409;23.7;1
201410;20.3;1
201411;14.3;1
201412;7.2;1
201501;7.6;1
201502;7.6;1
201503;13.4;1
201504;19;1
201505;21.8;1
201506;27;1
201507;31.3;1
201508;28.6;1
201509;20.9;1
201510;15.6;1
201511;14.8;1
201512;13.2;1
201601;9.8;1
201602;9.8;1
201603;12.2;1
201604;15.5;1
201605;20;1
201606;23.7;1
201607;27.9;1
201608;29.2;1
201609;25.8;1
201610;15.5;1
201611;11.2;1
201612;6.4;1
201701;4.1;1
201702;12.5;1
201703;15.9;1
201704;17.4;1
201705;22.5;1
201706;27.8;1
201707;28.2;1
201708;28.6;1
201709;21.3;1
201710;19.5;1
201711;10.3;1
201712;7.8;1
201801;10.9;1
201802;4.8;1
201803;13.4;1
201804;20;1
201805;22.7;1
201806;26.6;1
201807;30.6;1
201808;29.8;1
201809;27.7;1
201810;20.1;1
201811;13.3;1
201812;9.5;1
201901;5.9;1
201902;13.7;1
201903;15;1
201904;17.4;1
201905;18.7;1
201906;27.3;1
201907;30.9;1
201908;29.9;1
201909;25.5;1
201910;19.1;1
201911;11.9;1
201912;10.9;1
202001;10.3;1
202002;14.3;1
202003;14.4;1
