# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 25170001
# NOM_USUEL= AERO-MTBL
# LATITUDE (°) = 47.489
# LONGITUDE(°)= 6.791
# ALTITUDE (m) = 315
# NUM_SERIE= MTX025170001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196012 197809 200712 201312
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.5;1
195902;8.9;1
195903;13.6;1
195904;15.5;1
195905;19.9;1
195906;22.6;1
195907;27;1
195908;23.8;1
195909;23.3;1
195910;16.5;1
195911;7.4;1
195912;6.9;1
196001;4.2;1
196002;7.6;1
196003;11.2;1
196004;14.7;1
196005;20.8;1
196006;22.9;1
196007;21;1
196008;22.6;1
196009;18;1
196010;14.5;1
196011;11;1
196012;3.7;1
196101;4.5;1
196102;11.9;1
196103;13.7;1
196104;17.3;1
196105;16.7;1
196106;21.9;1
196107;22.8;1
196108;22.8;1
196109;24.9;1
196110;16.5;1
196111;7.7;1
196112;5.3;1
196201;6.1;1
196202;4.9;1
196203;6.4;1
196204;14.7;1
196205;16.4;1
196206;21.5;1
196207;23.1;1
196208;25.5;1
196209;20.1;1
196210;15.9;1
196211;6.1;1
196212;1.7;1
196301;-2.4;1
196302;0.5;1
196303;9.9;1
196304;15.6;1
196305;17.2;1
196306;20.9;1
196307;25.2;1
196308;21.6;1
196309;20.5;1
196310;15.2;1
196311;12.9;1
196312;1.1;1
196401;0.6;1
196402;8;1
196403;7;1
196404;15.8;1
196405;20.7;1
196406;24;1
196407;27.8;1
196408;24;1
196409;22;1
196410;12.6;1
196411;8.4;1
196412;3.9;1
196501;4.7;1
196502;2.4;1
196503;9.9;1
196504;12.6;1
196505;18;1
196506;22.1;1
196507;20.9;1
196508;21.8;1
196509;17.7;1
196510;14.7;1
196511;7.6;1
196512;7.5;1
196601;1.3;1
196602;11.3;1
196603;9.2;1
196604;15.9;1
196605;19;1
196606;22.7;1
196607;21;1
196608;20.9;1
196609;20.8;1
196610;16.9;1
196611;5.8;1
196612;6;1
196701;4.8;1
196702;8.7;1
196703;11.4;1
196704;13.7;1
196705;18.3;1
196706;21;1
196707;26.3;1
196708;23.3;1
196709;19.3;1
196710;18.4;1
196711;8.5;1
196712;2.5;1
196801;3.9;1
196802;7.2;1
196803;11.5;1
196804;16;1
196805;17;1
196806;21.1;1
196807;23.5;1
196808;21;1
196809;18.7;1
196810;16.8;1
196811;7;1
196812;2.7;1
196901;5;1
196902;3.2;1
196903;9.3;1
196904;13.3;1
196905;19.4;1
196906;19.3;1
196907;24.4;1
196908;22.5;1
196909;20.6;1
196910;17;1
196911;10.4;1
196912;-0.1;1
197001;3.4;1
197002;5.4;1
197003;7;1
197004;11.4;1
197005;17.5;1
197006;22.9;1
197007;22.1;1
197008;24.6;1
197009;21;1
197010;13.8;1
197011;11.7;1
197012;3.2;1
197101;4.2;1
197102;6.2;1
197103;6.7;1
197104;18.2;1
197105;20.3;1
197106;19.6;1
197107;26.5;1
197108;24.3;1
197109;20.2;1
197110;16.8;1
197111;7.2;1
197112;6.4;1
197201;3.2;1
197202;8.3;1
197203;12.8;1
197204;12.8;1
197205;16.6;1
197206;19.7;1
197207;22.7;1
197208;22.5;1
197209;17.5;1
197210;14;1
197211;10.9;1
197212;3.7;1
197301;2.1;1
197302;4.7;1
197303;9.6;1
197304;11.4;1
197305;19.9;1
197306;22.4;1
197307;22.9;1
197308;25;1
197309;21.6;1
197310;13.3;1
197311;8.8;1
197312;3.8;1
197401;7.7;1
197402;8.1;1
197403;11.7;1
197404;15.1;1
197405;17.5;1
197406;20.6;1
197407;22.6;1
197408;24.4;1
197409;19;1
197410;8.3;1
197411;9.4;1
197412;8.4;1
197501;7.9;1
197502;8.3;1
197503;7.5;1
197504;13.4;1
197505;17.3;1
197506;20.5;1
197507;23.7;1
197508;24.2;1
197509;21;1
197510;13.5;1
197511;8.3;1
197512;3.3;1
197601;4.4;1
197602;7.2;1
197603;9.7;1
197604;14.6;1
197605;19.9;1
197606;26.1;1
197607;26.1;1
197608;23.2;1
197609;18.8;1
197610;15.4;1
197611;8.2;1
197612;2.6;1
197701;4.4;1
197702;9.5;1
197703;13.1;1
197704;11.2;1
197705;17.5;1
197706;20.4;1
197707;23.1;1
197708;21.6;1
197709;18.7;1
197710;16.4;1
197711;9.3;1
197712;5.9;1
197801;4.4;1
197802;3.8;1
197803;10.8;1
197804;12.7;1
197805;16.5;1
197806;20.2;1
197807;22.1;1
197808;21.3;1
197809;19.3;1
197810;14.5;1
197811;7.9;1
197812;6;1
197901;0.9;1
197902;6;1
197903;10.7;1
197904;12.6;1
197905;18;1
197906;22;1
197907;23.2;1
197908;21.1;1
197909;20.2;1
197910;16;1
197911;8.3;1
197912;7.3;1
198001;2.6;1
198002;8.3;1
198003;9.4;1
198004;12.3;1
198005;16.7;1
198006;18.8;1
198007;20.5;1
198008;23.5;1
198009;21.2;1
198010;13.6;1
198011;7.1;1
198012;4.2;1
198101;3;1
198102;4.3;1
198103;13.2;1
198104;14.9;1
198105;15.8;1
198106;21;1
198107;21.7;1
198108;24.3;1
198109;19.1;1
198110;13.7;1
198111;9.2;1
198112;4.8;1
198201;4.2;1
198202;6.2;1
198203;9.5;1
198204;13.7;1
198205;19.4;1
198206;22.3;1
198207;24.9;1
198208;21.9;1
198209;22.7;1
198210;13.9;1
198211;10.5;1
198212;5.8;1
198301;6.7;1
198302;3.3;1
198303;10.6;1
198304;14.2;1
198305;15.5;1
198306;23.2;1
198307;29.2;1
198308;25.2;1
198309;20.3;1
198310;14.7;1
198311;8.1;1
198312;4.8;1
198401;5;1
198402;4.1;1
198403;9;1
198404;14;1
198405;14.5;1
198406;20.8;1
198407;24.2;1
198408;23.4;1
198409;17.5;1
198410;15.1;1
198411;11;1
198412;4.8;1
198501;-1.4;1
198502;5.2;1
198503;8.5;1
198504;14.7;1
198505;17.3;1
198506;20;1
198507;24.8;1
198508;23.3;1
198509;22;1
198510;15.8;1
198511;5;1
198512;7.1;1
198601;5;1
198602;-2.3;1
198603;9.1;1
198604;10.5;1
198605;20.1;1
198606;22.3;1
198607;24;1
198608;23.3;1
198609;19.6;1
198610;16.8;1
198611;11;1
198612;5.8;1
198701;-1.6;1
198702;4.7;1
198703;6.7;1
198704;16.3;1
198705;15.6;1
198706;19.2;1
198707;23.2;1
198708;22.8;1
198709;22.7;1
198710;15.2;1
198711;9.3;1
198712;5.7;1
198801;8.1;1
198802;6.9;1
198803;7.9;1
198804;14.7;1
198805;19.9;1
198806;22.1;1
198807;24;1
198808;25.2;1
198809;20;1
198810;15.6;1
198811;8;1
198812;6.7;1
198901;6.7;1
198902;8.9;1
198903;14.8;1
198904;11.9;1
198905;22.2;1
198906;22.5;1
198907;25;1
198908;24.8;1
198909;20.7;1
198910;17.3;1
198911;8;1
198912;6.8;1
199001;6;1
199002;13.3;1
199003;13.7;1
199004;12.5;1
199005;21.8;1
199006;21.1;1
199007;24.4;1
199008;26.5;1
199009;19.6;1
199010;17.3;1
199011;8.1;1
199012;3.4;1
199101;5.2;1
199102;4.5;1
199103;12.7;1
199104;14.5;1
199105;16.4;1
199106;20.1;1
199107;26.1;1
199108;27;1
199109;23.2;1
199110;13.4;1
199111;8.3;1
199112;3.3;1
199201;2.6;1
199202;7.5;1
199203;10.9;1
199204;14.2;1
199205;20.9;1
199206;21.4;1
199207;25.1;1
199208;27.4;1
199209;20.1;1
199210;11.2;1
199211;10.8;1
199212;5.3;1
199301;8.5;1
199302;4.3;1
199303;11.2;1
199304;16.8;1
199305;19.7;1
199306;22;1
199307;22.9;1
199308;23.8;1
199309;17.8;1
199310;11.5;1
199311;4.4;1
199312;8;1
199401;6.3;1
199402;6.6;1
199403;13.9;1
199404;12.4;1
199405;18.6;1
199406;23.3;1
199407;28.1;1
199408;26.3;1
199409;18.6;1
199410;15.4;1
199411;11.8;1
199412;7.7;1
199501;5.4;1
199502;10.5;1
199503;9.5;1
199504;14.2;1
199505;19.2;1
199506;20.6;1
199507;27.2;1
199508;24.5;1
199509;17.1;1
199510;19.2;1
199511;8.7;1
199512;2.9;1
199601;2.4;1
199602;4.3;1
199603;9.4;1
199604;16.2;1
199605;17;1
199606;23.4;1
199607;23.3;1
199608;23.2;1
199609;17.2;1
199610;15;1
199611;8.1;1
199612;2.1;1
199701;1.1;1
199702;10.1;1
199703;14;1
199704;15.1;1
199705;20.2;1
199706;21.9;1
199707;23.1;1
199708;26.8;1
199709;22.1;1
199710;14.9;1
199711;9.6;1
199712;5.7;1
199801;6.7;1
199802;10.7;1
199803;11.8;1
199804;14.3;1
199805;21.3;1
199806;23.3;1
199807;24.4;1
199808;24.8;1
199809;18.9;1
199810;14.5;1
199811;6;1
199812;6.1;1
199901;8.1;1
199902;4.4;1
199903;11.4;1
199904;14.8;1
199905;20.5;1
199906;21.9;1
199907;24.7;1
199908;24.1;1
199909;22.8;1
199910;14.6;1
199911;6.7;1
199912;6.4;1
200001;4.8;1
200002;9.6;1
200003;11.6;1
200004;16;1
200005;21.4;1
200006;24.4;1
200007;22.2;1
200008;25.1;1
200009;21.4;1
200010;15.5;1
200011;11;1
200012;8.3;1
200101;6;1
200102;8.7;1
200103;11.8;1
200104;12.9;1
200105;21.1;1
200106;21.5;1
200107;24.9;1
200108;25.7;1
200109;16.7;1
200110;19.8;1
200111;7.1;1
200112;3.7;1
200201;5.6;1
200202;10.3;1
200203;12.9;1
200204;15.6;1
200205;18.3;1
200206;25.2;1
200207;23.9;1
200208;23.8;1
200209;18.9;1
200210;15.5;1
200211;10.6;1
200212;6.9;1
200301;3.6;1
200302;4.9;1
200303;15.3;1
200304;16.4;1
200305;21.1;1
200306;29.9;1
200307;27.5;1
200308;31.9;1
200309;22.4;1
200310;12.1;1
200311;11.1;1
200312;5.8;1
200401;4.8;1
200402;7.7;1
200403;10.8;1
200404;15.9;1
200405;18.6;1
200406;22.5;1
200407;24.3;1
200408;24.9;1
200409;21.1;1
200410;16.1;1
200411;8;1
200412;3.8;1
200501;5.4;1
200502;4;1
200503;12.1;1
200504;15.5;1
200505;20.2;1
200506;25.4;1
200507;24.7;1
200508;22.7;1
200509;21.7;1
200510;18.6;1
200511;8.4;1
200512;3.4;1
200601;2.6;1
200602;4.1;1
200603;8.7;1
200604;14.7;1
200605;19.2;1
200606;25.2;1
200607;30.5;1
200608;21;1
200609;23.2;1
200610;18.6;1
200611;12.8;1
200612;7.8;1
200701;7.8;1
200702;11;1
200703;11.8;1
200704;22;1
200705;21.1;1
200706;23.5;1
200707;23.4;1
200708;23;1
200709;19.6;1
200710;15.8;1
200711;7.3;1
200712;4.9;1
200801;8.4;1
200802;10.4;1
200803;9.6;1
200804;13;1
200805;21.1;1
200806;22.6;1
200807;24.7;1
200808;23.4;1
200809;18.1;1
200810;15.1;1
200811;9.5;1
200812;3.6;1
200901;3.4;1
200902;5.3;1
200903;9.9;1
200904;18.4;1
200905;22.3;1
200906;23.2;1
200907;25.2;1
200908;27;1
200909;22.2;1
200910;15.5;1
200911;12.1;1
200912;5.5;1
201001;1.6;1
201002;5.6;1
201003;10.6;1
201004;16.9;1
201005;16.2;1
201006;22.8;1
201007;26.9;1
201008;22.5;1
201009;19.6;1
201010;14.5;1
201011;8.8;1
201012;2.5;1
201101;5.7;1
201102;7.9;1
201103;12.8;1
201104;20.3;1
201105;23.3;1
201106;23.3;1
201107;22.2;1
201108;25.3;1
201109;23.5;1
201110;16.2;1
201111;10.7;1
201112;7.7;1
201201;5.8;1
201202;2.3;1
201203;15.9;1
201204;14.4;1
201205;20.5;1
201206;23.1;1
201207;23.4;1
201208;25.7;1
201209;20.6;1
201210;15.2;1
201211;10.4;1
201212;6.7;1
201301;3.7;1
201302;3.5;1
201303;7.1;1
201304;14.7;1
201305;15.4;1
201306;22.3;1
201307;27.4;1
201308;25.3;1
201309;20.6;1
201310;17;1
201311;7.7;1
201312;7.9;1
201401;8.1;1
201402;10;1
201403;14.8;1
201404;17.2;1
201405;19;1
201406;25.4;1
201407;23.9;1
201408;22.2;1
201409;22.2;1
201410;18.7;1
201411;11.6;1
201412;6.2;1
201501;6;1
201502;5.8;1
201503;13;1
201504;17.2;1
201505;20.2;1
201506;24.6;1
201507;29.1;1
201508;27;1
201509;20;1
201510;14.4;1
201511;12.9;1
201512;11.2;1
201601;7.3;1
201602;8;1
201603;10.2;1
201604;14.2;1
201605;18.8;1
201606;22.3;1
201607;25.6;1
201608;26.4;1
201609;23.7;1
201610;13.9;1
201611;9.1;1
201612;5.6;1
201701;1.1;1
201702;10;1
201703;14.8;1
201704;15.7;1
201705;21;1
201706;26.7;1
201707;26.4;1
